TaskID,SubTask1,SubTask2,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,TP_DescriptionTag,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,OverrideLocation,TP_TargetTag
Quest_16019_Task_0,Quest_16019_Task_2,Quest_16019_Task_3,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,
Quest_16019_Task_1,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_ZQU_SPush_Satisfy,@Quest_16019_Task_1_Description,,,,,,,,
Quest_16019_Task_2,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_ZQU_Spush_pushedonce,,,,,,,,,
Quest_16019_Task_3,Quest_16019_Task_4,Quest_16019_Task_1,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,
Quest_16019_Task_4,Quest_16019_Task_5,Quest_16019_Task_6,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,Quest_16019_Task_5_0_1,Quest_16019_Task_5_0,Quest_16019_Task_6_0,Quest_16019_Task_5_0_0,Quest_16019_Task_6_0_0,Quest_16019_Task_9,,
Quest_16019_Task_6,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQU_Title_01_01,@Quest_16019_Task_6_Description,,,,,,,3318.110107 5620.750000 283.484009,
Quest_16019_Task_6_0,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQU_Title_01_02,@Quest_16019_Task_6_0_Description,,,,,,,3433.506104 5682.007812 223.227005,
Quest_16019_Task_6_0_0,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQU_Title_01_03,@Quest_16019_Task_6_0_0_Description,,,,,,,3424.415039 5765.073242 213.011002,
Quest_16019_Task_9,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,17_ZQU_SPush_Satisfy,@Quest_16019_Task_9_Description,,,,,,,3433.577637 5794.104004 206.473999,
Quest_16019_Task_5,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16019_Task_5_Description,,,,,,,3305.419189 5621.615234 283.537109,TV_17ZQUS1P_FirstMessage
Quest_16019_Task_5_0,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16019_Task_5_0_Description,,,,,,,3373.971924 5706.583984 229.011993,TV_17ZQUS1P_SecondMessage
Quest_16019_Task_5_0_0,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16019_Task_5_0_0_Description,,,,,,,3411.511963 5759.056152 211.813004,TV_17ZQUS1P_ThirdMessage
Quest_16019_Task_5_0_1,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16019_Task_5_0_1_Description,,,,,,,3400.698975 5711.319824 275.489990,TV_17ZQUS1P_WaypointMessage
