TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
9901_0008_d_00_container_oldstoneremembers_v2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9901_0008_d_01_container_plaque_01,9901_0008_d_02_container_plaque_02,9901_0008_d_03_container_plaque_03,,
9901_0008_d_01_container_plaque_01,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9901_0008_d_01_00_GoToRuins,9901_0008_d_01_01_container_plaque_01_optional,9901_0008_d_01_02_SliceSwap_Plaque_01,9901_0008_d_01_03_Investigate_1,
9901_0008_d_01_00_GoToRuins,TaskGoToPOITag,,1,1,,,,,1,,ancient_ruins_40155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0008_oldstoneremembers_v2_GoTo_01,,,,,,,,,,,,,,,,,,,
9901_0008_d_01_01_container_plaque_01_optional,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9901_0008_d_01_01a_vines_Interact,9901_0008_d_01_01b_vines_Hidden_Optional_Interact,,,
9901_0008_d_01_01a_vines_Interact,TaskGameEvent,,1,1,,,,,,,,,,,,,,,,,IO_MSQ_0008_ClearingVines_A,,,MSQ_0008_ClearingVines_A_interact,,,,,,,,,,,,,,,,,,,,@9901_0008_oldstoneremembers_v2_clearvines_01,,8315.49 4017.55 188.65,,,,,,,,,,,,,,,,,
9901_0008_d_01_01b_vines_Hidden_Optional_Interact,TaskGameEvent,,,9,,,,,,,,,,,,,,,,,IO_MSQ_0008_ClearingVines_B,,,MSQ_0008_ClearingVines_B_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9901_0008_d_01_02_SliceSwap_Plaque_01,TaskUnlockAchievement,,1,1,SwapActive_MSQ_0008_Plaque_01_On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9901_0008_d_01_03_Investigate_1,TaskAchievement,,1,1,Lore_unlock_99_MSQ_Aeternum_Title_2_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0008_oldstoneremembers_v2_plaque_01,,8350.96 3966.56 195.41,,,false,,,,,,,,,,,,,,
9901_0008_d_02_container_plaque_02,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9901_0008_d_02_00_gotoPOI_Ruins01Lower,9901_0008_d_02_01_container_plaque_02_optional,9901_0008_d_02_02_SliceSwap_Plaque_02,9901_0008_d_02_03_Investigate_2,
9901_0008_d_02_00_gotoPOI_Ruins01Lower,TaskTriggerArea,,1,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_MSQ_0008_RuinsLower,@9901_0008_oldstoneremembers_v2_GoTo_02,,8245.022 3860.21 150.01,,,,,,,,,,,,,,,,,
9901_0008_d_02_01_container_plaque_02_optional,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9901_0008_d_02_01a_vines_Interact,9901_0008_d_02_01b_vines_Hidden_Optional_Interact,,,
