TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,SubTask14,SubTask15,SubTask16,SubTask17,SubTask18,SubTask19,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,TP_TargetTag,OverrideLocation,ItemName,POITag,KillEnemyType,InteractTag,ItemDropVC,UIScreenTag
Quest_16008_Task_0,Quest_16008_Task_1,Quest_16008_Task_2,Quest_16008_Task_4,Quest_16008_Task_9,Quest_16008_Task_8,Quest_16008_Task_11,Quest_16008_Task_1_0_0,Quest_16008_Task_1_0_0_3,Quest_16008_Task_1_0_0_3_0_1,Quest_16008_Task_1_0_0_3_0_0,Quest_16008_Task_1_0_0_3_0_2,Quest_16008_Task_12,Quest_16008_Task_13,Quest_16008_Task_14,Quest_16008_Task_15,Quest_16008_Task_16,Quest_16008_Task_17,Quest_16008_Task_18,Quest_16008_Task_28,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_16008_Task_1,,,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16008_Task_1_Description,TV_17ZQBS5_CelebrationInterrupted,4812.912109 6287.624023 105.001999,,,,,,
Quest_16008_Task_2,Quest_16008_Task_26,Quest_16008_Task_10,,,,,,,,,,,,,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,5.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16008_Task_2_Description,,,17_ZQ_BS5_MoonscaleSabotaged_IGC,,,,,
Quest_16008_Task_4,Quest_16008_Task_5,Quest_16008_Task_7,,,,,,,,,,,,,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_16008_Task_5,,,,,,,,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16008_Task_5_Description,,3971.207520 5887.746094 161.999207,,upyr_castle_10222,,,,
Quest_16008_Task_6,,,,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16008_Task_6_Description,,4773.200195 6268.229980 120.000000,,,17_ZQBS5_WereravenTD_interact,IO_17_ZQBS5_WereravenTD,,
Quest_16008_Task_5_0,,,,,,,,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16008_Task_5_0_Description,,3971.207520 5887.746094 161.999207,,upyr_castle_10222,,,,
Quest_16008_Task_7,Quest_16008_Task_6,Quest_16008_Task_5_0,,,,,,,,,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_16008_Task_8,,,,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16008_Task_8_Description,,3999.068115 5902.073242 160.699997,,,17_ZQBS5_BathoryExamineEntrance_interact,IO_17_ZQBS5_BathoryExamineEntrance,,
Quest_16008_Task_1_0_0,,,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16008_Task_1_0_0_Description,TV_17ZQURU3_GoBathoryChallenge1,3980.179932 5841.189941 166.412994,,,,,,
