TaskID,SubTask1,SubTask2,SubTask3,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,TP_TargetTag,OverrideLocation,KillEnemyType,InteractTag,ItemName,UIScreenTag,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11
Quest_28006_Task_0,Quest_28006_Task_28,Quest_28006_Task_32,Quest_28006_Task_33,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,,,,,,
Quest_28006_Task_3,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28006_Task_3_Description,TV_17_IQ_00_FindCata00,5277.345703 6713.095703 235.800293,,,,,,,,,,,,
Quest_28006_Task_7,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28006_Task_7_Description,,5272.349609 6717.386719 235.117706,17_IQ_07_SeraphicTorch,IO_17_IQ_07_SeraphicTorch,,,,,,,,,,
Quest_28006_Task_8,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,0.000000,0,@Quest_28006_Task_8_Description,,,17_IQ_07_SkyHorror,IO_17_IQ_07_SkyHorror,,,,,,,,,,
Quest_28006_Task_4,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28006_Task_4_Description,,4861.766113 5242.061523 93.575600,17_IQ_06_RitualCirclePuzzle,IO_17_IQ_06_RitualCirclePuzzle,,,,,,,,,,
Quest_28006_Task_5,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28006_Task_5_Description,,4856.405762 5270.067871 77.508003,17_IQ_07_SeraphicTorch,IO_17_IQ_07_SeraphicTorch,,,,,,,,,,
Quest_28006_Task_11,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_28006_Task_11_Description,TV_17_IQ_01_SealedEntrance,5255.910156 6851.229980 145.559998,17_IQ_01_AngelStatue,,,,,,,,,,,
Quest_28006_Task_12,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28006_Task_12_Description,,5087.336914 6588.231934 175.983002,17_IQ_01_CursedReliquary,IO_17_IQ_01_CursedReliquary,,,,,,,,,,
Quest_28006_Task_13,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28006_Task_13_Description,,5067.439941 6574.859863 168.865005,,,NPC_28001,NPC_28001_State_3_Topic_0,,,,,,,,
Quest_28006_Task_14,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28006_Task_14_Description,TV_17_IQ_01_SealedEntrance,5241.315918 6851.071777 145.162003,Quest_Placeholder_Interactable,,,,,,,,,,,
Quest_28006_Task_15,,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28006_Task_15_Description,,,,,SwapActive_17_IQ_SerCrusader02,,,,,,,,,
Quest_28006_Task_16,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28006_Task_16_Description,,,,,SwapActive_17_IQ_SerCrusader01,,,,,,,,,
Quest_28006_Task_17,,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,SwapActive_17_IQ_SerCrusader01,,,,,,,,,
Quest_28006_Task_18,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28006_Task_18_Description_0,,,17_IQ_Corruption_Whisper_07,,,,,,,,,,,
Quest_28006_Task_19,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28006_Task_19_Description,,,17_IQ_Corruption_Whisper_08,,,,,,,,,,,
Quest_28006_Task_20,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28006_Task_20_Description,,,17_IQ_Corruption_Whisper_10,,,,,,,,,,,
Quest_28006_Task_21,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28006_Task_21_Description,,,17_IQ_Corruption_Whisper_09,,,,,,,,,,,
Quest_28006_Task_26,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,0.000000,0,@Quest_28006_Task_26_Description,,,17_IQ_07_SkyHorror,IO_17_IQ_07_SkyHorror,,,,,,,,,,
Quest_28006_Task_1,Quest_28006_Task_26,Quest_28006_Task_5,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28006_Task_1_Description_0,,,,,,,,,,,,,,
Quest_28006_Task_2,Quest_28006_Task_8,Quest_28006_Task_9,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28006_Task_2_Description_0,,,,,,,,,,,,,,
Quest_28006_Task_9,Quest_28006_Task_25,Quest_28006_Task_7,Quest_28006_Task_24_0,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28006_Task_9_Description_0,,,,,,,Quest_28006_Task_24,Quest_28006_Task_21,,,,,,
Quest_28006_Task_29,Quest_28006_Task_30,Quest_28006_Task_31,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28006_Task_29_Description,,,,,,,,,,,,,,
Quest_28006_Task_30,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,0.000000,0,@Quest_28006_Task_30_Description,,,17_IQ_07_SkyHorror,IO_17_IQ_07_SkyHorror,,,,,,,,,,
Quest_28006_Task_31,Quest_28006_Task_15,Quest_28006_Task_16,Quest_28006_Task_35,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28006_Task_31_Description,,,,,,,Quest_28006_Task_11,Quest_28006_Task_20,Quest_28006_Task_22,Quest_28006_Task_12,Quest_28006_Task_10,Quest_28006_Task_13,Quest_28006_Task_17,Quest_28006_Task_14
Quest_28006_Task_22,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_28006_Task_22_Description_0,TV_17_IQ_01_ForbiddenVault,5290.660156 6800.450195 145.123001,,,,,,,,,,,,
Quest_28006_Task_6,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28006_Task_6_Description_0,,4865.790039 5230.133301 93.500000,17_IQ_06_RitualCirclePuzzleStart,IO_17_IQ_06_RitualCirclePuzzleStart,,,,,,,,,,
Quest_28006_Task_23,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,4,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_28006_Task_23_Description_0,,4865.790039 5230.133301 93.500000,17_IQ_07_SnuffBrazier,IO_17_IQ_07_SnuffBrazier,,,,,,,,,,
Quest_28006_Task_24,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28006_Task_24_Description_0,,5209.107422 6767.532715 226.755997,17_IQ_07_CorruptedTree,IO_17_IQ_07_CorruptedTree,,,,,,,,,,
Quest_28006_Task_25,Quest_28006_Task_3,Quest_28006_Task_27,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28006_Task_25_Description_0,,,,,,,,,,,,,,
Quest_28006_Task_27,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28006_Task_27_Description_0,TV_17_IQ_00_FindCata00,,,,,,,,,,,,,
Quest_28006_Task_28,Quest_28006_Task_6,Quest_28006_Task_18,Quest_28006_Task_23,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28006_Task_28_Description_0,,,,,,,Quest_28006_Task_4,Quest_28006_Task_34,Quest_28006_Task_19,,,,,
Quest_28006_Task_32,Quest_28006_Task_2,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28006_Task_32_Description,,,,,,,,,,,,,,
Quest_28006_Task_33,Quest_28006_Task_29,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28006_Task_33_Description,,,,,,,,,,,,,,
Quest_28006_Task_34,Quest_28006_Task_1,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,,,,,,
Quest_28006_Task_35,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_28006_Task_35_Description,TV_17_IQ_00_FindCata02,5253.160156 6733.350098 230.485001,,,,,,,,,,,,
Quest_28006_Task_10,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,17_IQ_CorruptedCatacombsUnlock,,,,,,,,,
Quest_28006_Task_24_0,Quest_28006_Task_36,Quest_28006_Task_37,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28006_Task_24_0_Description,,5209.107422 6767.532715 226.755997,17_IQ_07_CorruptedTree,,,,,,,,,,,
Quest_28006_Task_36,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,6,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,Inquisitor,,,,,,,,,,,
Quest_28006_Task_37,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28006_Task_37_Description,,,17_IQ_06_CorruptedTreeEvent,,,,,,,,,,,
