TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
04A_Side01_01_RecoverSupplies_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A_Side02_01_01_Task_GetCorn,04A_Side02_01_02_container_Trail,04A_Side02_01_04_container_KillWolvesGetPack,,
04A_Side02_01_01_Task_GetCorn,TaskHaveAndReturnItems,,,,3,04aSide01_01_Crops,Withered,100,,true,,abandoned_farm_village_40267,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_01_01_Task_GetCorn,,,,,,,,,,,,,,,,,,,
04A_Side02_01_02_container_Trail,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side02_01_02_Task_FollowTrail,04A_Side02_01_02_Task_Hidden_Shortcut,,,
04A_Side02_01_02_Task_FollowTrail,TaskGameEvent,,,,12,,,,,,,,,,,,,,,,,IO_04A_Side01_01_Proximity_Trail,,,04A_Side01_01_Proximity_Trail_Interact,,,,,,,,,,,,,,,,,,,,,,8546.912109 4097.880371 118.429024,1,,,,,,,,,,,,,,,,
04A_Side02_01_02_Task_Hidden_Shortcut,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_Side01_TrailFinish,@04A_Side02_01_02_Task_FollowTrail,,8546.912109 4097.880371 118.429024,,,,,,,,,,,,,,,,,
04A_Side02_01_04_container_KillWolvesGetPack,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side01_01_04a_Task_KillWolves,04A_Side02_01_04b_Task_GetPack,,,
04A_Side01_01_04a_Task_KillWolves,TaskKillContribution,,,,3,,,,,true,,northwindsward3,,,1,,,,,,,,,,Wolf_Timber_15,,,,,,,,,,,,,,,,,,,,@04A_Side01_01_04a_Task_KillWolves,,8550.197266 4010.632568 119.419395,,,,,,,,,,,,,,,,,
04A_Side02_01_04b_Task_GetPack,TaskGatherAndReturnItems,,,,1,04aSide01_01_Backpack,04A_Side01_01_AbandonedPack,100,,,,,,,1,,,,,,,IO_04A_Side01_01_AbandonedPack,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_01_04b_Task_GetPack,,8571.1875 4033.8269 118.0233,,,true,,,,,,,,,,,,,,
04A_Side01_02_NiceFurs_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A_Side01_02_01_Task_GotoMidnight,04A_Side01_02_02_Task_KillWolves,,,
04A_Side01_02_01_Task_GotoMidnight,TaskGoToPOITag,,,,1,,,,,true,,wolf_den_40226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side01_02_01_Task_GotoMidnight,,,,,,,,,,,,,,,,,,,
