RowPlaceholders,LootBucket1,Tags1,MatchOne1,Item1,Quantity1,LootBucket2,Tags2,MatchOne2,Item2,Quantity2,LootBucket3,Tags3,MatchOne3,Item3,Quantity3,LootBucket4,Tags4,MatchOne4,Item4,Quantity4,LootBucket5,Tags5,MatchOne5,Item5,Quantity5,LootBucket6,Tags6,MatchOne6,Item6,Quantity6,LootBucket7,Tags7,MatchOne7,Item7,Quantity7,LootBucket8,Tags8,MatchOne8,Item8,Quantity8,LootBucket9,Tags9,MatchOne9,Item9,Quantity9,LootBucket10,Tags10,MatchOne10,Item10,Quantity10,LootBucket11,Tags11,MatchOne11,Item11,Quantity11,LootBucket12,Tags12,MatchOne12,Item12,Quantity12,LootBucket13,Tags13,MatchOne13,Item13,Quantity13,LootBucket14,Tags14,MatchOne14,Item14,Quantity14,LootBucket15,Tags15,MatchOne15,Item15,Quantity15,LootBucket16,Tags16,MatchOne16,Item16,Quantity16,LootBucket17,Tags17,MatchOne17,Item17,Quantity17,LootBucket18,Tags18,MatchOne18,Item18,Quantity18,LootBucket19,Tags19,MatchOne19,Item19,Quantity19,LootBucket20,Tags20,MatchOne20,Item20,Quantity20,LootBucket21,Tags21,MatchOne21,Item21,Quantity21,LootBucket22,Tags22,MatchOne22,Item22,Quantity22,LootBucket23,Tags23,MatchOne23,Item23,Quantity23,LootBucket24,Tags24,MatchOne24,Item24,Quantity24,LootBucket25,Tags25,MatchOne25,Item25,Quantity25,LootBucket26,Tags26,MatchOne26,Item26,Quantity26,LootBucket27,Tags27,MatchOne27,Item27,Quantity27,LootBucket28,Tags28,MatchOne28,Item28,Quantity28,LootBucket29,Tags29,MatchOne29,Item29,Quantity29,LootBucket30,Tags30,MatchOne30,Item30,Quantity30,LootBucket31,Tags31,MatchOne31,Item31,Quantity31,LootBucket32,Tags32,MatchOne32,Item32,Quantity32,LootBucket33,Tags33,MatchOne33,Item33,Quantity33,LootBucket34,Tags34,MatchOne34,Item34,Quantity34,LootBucket35,Tags35,MatchOne35,Item35,Quantity35,LootBucket36,Tags36,MatchOne36,Item36,Quantity36,LootBucket37,Tags37,MatchOne37,Item37,Quantity37
FIRSTROW,FishCommonSmallFresh,,TRUE,FishingSalmonSmallT1,1,FishCommonSmallSalt,,TRUE,FishingSalmonSmallT1,1,FishCommonMedFresh,,TRUE,FishingSalmonMediumT1,1,FishCommonMedSalt,,TRUE,FishingSalmonMediumT1,1,FishCommonLargeFresh,,TRUE,FishingSalmonLargeT1,1,FishCommonLargeSalt,,TRUE,FishingSalmonLargeT1,1,FishUncommonSmallFresh,"Windsward,Weavers,Restless,Mourning,Shattered,FirstLight",TRUE,FishingSturgeonSmallT2,1,FishUncommonSmallSalt,"Windsward,Weavers,Restless,Mourning,Shattered,FirstLight",TRUE,FishingSturgeonSmallT2,1,FishUncommonMedFresh,"Windsward,Weavers,Restless,Mourning,Shattered,FirstLight",TRUE,FishingSturgeonMediumT2,1,FishUncommonMedSalt,"Windsward,Weavers,Restless,Mourning,Shattered,FirstLight",TRUE,FishingSturgeonMediumT2,1,FishUncommonLargeFresh,"Windsward,Weavers,Restless,Mourning,Shattered,FirstLight",TRUE,FishingSturgeonLargeT2,1,FishUncommonLargeSalt,"Windsward,Weavers,Restless,Mourning,Shattered,FirstLight",TRUE,FishingSturgeonLargeT2,1,FishRareSmallFresh,"Windsward,Everfall,Restless,Edengrove,FirstLight",TRUE,FishingSculpinSmallT3,1,FishRareSmallSalt,"Windsward,Everfall,Restless,Edengrove,FirstLight",TRUE,FishingSculpinSmallT3,1,FishRareMedFresh,"Windsward,Everfall,Restless,Edengrove,FirstLight",TRUE,FishingSculpinMediumT3,1,FishRareMedSalt,"Windsward,Everfall,Restless,Edengrove,FirstLight",TRUE,FishingSculpinMediumT3,1,FishRareLargeFresh,"Windsward,Everfall,Restless,Edengrove,FirstLight",TRUE,FishingSculpinLargeT3,1,FishRareLargeSalt,"Windsward,Everfall,Restless,Edengrove,FirstLight",TRUE,FishingSculpinLargeT3,1,FishUltraFresh,Monarchs,TRUE,fishingegedeserpet5,1,FishUltraSalt,Monarchs,TRUE,fishingegedeserpet5,1,FishUltraRandom,,TRUE,fishingegedeserpet5,1,NonFishCommon,,TRUE,FishingSeaweedT1,1,NonFishUncommon,,TRUE,FishingBootT2,1,NonFishRare,,TRUE,FishingTreasureChestT3,1,NonFishRareFreshOnly,,TRUE,FishingTreasureHammerT2,1,NonFishRareSaltOnly,,TRUE,FishingTreasureSwordT2,1,DayNightFishBait,"Day,Dusk",TRUE,BaitSaltNightcrawlerT2,1-3,FishingTreasureProvisionsHerbs,,FALSE,GarlicT1,3-5,FishingTreasureProvisionsIngredients,,FALSE,OnionT1,2-4,FishingTreasureProvisionsMeat,,FALSE,turkeybreastt1,2-3,FishingTreasurePigments,,FALSE,PigmentRed,3,FishingTreasureMotes,,false,AlchemyEarthT1,1-2,FishingTreasureCreatures,,false,EarthshellTailT1,1,FishingTreasureGearT3,,false,LightHead_SunkenFishermanT3,1,FishingTreasureGearT4,,false,LightHead_SunkenFishermanT4,1,DayNightFishRareBait,"Day,Dusk",TRUE,RareBaitNightcrawlerT4,1-3,RareBait,,false,RareBaitBreadT4,2-3
DATA1,,,TRUE,FishingPikeSmallT1,1,,"Windsward,Everfall,Brightwood,Restless,GreatCleave,Mourning,Edengrove,Queensport,Shattered,Brimstone",TRUE,FishingMackerelSmallT1,1,,,TRUE,FishingPikeMediumT1,1,,"Windsward,Everfall,Brightwood,Restless,GreatCleave,Mourning,Edengrove,Queensport,Shattered,Brimstone",TRUE,FishingMackerelMediumT1,1,,,TRUE,FishingPikeLargeT1,1,,"Windsward,Everfall,Brightwood,Restless,GreatCleave,Mourning,Edengrove,Queensport,Shattered,Brimstone",TRUE,FishingMackerelLargeT1,1,,"Everfall,Brightwood,CutlassKeys,GreatCleave,Reekwater,Shattered",TRUE,FishingCatfishSmallT2,1,,"Monarchs,Windsward,Everfall,Brightwood,GreatCleave,Mourning,Edengrove,Queensport,Shattered,Brimstone",TRUE,FishingCodSmallT2,1,,"Monarchs,Everfall,Weavers,Mourning,Reekwater,Shattered,FirstLight",TRUE,FishingTadpolesSmallT2,1,,"Monarchs,Windsward,Everfall,Brightwood,GreatCleave,Mourning,Edengrove,Queensport,Shattered,Brimstone",TRUE,FishingCodMediumT2,1,,"Monarchs,Everfall,Weavers,Mourning,Reekwater,Shattered,FirstLight",TRUE,FishingTadpolesSmallT2,1,,"Monarchs,Windsward,Everfall,Brightwood,GreatCleave,Mourning,Edengrove,Queensport,Shattered,Brimstone",TRUE,FishingCodLargeT2,1,,"Everfall,GreatCleave,Edengrove,Queensport,FirstLight",TRUE,FishingDragonFishSmallT3,1,,"Everfall,GreatCleave,Edengrove,Queensport,FirstLight",TRUE,FishingDragonFishSmallT3,1,,"Everfall,GreatCleave,Edengrove,Queensport,FirstLight",TRUE,FishingDragonFishMediumT3,1,,"Everfall,GreatCleave,Edengrove,Queensport,FirstLight",TRUE,FishingDragonFishMediumT3,1,,"Everfall,GreatCleave,Edengrove,Queensport,FirstLight",TRUE,FishingDragonFishLargeT3,1,,"Everfall,GreatCleave,Edengrove,Queensport,FirstLight",TRUE,FishingDragonFishLargeT3,1,,Windsward,TRUE,fishingmerliont5,1,,Windsward,TRUE,fishingmerliont5,1,,,TRUE,fishingmerliont5,1,,,,,,,,TRUE,FishingAnchorT2,1,,,TRUE,FishingTreasureBootT2,1,,,,,,,,TRUE,FishingTreasureSeaweedT2,1,,"Night,Dawn",TRUE,BaitSaltGlowwormT3,1-3,,,FALSE,PeppercornT1,3-5,,,FALSE,MushroomT1,2-4,,,FALSE,rabbitt1,2-3,,,FALSE,PigmentOrange,3,,,false,AlchemyFireT1,1-2,,,false,SalamanderSlimeT1,1,,,false,LightChest_SunkenFishermanT3,1,,,false,LightChest_SunkenFishermanT4,1,,"Night,Dawn",TRUE,RareBaitGlowwormT4,1-3,,,false,RareBaitMeatT4,2-3
DATA2,,"Everfall,Brightwood,Weavers,GreatCleave,Reekwater,FirstLight",TRUE,FishingTroutSmallT1,1,,"Monarchs,Windsward,Everfall,Brightwood,CutlassKeys,Restless,GreatCleave,Edengrove,Queensport,Shattered,FirstLight",TRUE,FishingSnapperSmallT1,1,,"Everfall,Brightwood,Weavers,GreatCleave,Reekwater,FirstLight",TRUE,FishingTroutMediumT1,1,,"Monarchs,Windsward,Everfall,Brightwood,CutlassKeys,Restless,GreatCleave,Edengrove,Queensport,Shattered,FirstLight",TRUE,FishingSnapperMediumT1,1,,"Everfall,Brightwood,Weavers,GreatCleave,Edengrove,Shattered",TRUE,FishingBassLargeT1,1,,"Monarchs,Windsward,Everfall,Brightwood,CutlassKeys,Restless,GreatCleave,Edengrove,Queensport,Shattered,FirstLight",TRUE,FishingSnapperLargeT1,1,,"Monarchs,Everfall,Weavers,Mourning,Reekwater,Shattered,FirstLight",TRUE,FishingTadpolesSmallT2,1,,"Windsward,Everfall,Brightwood,CutlassKeys,Weavers,GreatCleave,Mourning,Edengrove,Queensport,Shattered,FirstLight",TRUE,FishingClamsSmallT2,1,,"Windsward,Everfall,CutlassKeys,Mourning,Edengrove,Queensport,Brimstone",TRUE,FishingSnailSmallT2,1,,"Monarchs,Everfall,Brightwood,CutlassKeys,GreatCleave,Mourning,Edengrove,Reekwater,Shattered,Brimstone",TRUE,FishingHalibutMediumT2,1,,"Windsward,Everfall,CutlassKeys,Mourning,Edengrove,Queensport,Brimstone",TRUE,FishingSnailSmallT2,1,,"Monarchs,Everfall,Brightwood,CutlassKeys,GreatCleave,Mourning,Edengrove,Reekwater,Shattered,Brimstone",TRUE,FishingHalibutLargeT2,1,,"Monarchs,Brightwood,Weavers,GreatCleave,Shattered,FirstLight",TRUE,FishingElectricEelSmallT3,1,,"Monarchs,Everfall,Brightwood,CutlassKeys,GreatCleave,Edengrove,Reekwater,Shattered,FirstLight",TRUE,FishingFrogfishSmallT3,1,,"Monarchs,Brightwood,Weavers,GreatCleave,Shattered,FirstLight",TRUE,FishingElectricEelMediumT3,1,,"Monarchs,Everfall,Brightwood,CutlassKeys,GreatCleave,Edengrove,Reekwater,Shattered,FirstLight",TRUE,FishingFrogfishMediumT3,1,,"Monarchs,Everfall,Brightwood,GreatCleave,Reekwater,Shattered,Brimstone",TRUE,FishingPaddlefishLargeT3,1,,"Windsward,Everfall,Brightwood,CutlassKeys,Weavers,Restless,GreatCleave,Edengrove,Queensport,Shattered",TRUE,FishingStingRayLargeT3,1,,Everfall,TRUE,fishingtessiet5,1,,Everfall,TRUE,fishingtessiet5,1,,,TRUE,fishingtessiet5,1,,,,,,,,TRUE,FishingFishSwordT2,1,,,TRUE,FishingTreasureOarT2,1,,,,,,,,,,,,"ContainerLootCookingSmall,ContainerLootCookingLarge",TRUE,EggT1,1-3,,,FALSE,SaltT1,3-5,,,FALSE,PotatoT1,2-4,,,FALSE,venisontenderloint1,2-3,,,FALSE,PigmentYellow,3,,,false,AlchemyAirT1,1-2,,,false,LightningBeetleWingsT1,1,,,false,LightHands_SunkenFishermanT3,1,,,false,LightHands_SunkenFishermanT4,1,,,,,,,,false,RareBaitFishT4,2-3
DATA3,,"Windsward,Everfall,Weavers,Edengrove,Reekwater,Shattered",TRUE,FishingSunfishSmallT1,1,,"Windsward,Everfall,Brightwood,Weavers,GreatCleave,Edengrove,Reekwater,Shattered,FirstLight",TRUE,FishingFlounderSmallT1,1,,"Windsward,Everfall,Weavers,Edengrove,Reekwater,Shattered",TRUE,FishingSunfishMediumT1,1,,"Windsward,Everfall,Brightwood,Weavers,GreatCleave,Edengrove,Reekwater,Shattered,FirstLight",TRUE,FishingFlounderMediumT1,1,,"Windsward,Everfall,Brightwood,Mourning,Edengrove,Shattered,Brimstone",TRUE,FishingPerchLargeT1,1,,"Windsward,Everfall,Brightwood,Weavers,GreatCleave,Edengrove,Reekwater,Shattered,FirstLight",TRUE,FishingFlounderLargeT1,1,,"Windsward,Everfall,CutlassKeys,Mourning,Edengrove,Queensport,Brimstone",TRUE,FishingSnailSmallT2,1,,"Monarchs,Everfall,Brightwood,Restless,GreatCleave,Edengrove,Queensport,Reekwater,Shattered,Brimstone",TRUE,FishingSquidSmallT2,1,,"Everfall,Brightwood,CutlassKeys,GreatCleave,Reekwater,Shattered",TRUE,FishingCatfishMediumT2,1,,"Monarchs,Everfall,Brightwood,Restless,GreatCleave,Edengrove,Queensport,Reekwater,Shattered,Brimstone",TRUE,FishingSquidMediumT2,1,,"Everfall,Brightwood,CutlassKeys,GreatCleave,Reekwater,Shattered",TRUE,FishingCatfishLargeT2,1,,"Monarchs,Everfall,Brightwood,Restless,GreatCleave,Edengrove,Queensport,Reekwater,Shattered,Brimstone",TRUE,FishingSquidLargeT2,1,,"Brightwood,Weavers,Restless,GreatCleave,Edengrove,Brimstone",TRUE,FishingPiranhaSmallT3,1,,"Monarchs,Everfall,Brightwood,CutlassKeys,Weavers,GreatCleave,Edengrove,Shattered,FirstLight",TRUE,FishingSwordfishSmallT3,1,,"Brightwood,Weavers,Restless,GreatCleave,Edengrove,Brimstone",TRUE,FishingPiranhaMediumT3,1,,"Windsward,Everfall,Brightwood,CutlassKeys,Weavers,Restless,GreatCleave,Edengrove,Queensport,Shattered",TRUE,FishingStingRayMediumT3,1,,"Brightwood,CutlassKeys,Restless,Queensport,Reekwater",TRUE,FishingSpeartoothSharkLargeT3,1,,"Monarchs,Everfall,Brightwood,CutlassKeys,Weavers,GreatCleave,Edengrove,Shattered,FirstLight",TRUE,FishingSwordfishLargeT3,1,,Brightwood,TRUE,fishingmoragt5,1,,Brightwood,TRUE,fishingmoragt5,1,,,TRUE,fishingmoragt5,1,,,,,,,,TRUE,FishingHeadedHammerT2,1,,,TRUE,FishingTreasureGoodProvisionT3,1,,,,,,,,,,,,,,,,,,FALSE,SugarT1,3-5,,,FALSE,SquashT1,2-4,,,FALSE,primeredmeatt1,2-3,,,FALSE,PigmentGreen,3,,,false,AlchemyWaterT1,1-2,,,false,SpinefishFinsT1,1,,,false,LightLegs_SunkenFishermanT3,1,,,false,LightLegs_SunkenFishermanT4,1,,,,,,,,false,RareBaitCheeseT4,2-3
DATA4,,"Everfall,Brightwood,Weavers,GreatCleave,Edengrove,Shattered",TRUE,FishingBassSmallT1,1,,"Monarchs,Everfall,Brightwood,CutlassKeys,Restless,GreatCleave,Edengrove,Queensport,Shattered",TRUE,FishingBluefishSmallT1,1,,"Everfall,Brightwood,Weavers,GreatCleave,Edengrove,Shattered",TRUE,FishingBassMediumT1,1,,"Monarchs,Everfall,Brightwood,CutlassKeys,Restless,GreatCleave,Edengrove,Queensport,Shattered",TRUE,FishingBluefishMediumT1,1,,"Everfall,Brightwood,Weavers,GreatCleave,Reekwater,FirstLight",TRUE,FishingTroutLargeT1,1,,"Monarchs,Everfall,Brightwood,CutlassKeys,Restless,GreatCleave,Edengrove,Queensport,Shattered",TRUE,FishingBluefishLargeT1,1,,,,,,,"Monarchs,Everfall,Brightwood,CutlassKeys,GreatCleave,Mourning,Edengrove,Reekwater,Shattered,Brimstone",TRUE,FishingHalibutSmallT2,1,,,,,,,"Windsward,Everfall,Brightwood,CutlassKeys,Weavers,GreatCleave,Mourning,Edengrove,Queensport,Shattered,FirstLight",TRUE,FishingClamsSmallT2,1,,,,,,,"Windsward,Everfall,Brightwood,CutlassKeys,Weavers,GreatCleave,Mourning,Edengrove,Queensport,Shattered,FirstLight",TRUE,FishingClamsSmallT2,1,,"Monarchs,Everfall,Brightwood,GreatCleave,Reekwater,Shattered,Brimstone",TRUE,FishingPaddlefishSmallT3,1,,"Everfall,Brightwood,CutlassKeys,Restless,GreatCleave,Mourning,Edengrove,Queensport,Shattered,Brimstone",TRUE,FishingPearlOysterSmallT3,1,,"Monarchs,Everfall,Brightwood,GreatCleave,Reekwater,Shattered,Brimstone",TRUE,FishingPaddlefishMediumT3,1,,"Monarchs,Everfall,Brightwood,CutlassKeys,Weavers,GreatCleave,Edengrove,Shattered,FirstLight",TRUE,FishingSwordfishMediumT3,1,,"Monarchs,Brightwood,Weavers,GreatCleave,Shattered,FirstLight",TRUE,FishingElectricEelLargeT3,1,,"Monarchs,Everfall,Brightwood,CutlassKeys,GreatCleave,Edengrove,Reekwater,Shattered,FirstLight",TRUE,FishingFrogfishLargeT3,1,,CutlassKeys,TRUE,fishingmerrowt5,1,,CutlassKeys,TRUE,fishingmerrowt5,1,,,TRUE,fishingmerrowt5,1,,,,,,,,TRUE,FishingOarT2,1,,,TRUE,FishingTreasurePigmentT3,1,,,,,,,,,,,,,,,,,,FALSE,CinnamonT1,3-5,,,FALSE,TomatoT1,2-4,,,,,,,,FALSE,PigmentBlue,3,,,false,AlchemySpiritT1,1-2,,,false,LifemothEyesT1,1,,,false,LightFeet_SunkenFishermanT3,1,,,false,LightFeet_SunkenFishermanT4,1,,,,,,,,false,RareBaitClamT4,2-3
DATA5,,"Windsward,Everfall,Brightwood,Mourning,Edengrove,Shattered,Brimstone",TRUE,FishingPerchSmallT1,1,,"Everfall,Brightwood,CutlassKeys,Restless,GreatCleave,Edengrove,Queensport,Reekwater,Shattered,FirstLight",TRUE,FishingHakeSmallT1,1,,"Windsward,Everfall,Brightwood,Mourning,Edengrove,Shattered,Brimstone",TRUE,FishingPerchMediumT1,1,,"Everfall,Brightwood,CutlassKeys,Restless,GreatCleave,Edengrove,Queensport,Reekwater,Shattered,FirstLight",TRUE,FishingHakeMediumT1,1,,"Windsward,Everfall,Weavers,Edengrove,Reekwater,Shattered",TRUE,FishingSunfishLargeT1,1,,"Everfall,Brightwood,CutlassKeys,Restless,GreatCleave,Edengrove,Queensport,Reekwater,Shattered,FirstLight",TRUE,FishingHakeLargeT1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brightwood,CutlassKeys,Restless,Queensport,Reekwater",TRUE,FishingSpeartoothSharkSmallT3,1,,"Monarchs,Everfall,Brightwood,CutlassKeys,Restless,GreatCleave,Edengrove,Reekwater,Shattered,FirstLight",TRUE,StarfishT1,1,,"Brightwood,CutlassKeys,Restless,Queensport,Reekwater",TRUE,FishingSpeartoothSharkMediumT3,1,,"Everfall,Brightwood,CutlassKeys,Restless,GreatCleave,Mourning,Edengrove,Queensport,Shattered,Brimstone",TRUE,FishingPearlOysterSmallT3,1,,"Brightwood,Weavers,Restless,GreatCleave,Edengrove,Brimstone",TRUE,FishingPiranhaLargeT3,1,,"Everfall,Brightwood,CutlassKeys,Restless,GreatCleave,Mourning,Edengrove,Queensport,Shattered,Brimstone",TRUE,FishingPearlOysterSmallT3,1,,Weavers,TRUE,fishingnamazut5,1,,Weavers,TRUE,fishingnamazut5,1,,,TRUE,fishingnamazut5,1,,,,,,,,,,,,,TRUE,FishingTreasureMoteT3,1,,,,,,,,,,,,,,,,,,FALSE,ThymeT1,3-5,,,FALSE,CauliflowerT1,2-4,,,,,,,,FALSE,PigmentPurple,3,,,false,AlchemyLifeT1,1-2,,,false,SoulwyrmTongueT1,1,,,,,,,,,,,,,,,,,,false,RareBaitWoodliceT4,2-3
DATA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windsward,Weavers,GreatCleave,Edengrove,Queensport",TRUE,FishingMadtomSmallT3,1,,"Windsward,Everfall,Brightwood,CutlassKeys,Weavers,Restless,GreatCleave,Edengrove,Queensport,Shattered",TRUE,FishingStingRaySmallT3,1,,"Windsward,Weavers,GreatCleave,Edengrove,Queensport",TRUE,FishingMadtomMediumT3,1,,"Monarchs,Everfall,Brightwood,CutlassKeys,Restless,GreatCleave,Edengrove,Reekwater,Shattered,FirstLight",TRUE,StarfishT1,1,,"Windsward,Weavers,GreatCleave,Edengrove,Queensport",TRUE,FishingMadtomLargeT3,1,,"Monarchs,Everfall,Brightwood,CutlassKeys,Restless,GreatCleave,Edengrove,Reekwater,Shattered,FirstLight",TRUE,StarfishT1,1,,Restless,TRUE,fishingselkiet5,1,,Restless,TRUE,fishingselkiet5,1,,,TRUE,fishingselkiet5,1,,,,,,,,,,,,,TRUE,FishingTreasureGearT3,1,,,,,,,,,,,,,,,,,,FALSE,ParsleyT1,3-5,,,FALSE,StringBeanT1,2-4,,,,,,,,FALSE,PigmentWhite,3,,,false,AlchemyDeathT1,1-2,,,false,BlightmothDustT1,1,,,,,,,,,,,,,,,,,,false,RareBaitSnailT4,2-3
DATA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GreatCleave,TRUE,fishinganglerfisht5,1,,GreatCleave,TRUE,fishinganglerfisht5,1,,,TRUE,fishinganglerfisht5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,RosemaryT1,3-5,,,FALSE,CornT1,2-4,,,,,,,,FALSE,PigmentBrown,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,RareBaitNightcrawlerT4,2-3
DATA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mourning,TRUE,fishingogopogot5,1,,Mourning,TRUE,fishingogopogot5,1,,,TRUE,fishingogopogot5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,SageT1,3-5,,,FALSE,BarleyT1,2-4,,,,,,,,FALSE,PigmentBlack,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,RareBaitOysterT4,2-3
DATA9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edengrove,TRUE,fishingbishopfisht5,1,,Edengrove,TRUE,fishingbishopfisht5,1,,,TRUE,fishingbishopfisht5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TarragonT1,3-5,,,FALSE,RiceT1,2-4,,,,,,,,FALSE,pigmentturquoise,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,RareBaitFireflyT4,2-3
