RowPlaceholders,LootBucket1,Tags1,MatchOne1,Item1,Quantity1,LootBucket2,Tags2,MatchOne2,Item2,Quantity2
FIRSTROW,Playtest_GS600Weapons,,FALSE,1hLongsword_PVP_Prestige600T5_V2,1,Playtest_GS600Armor,,FALSE,HeavyHead_PVP_Prestige600T5_V2,1
DATA1,,,FALSE,1hThrowingAxe_PVP_Prestige600T5_V2,1,,,FALSE,HeavyChest_PVP_Prestige600T5_V2,1
DATA2,,,FALSE,2hWarhammer_PVP_Prestige600T5_V2,1,,,FALSE,HeavyHands_PVP_Prestige600T5_V2,1
DATA3,,,FALSE,2hGreatAxe_PVP_Prestige600T5_V2,1,,,FALSE,HeavyLegs_PVP_Prestige600T5_V2,1
DATA4,,,FALSE,2hBow_PVP_Prestige600T5_V2,1,,,FALSE,HeavyFeet_PVP_Prestige600T5_V2,1
DATA5,,,FALSE,2hMusket_PVP_Prestige600T5_V2,1,,,FALSE,MediumHead_PVP_Prestige600T5_V2,1
DATA6,,,FALSE,1hRoundShield_PVP_Prestige600T5_V2,1,,,FALSE,MediumChest_PVP_Prestige600T5_V2,1
DATA7,,,FALSE,1hKiteShield_PVP_Prestige600T5_V2,1,,,FALSE,MediumHands_PVP_Prestige600T5_V2,1
DATA8,,,FALSE,1hTowerShield_PVP_Prestige600T5_V2,1,,,FALSE,MediumLegs_PVP_Prestige600T5_V2,1
DATA9,,,FALSE,2hStaffFire_PVP_Prestige600T5_V2,1,,,FALSE,MediumFeet_PVP_Prestige600T5_V2,1
DATA10,,,FALSE,2hStaffLife_PVP_Prestige600T5_V2,1,,,FALSE,LightHead_PVP_Prestige600T5_V2,1
DATA11,,,FALSE,2hSpear_PVP_Prestige600T5_V2,1,,,FALSE,LightChest_PVP_Prestige600T5_V2,1
DATA12,,,FALSE,1hRapier_PVP_Prestige600T5_V2,1,,,FALSE,LightHands_PVP_Prestige600T5_V2,1
DATA13,,,FALSE,1hGauntletIce_PVP_Prestige600T5_V2,1,,,FALSE,LightLegs_PVP_Prestige600T5_V2,1
DATA14,,,FALSE,1hGauntletVoid_PVP_Prestige600T5_V2,1,,,FALSE,LightFeet_PVP_Prestige600T5_V2,1
DATA15,,,FALSE,2hBlunderbuss_PVP_Prestige600T5_V2,1,,,,,
DATA16,,,FALSE,2hGreatSword_PVP_Prestige600T5_V2,1,,,,,
