ExclusiveLabelID,Weight,ItemClassOverrides
Attribute,100,
EmptyGem,100,
Lightning,1,
Arcane,1,
Fire,1,
Ice,1,
Nature,1,
Void,1,
Brash,100,
Opportunist,100,
Retaliate,100,
Exhilarate,100,
Cruel,100,
Gambit,100,
Rally,100,
Taunt,20,
ArmorLuck,100,
ArmorSize,100,
ArmorCastDistance,100,
LuckDay,100,
LuckNight,100,
Durability,30,
StrengthSalt,100,
StrengthFresh,100,
CastDistanceDay,100,
CastDistanceNight,100,
CatchSizeDay,100,
CatchSizeNight,100,
CatchSizeSalt,100,
CatchSizeFresh,100,
Skill,100,
Hatchet,1,
2HHammer,1,
Musket,1,
Spear,1,
Bow,1,
Rapier,1,
LifeStaff,1,
FireStaff,1,
Sword,1,
Shield,1,
2hAxe,1,
IceGauntlet,1,
VoidGauntlet,1,
Blunderbuss,1,
GreatSword,1,
CDR,100,
Luck,25,
AzothGain,100,
Yield,100,
Bonus,100,
GatherProc,100,
EncumAdd,100,
EncumReduce,100,
Ammo,50,
DmgAbsorb,100,
Gathering,1,
Afflicted,20,
CritDef,100,
DebuffDur,100,
Defense,100,
Health,200,
Proc,100,
GatheringLuck,1,
BuffDur,100,
Healing,100,
DmgType,100,
Stam,100,
Mana,20,
Regen,100,
Threat,20,
Consume,100,
ConsumeAdd,50,
ConsumeCDR,200,
Trade Skill,1,
DmgCon,100,
CritHeadshot,100,
OnKill,20,
Critical,100,
DmgCategory,50,
Accuracy,20,
Blocking,10,Shield:200
Tradeskill,1,
Elemental,100,
Music,100,
ArmorHealth,20,
