BackstoryID,BackstoryName,Purpose,BackstoryText,LevelOverride,PlaytestType,FactionOverride,Constitution,Focus,Strength,Dexterity,Intelligence,Weaponsmithing,Armoring,Jewelcrafting,Arcana,Cooking,Furnishing,Engineering,Smelting,Woodworking,Leatherworking,Weaving,Stonecutting,Skinning,Mining,Logging,Harvesting,Musician,AzothStaff,LootTableIndex,Currency,RepairParts,Azoth,FactionReputation,FactionTokens,CampUnlockTier,PvPFlag,ConversationUnlockOverride,ObjectiveUnlockOverride,AchievementUnlockOverride,OutpostRushMinMMROverride,OutpostRushMaxMMROverride,WeaponMasteries,CategoricalProgression,RespawnPointTerritories,AddToLoadouts,InventoryItem,ForceFTUE
Backstory1,Backstory1,,Lorem Ipsum,,,,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,,Expansion_2023_Unlock,,,,,,,"1hSwordT2_FTUE:1,LightChestT1:1,LightLegsT1:1",
Backstory2,Backstory2,,Lorem Ipsum,,,,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,,,,,,,,,,,,,"1hSwordT2_FTUE:1,LightChestT1:1,LightLegsT1:1",
Backstory3,Backstory3,,Lorem Ipsum,,,,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,"1hSwordT2_FTUE:1,LightChestT1:1,LightLegsT1:1",
Backstory4,Backstory4,,Lorem Ipsum,,,,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,,,,,,,,,,,,,"1hSwordT2_FTUE:1,LightChestT1:1,LightLegsT1:1",
Backstory5,Backstory5,,Lorem Ipsum,,,,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,,,,,,,,,,,,,"1hSwordT2_FTUE:1,LightChestT1:1,LightLegsT1:1",
Backstory6,Backstory6,,Lorem Ipsum,,,,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,,,,,,,,,,,,,"1hSwordT2_FTUE:1,LightChestT1:1,LightLegsT1:1",
Backstory7,Backstory7,,Lorem Ipsum,,,,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,,,,,,,,,,,,,"1hSwordT2_FTUE:1,LightChestT1:1,LightLegsT1:1",
Backstory8,Backstory8,,Lorem Ipsum,,,,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,,,,,,,,,,,,,"1hSwordT2_FTUE:1,LightChestT1:1,LightLegsT1:1",
Backstory9,Backstory9,,Lorem Ipsum,,,,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,,,,,,,,,,,,,"1hSwordT2_FTUE:1,LightChestT1:1,LightLegsT1:1",
Backstory10,Backstory10,,Lorem Ipsum,,,,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,,,,,,,,,,,,,"1hSwordT2_FTUE:1,LightChestT1:1,LightLegsT1:1",
