ContainerTypeID,EncumbranceBaseMax,EncumbranceWarningPercent,EquipLoadBaseMax,EquipLoadWarningPercent,FullWhenEncumbered,EquipLoadRatioFast,EquipLoadRatioNormal,EquipLoadRatioSlow,EquipLoadRatioOverburdened,EquipLoadStaminaCostMultFast,EquipLoadStaminaCostMultNormal,EquipLoadStaminaCostMultSlow,EquipLoadStaminaCostMultOverburdened,EquipLoadStaminaRegenMultFast,EquipLoadStaminaRegenMultNormal,EquipLoadStaminaRegenMultSlow,EquipLoadStaminaRegenMultOverburdened,EquipLoadMoveSpeedMultFast,EquipLoadMoveSpeedMultNormal,EquipLoadMoveSpeedMultSlow,EquipLoadMoveSpeedMultOverburdened,EquipLoadGritResistMultFast,EquipLoadGritResistMultNormal,EquipLoadGritResistMultSlow,EquipLoadGritResistMultOverburdened,EquipLoadDefenseMultFast,EquipLoadDefenseMultNormal,EquipLoadDefenseMultSlow,EquipLoadDefenseMultOverburdened,EquipLoadBlockStabilityMultFast,EquipLoadBlockStabilityMultNormal,EquipLoadBlockStabilityMultSlow,EquipLoadBlockStabilityMultOverburdened,EquipLoadStanceWeaponAccuracyFast,EquipLoadStanceWeaponAccuracyNormal,EquipLoadStanceWeaponAccuracySlow,EquipLoadMovementWeaponAccuracyFast,EquipLoadMovementWeaponAccuracyNormal,EquipLoadMovementWeaponAccuracySlow,EquipLoadDamageMultFast,EquipLoadDamageMultNormal,EquipLoadDamageMultSlow,EquipLoadDamageOverburdened,EquipLoadHealMultFast,EquipLoadHealMultNormal,EquipLoadHealMultSlow,EquipLoadCCStatusEffectDurationMultFast,EquipLoadCCStatusEffectDurationMultNormal,EquipLoadCCStatusEffectDurationMultSlow,EquipLoadCCStatusEffectDurationMultOverburdened,EquipLoadCCStatusEffectCategories
NoLimit,-1,80,-1,80,0,0,25,75,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
Player,2000,80,500,80,2,0,26,46,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1.15,1,1.3,1.3,1.3,1.1,1.1,1.1,0.15,0,-0.15,0,1.3,1,0.7,0,0,0,0,
StorageSmall,1500,80,-1,100,1,0,25,75,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
StorageMedium,10000,80,-1,100,1,0,25,75,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
StorageLarge,15000,80,-1,100,1,0,25,75,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
StorageXLarge,20000,80,-1,100,1,0,25,75,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
Well,300,80,-1,100,1,0,25,75,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
Outhouse,300,80,-1,100,1,0,25,75,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
SiegeSupplyGeneratorT1,300,80,-1,100,1,0,25,75,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
SiegeSupplyGeneratorT2,400,80,-1,100,1,0,25,75,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
SiegeSupplyGeneratorT3,500,80,-1,100,1,0,25,75,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
