LoreID,Type,Title,Subtitle,Body,AchievementId,ParentID,Order,ImagePath,LocationName,LocationXY,AssociatedQuest,Writer,LocNotes,RecordingStatus,LoreNotesLocation
BackstoryLore1,Default,@BackstoryLore1_Title,,@BackstoryLore1_Body,,ChapterBackstory,1,,,,,,,,
BackstoryLore2,Default,@BackstoryLore2_Title,,@BackstoryLore2_Body,,ChapterBackstory,2,,,,,,,,
BackstoryLore3,Default,@BackstoryLore3_Title,,@BackstoryLore3_Body,,ChapterBackstory,3,,,,,,,,
BackstoryLore4,Default,@BackstoryLore4_Title,,@BackstoryLore4_Body,,ChapterBackstory,4,,,,,,,,
BackstoryLore5,Default,@BackstoryLore5_Title,,@BackstoryLore5_Body,,ChapterBackstory,5,,,,,,,,
BackstoryLore6,Default,@BackstoryLore6_Title,,@BackstoryLore6_Body,,ChapterBackstory,6,,,,,,,,
BackstoryLore7,Default,@BackstoryLore7_Title,,@BackstoryLore7_Body,,ChapterBackstory,7,,,,,,,,
BackstoryLore8,Default,@BackstoryLore8_Title,,@BackstoryLore8_Body,,ChapterBackstory,8,,,,,,,,
BacktsoryLore9,Default,@BackstoryLore9_Title,,@BackstoryLore9_Body,,ChapterBackstory,9,,,,,,,,
SealedCommission,Default,@FTUE_Title_SealedCommission,@FTUE_Subtitle_SealedCommission,@FTUE_Body_SealedCommission,,ChapterCommission,1,,@FTUE_Location_lore1a,,,,,,
DeathandRebirthLore1a,Default,@FTUE_Title_lore1a,@FTUE_Subtitle_lore1a,@FTUE_Body_lore1a,,ChapterCommission,2,,@FTUE_Location_lore1a,,,,,,
DeathandRebirthLore1b,Default,@FTUE_Title_lore1b,,@FTUE_Body_lore1b,,ChapterDeathAndRebirth,1,,,,,,,,
DeathandRebirthLore1c,Default,@FTUE_Title_lore1c,,@FTUE_Body_lore1c,,ChapterDeathAndRebirth,2,,,,,,,,
DeathandRebirthLore1d,Default,@FTUE_Title_lore1d,,@FTUE_Body_lore1d,,ChapterDeathAndRebirth,3,,,,,,,,
DeathandRebirthLore2,Default,@FTUE_Title_lore2,,@FTUE_Body_lore2,,ChapterDeathAndRebirth,4,,,,,,,,
DeathandRebirthLore3,Default,@FTUE_Title_lore3,,@FTUE_Body_lore3,,,0,,,,,,,,
DeathandRebirthLore4a,Default,@FTUE_Title_lore4a,,@FTUE_Body_lore4a,,ChapterDeathAndRebirth,5,,,,,,,,
DeathandRebirthLore4b,Default,@FTUE_Title_lore4b,,@FTUE_Body_lore4b,,ChapterDeathAndRebirth,6,,,,,,,,
DeathandRebirthLore4c,Default,@FTUE_Title_lore4c,,@FTUE_Body_lore4c,,ChapterDeathAndRebirth,7,,,,,,,,
DeathandRebirthLore4d,Default,@FTUE_Title_lore4d,,@FTUE_Body_lore4d,,ChapterDeathAndRebirth,8,,,,,,,,
Outpost_LordEveretts,Default,@Lore_Title_Outpost_LordEveretts,,@Lore_Body_Outpost_LordEveretts,,ChapterOutpost,1,,@Lore_Title_Outpost_LordEveretts,"7756.703,2911.032",,,,,
Outpost_TrueDuncansWatch,Default,@Lore_Title_Outpost_TrueDuncansWatch,,@Lore_Body_Outpost_TrueDuncansWatch,,ChapterOutpost,2,,@Lore_Title_Outpost_TrueDuncansWatch,"9192.671,2803.025",,,,,
Outpost_AuroraAeternae,Default,@Lore_Title_Outpost_AuroraAeternae,,@Lore_Body_Outpost_AuroraAeternae,,ChapterOutpost,3,,@Lore_Title_Outpost_AuroraAeternae,"9124.650,3782.668",,,,,
Outpost_FirstLight,Default,@Lore_Title_Outpost_FirstLight,,@Lore_Body_Outpost_FirstLight,,ChapterOutpost,4,,@Lore_Title_Outpost_FirstLight,"8039.102,2196.508",,,,,
Outpost_WeaversStation,Default,@Lore_Title_Outpost_WeaversStation,,@Lore_Body_Outpost_WeaversStation,,ChapterOutpost,5,,@Lore_Title_Outpost_WeaversStation,"11183.032,5123.895",,,,,
Outpost_WeaversPost,Default,@Lore_Title_Outpost_WeaversPost,,@Lore_Body_Outpost_WeaversPost,,ChapterOutpost,6,,@Lore_Title_Outpost_WeaversPost,"12363.708,5760.285",,,,,
Outpost_WeaversPeak,Default,@Lore_Title_Outpost_WeaversPeak,,@Lore_Body_Outpost_FortVelazquez,,ChapterOutpost,7,,@Lore_Title_Outpost_WeaversPeak,"10900.025,4266.920",,,,,
Outpost_MonarchStation,Default,@Lore_Title_Outpost_MonarchStation,,@Lore_Body_Outpost_MonarchStation,,ChapterOutpost,8,,@Lore_Title_Outpost_MonarchStation,"7837.036,5530.253",,,,,
ChapterBackstory,Chapter,@Lore_Chapter_Backstory,,,,TopicLore,1,,,,,,,,
ChapterDeathAndRebirth,Chapter,@Lore_Chapter_DeathAndRebirth,,,,TopicFTUEIsland,2,,,,,,,,
ChapterArchaeologist,Chapter,@Lore_Chapter_Archaeologist,,,,Topic_06_Windsward,1,,,,,,,,
ChapterOutpost,Chapter,@Lore_Chapter_Outpost,,,,TopicSettlers,1,,,,,,,,
ChapterCommission,Chapter,@Lore_Chapter_Commission,,,,TopicFTUEIsland,1,,,,,,,,
TopicLore,Topic,@Topic_Lore,,,,,2,,,,,,,,
TopicFTUEIsland,Topic,@Topic_FTUEIsland,,@Topic_Description_FTUEIsland,,,35,,,,,,,,
TopicWindsward,Topic,@Topic_Windsward,,@Topic_Description_Windsward,,,4,,,,,,,,
TopicSettlers,Topic,@Topic_Settlers,,@Topic_Description_Settlers,,,3,,,,,,,,
TopicSurvivalGuide,Topic,@Topic_SurvivalGuide,,@Topic_Description_SurvivalGuide,,,5,lyshineui/images/loreimages/topicsurvivalguide.png,,,,,,,
ChapterGettingStarted,Chapter,@Lore_Chapter_GettingStarted,,,,TopicSurvivalGuide,1,lyshineui/images/loreimages/chapterGettingStarted.png,,,,,,,
GettingStarted_StartingLocation,Default,@Lore_Title_GettingStarted_StartingLocation,@Lore_Subtitle_GettingStarted_StartingLocation,@Lore_Body_GettingStarted_StartingLocation,,ChapterGettingStarted,1,lyshineui/images/loreimages/gettingstarted_startinglocation.png,,,,,,,
GettingStarted_Outposts,Default,@Lore_Title_GettingStarted_Outposts,@Lore_Subtitle_GettingStarted_Outposts,@Lore_Body_GettingStarted_Outposts,,ChapterGettingStarted,2,lyshineui/images/loreimages/gettingstarted_outpost.png,,,,,,,
GettingStarted_Coin,Default,@Lore_Title_GettingStarted_Coin,@Lore_Subtitle_GettingStarted_Coin,@Lore_Body_GettingStarted_Coin,,ChapterGettingStarted,3,lyshineui/images/loreimages/gettingstarted_coin.png,,,,,,,
GettingStarted_LevelingUp,Default,@Lore_Title_GettingStarted_LevelingUp,@Lore_Subtitle_GettingStarted_LevelingUp,@Lore_Body_GettingStarted_LevelingUp,,ChapterGettingStarted,4,lyshineui/images/loreimages/gettingstarted_levelingup.png,,,,,,,
GettingStarted_Social,Default,@Lore_Title_GettingStarted_Social,@Lore_Subtitle_GettingStarted_Social,@Lore_Body_GettingStarted_Social,,ChapterGettingStarted,5,lyshineui/images/loreimages/gettingstarted_social.png,,,,,,,
GettingStarted_War,Default,@Lore_Title_GettingStarted_War,@Lore_Subtitle_GettingStarted_War,@Lore_Body_GettingStarted_War,,ChapterGettingStarted,6,lyshineui/images/loreimages/gettingstarted_war.png,,,,,,,
GettingStarted_Sanctuaries,Default,@Lore_Title_GettingStarted_Sanctuaries,@Lore_Subtitle_GettingStarted_Sanctuaries,@Lore_Body_GettingStarted_Sanctuaries,,ChapterGettingStarted,7,lyshineui/images/loreimages/gettingstarted_sanctuaries.png,,,,,,,
ChapterMechanics,Chapter,@Lore_Chapter_Mechanics,,,,TopicSurvivalGuide,2,lyshineui/images/loreimages/chapterInterface.png,,,,,,,
Mechanics_Movement,Default,@Lore_Title_Mechanics_Movement,,@Lore_Body_Mechanics_Movement,,ChapterMechanics,1,,,,,,,,
Mechanics_Combat,Default,@Lore_Title_Mechanics_Combat,,@Lore_Body_Mechanics_Combat,,ChapterMechanics,2,,,,,,,,
Mechanics_Vitals,Default,@Lore_Title_Mechanics_Vitals,,@Lore_Body_Mechanics_Vitals,,ChapterMechanics,3,,,,,,,,
Mechanics_FoodDrink,Default,@Lore_Title_Mechanics_FoodDrink,,@Lore_Body_Mechanics_FoodDrink,,ChapterMechanics,4,,,,,,,,
Mechanics_UI,Default,@Lore_Title_Mechanics_UI,,@Lore_Body_Mechanics_UI,,ChapterMechanics,5,,,,,,,,
Mechanics_Camping,Default,@Lore_Title_Mechanics_Camping,,@Lore_Body_Mechanics_Camping,,ChapterMechanics,6,,,,,,,,
Mechanics_Respawn,Default,@Lore_Title_Mechanics_Respawn,,@Lore_Body_Mechanics_Respawn,,ChapterMechanics,7,,,,,,,,
Mechanics_SocialMenu,Default,@Lore_Title_Mechanics_SocialMenu,,@Lore_Body_Mechanics_SocialMenu,,ChapterMechanics,8,,,,,,,,
Mechanics_Inventory,Default,@Lore_Title_Mechanics_Inventory,,@Lore_Body_Mechanics_Inventory,,ChapterMechanics,9,,,,,,,,
Mechanics_Crafting,Default,@Lore_Title_Mechanics_Crafting,,@Lore_Body_Mechanics_Crafting,,ChapterMechanics,10,,,,,,,,
Mechanics_Crime,Default,@Lore_Title_Mechanics_Crime,,@Lore_Body_Mechanics_Crime,,ChapterMechanics,11,,,,,,,,
Mechanics_Reporting,Default,@Lore_Title_Mechanics_Reporting,,@Lore_Body_Mechanics_Reporting,,ChapterMechanics,12,,,,,,,,
Mechanics_Technical,Default,@Lore_Title_Mechanics_Technical,,@Lore_Body_Mechanics_Technical,,ChapterMechanics,13,,,,,,,,
ChapterCrafting,Chapter,@Lore_Chapter_Crafting,,,,TopicSurvivalGuide,3,lyshineui/images/loreimages/chapterCrafting.png,,,,,,,
Crafting_Overview,Default,@Lore_Title_Crafting_Overview,@Lore_Subtitle_Crafting_Overview,@Lore_Body_Crafting_Overview,,ChapterCrafting,1,,,,,,,,
Crafting_Gather,Default,@Lore_Title_Crafting_Gather,@Lore_Subtitle_Crafting_Gather,@Lore_Body_Crafting_Gather,,ChapterCrafting,2,lyshineui/images/loreimages/crafting_gathering.png,,,,,,,
Crafting_Gather2,Default,@Lore_Title_Crafting_Gather2,@Lore_Subtitle_Crafting_Gather2,@Lore_Body_Crafting_Gather2,,ChapterCrafting,3,lyshineui/images/loreimages/crafting_gathering2.png,,,,,,,
Crafting_Refining,Default,@Lore_Title_Crafting_Refining,@Lore_Subtitle_Crafting_Refining,@Lore_Body_Crafting_Refining,,ChapterCrafting,4,lyshineui/images/loreimages/crafting_refining.png,,,,,,,
