RewardId,Name,Description,Rank,FilterType,GameEventId_Rank_Amazing,GameEventId_Rank_Great,GameEventId_Rank_Okay,GameEventId_Rank_Bad
MusicBuff_NoReward,@MusicBuff_NoReward_Name,@MusicBuff_NoReward_Desc,0,DefaultPerformance,MusicReward_None,MusicReward_None,MusicReward_None,MusicReward_None
MusicBuff_01,@MusicBuff_SongInYourStep_Name,@MusicBuff_SongInYourStep_Desc,75,DefaultPerformance,MusicReward_Amazing_Buff_01,MusicReward_Great_Buff_01,MusicReward_Okay_Buff_01,MusicReward_Bad_Buff_01
MusicBuff_02,@MusicBuff_TerritorialTriumph_Name,@MusicBuff_TerritorialTriumph_Desc,5,DefaultPerformance,MusicReward_Amazing_Buff_02,MusicReward_Great_Buff_02,MusicReward_Okay_Buff_02,MusicReward_Bad_Buff_02
MusicBuff_03,@MusicBuff_AllTogetherNow_Name,@MusicBuff_AllTogetherNow_Desc,25,DefaultPerformance,MusicReward_Amazing_Buff_03,MusicReward_Great_Buff_03,MusicReward_Okay_Buff_03,MusicReward_Bad_Buff_03
MusicBuff_05,@MusicBuff_FortunesFavor_Name,@MusicBuff_FortunesFavor_Desc,100,DefaultPerformance,MusicReward_Amazing_Buff_05,MusicReward_Great_Buff_05,MusicReward_Okay_Buff_05,MusicReward_Bad_Buff_05
MusicBuff_06,@MusicBuff_LucksLabor_Name,@MusicBuff_LucksLabor_Desc,150,DefaultPerformance,MusicReward_Amazing_Buff_06,MusicReward_Great_Buff_06,MusicReward_Okay_Buff_06,MusicReward_Bad_Buff_06
MusicBuff_07,@MusicBuff_DecidedlyDexterous_Name,@MusicBuff_DecidedlyDexterous_Desc,2,DefaultPerformance,MusicReward_Amazing_Buff_07,MusicReward_Great_Buff_07,MusicReward_Okay_Buff_07,MusicReward_Bad_Buff_07
MusicBuff_08,@MusicBuff_NeverStopLearning_Name,@MusicBuff_NeverStopLearning_Desc,205,DefaultPerformance,MusicReward_Amazing_Buff_08,MusicReward_Great_Buff_08,MusicReward_Okay_Buff_08,MusicReward_Bad_Buff_08
MusicBuff_Waltz,@MusicBuff_Maudlinbug_Waltz_Name,@MusicBuff_Maudlinbug_Waltz_Desc,0,Event_Summer2023_Perm,MusicReward_Amazing_Waltz,MusicReward_Great_Waltz,MusicReward_Okay_Waltz,MusicReward_Bad_Waltz
MusicBuff_ShredlyFair,@MusicBuff_ShredlyFair_Name,@MusicBuff_ShredlyFair_Desc,0,Event_Summer2023_Perm,MusicReward_Amazing_Shredly,MusicReward_Great_Shredly,MusicReward_Okay_Shredly,MusicReward_Bad_Shredly
