TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,UnchartedIcon,EventId
60401,@ui_poi_mine_60401,,,,true,LyShineUI/Images/Map/Icon/POIs/Mine.png,,150,true,true,,,,,mine_60401_discovered,mine_60401_charted,mine,POI_State,mine,,false,@ui_poi_mine_60401,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_mine.png,,,
60402,@ui_poi_abandoned_homestead_overlook_60402,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,150,true,true,,,,,abandoned_homestead_overlook_60402_discovered,abandoned_homestead_overlook_60402_charted,abandoned_homestead_overlook,POI_State,abandoned_village,AbandonedMine,false,@ui_poi_abandoned_homestead_overlook_60402,,,,,,,
60403,@ui_poi_ancient_lookout_highcliff_60403,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lookout.png,,200,true,true,,,,,ancient_lookout_highcliff_60403_discovered,ancient_lookout_highcliff_60403_charted,ancient_lookout_highcliff,POI_State,lookout,,false,@ui_poi_ancient_lookout_highcliff_60403,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,
60404,@ui_poi_bear_den_ramshead_60404,,,,true,LyShineUI/Images/Map/Icon/POIs/bear_den.png,,100,true,true,,,,,bear_den_ramshead_60404_discovered,bear_den_ramshead_60404_charted,bear_den_ramshead,POI_State,bear_den,,false,@ui_poi_bear_den_ramshead_60404,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,
60405,@ui_poi_azure_fissure_60405,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_60405_discovered,azure_fissure_60405_charted,azure_fissure,POI_State,azure_fissure,,false,@ui_poi_azure_fissure_60405,,,,,,,
60406,@ui_poi_azure_fissure_60406,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_60406_discovered,azure_fissure_60406_charted,azure_fissure,POI_State,azure_fissure,,false,@ui_poi_azure_fissure_60406,,,,,,,
60407,@ui_poi_azure_fissure_60407,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_60407_discovered,azure_fissure_60407_charted,azure_fissure,POI_State,azure_fissure,,false,@ui_poi_azure_fissure_60407,,,,,,,
60408,@ui_poi_outpost_64_1_60408,,,,true,LyShineUI/Images/Map/Icon/POIs/outpost.png,LyShineUI/Images/Map/Icon/POIs/outpost_compass.png,500,true,true,2,4ee6bdf8-103c-4b28-628d-25a17777f4d5,,,,,outpost_64_1,POI_State,outpost,,false,@ui_poi_outpost_64_1_60408,,,,,,,
60409,@ui_poi_abandoned_village_60409,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,150,true,true,,,,,abandoned_village_60409_discovered,abandoned_village_60409_charted,abandoned_village,POI_State,abandoned_village,AbandonedMine,false,@ui_poi_abandoned_village_60409,,,,,,,
60410,@ui_poi_fish_hotspot_secret,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot3.png,,60,false,true,,,,,,fish_hotspot_60410_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_3.png,,,
60411,@ui_poi_factionarea_60411,,,,true,,,60,false,true,,,,,,factionarea_60411_charted,factionarea_60411,POI_State,factionarea,,true,Faction Area,,,,,,,
60412,@ui_poi_factionarea_60412,,,,true,,,60,false,true,,,,,,factionarea_60412_charted,factionarea_60412,POI_State,factionarea,,true,Faction Area,,,,,,,
60413,@ui_poi_factionarea_60413,,,,true,,,60,false,true,,,,,,factionarea_60413_charted,factionarea_60413,POI_State,factionarea,,true,Faction Area,,,,,,,
60414,@ui_poi_spiritshrine_02_60414,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,150,false,true,1,,,,,spiritshrine_02_60414_charted,spiritshrine_60414,POI_State,spiritshrine,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
