TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,IsCollapsible,UnchartedIcon,EventId
50101,@ui_poi_shipwreck_50101,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,250,true,true,,,,,shipwreck_50101_discovered,shipwreck_50101_charted,shipwreck_50101,POI_State,shipwreck,Shipwreck,false,Bleachwood Coast,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
50102,@ui_poi_shipwreck_50102,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,250,true,true,,,,,shipwreck_50102_discovered,shipwreck_50102_charted,shipwreck_50102,POI_State,shipwreck,Shipwreck,false,Scavenger's Shore,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
50103,@ui_poi_shipwreck_50103,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,250,true,true,,,,,shipwreck_50103_discovered,shipwreck_50103_charted,shipwreck_50103,POI_State,shipwreck,Shipwreck,false,@ui_poi_shipwreck_50103,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
50104,@ui_poi_shipwreck_50104,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,375,true,true,,,,,shipwreck_50104_discovered,shipwreck_50104_charted,shipwreck_50104,POI_State,shipwreck,Shipwreck,false,Maria's Rest,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
50105,@ui_poi_shipwreck_50105,,,,true,LyShineUI/Images/Map/Icon/POIs/hero_shipwreck.png,,500,true,true,,,,,shipwreck_50105_discovered,shipwreck_50105_charted,shipwreck_50105,POI_State,shipwreck,Shipwreck,false,@ui_poi_shipwreck_50105,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
50106,@ui_poi_abandoned_fishing_village_50106,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_fishing_village.png,,250,true,true,,,,,abandoned_fishing_village_50106_discovered,abandoned_fishing_village_50106_charted,abandoned_fishing_village_50106,POI_State,abandoned_village,AbandonedMine,false,Mosswater Bourg,,,,,,,,,
50107,@ui_poi_lumbermill_50107,,,,true,LyShineUI/Images/Map/Icon/POIs/Lumbermill.png,,300,true,true,,,,,lumbermill_50107_discovered,lumbermill_50107_charted,lumbermill_50107,POI_State,lumbermill,Lumbermill,false,@ui_poi_lumbermill_50107,,,,,,,,,
50108,@ui_poi_bear_den_50108,,,,true,LyShineUI/Images/Map/Icon/POIs/bear_den.png,,150,true,true,,,,,bear_den_50108_discovered,bear_den_50108_charted,bear_den_50108,POI_State,bear_den,,false,Bear Den,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,,
50109,@ui_poi_bear_den_50109,,,,true,LyShineUI/Images/Map/Icon/POIs/bear_den.png,,150,true,true,,,,,bear_den_50109_discovered,bear_den_50109_charted,bear_den_50109,POI_State,bear_den,,false,Bear Den,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,,
50110,@ui_poi_azure_fissure_50110,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_50110_discovered,azure_fissure_50110_charted,azure_fissure_50110,POI_State,azure_fissure,,false,@ui_poi_azure_fissure_50110,,,,,,,,,
