TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,IsCollapsible,UnchartedIcon,EventId
30201,@ui_poi_abandoned_fishing_village,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_fishing_village.png,,200,true,true,,,,,abandoned_fishing_village_30201_discovered,abandoned_fishing_village_30201_charted,abandoned_fishing_village_30201,POI_State,fishing_village,,false,,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,
30202,@ui_poi_shipwreck,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,200,true,true,,,,,shipwreck_30202_discovered,shipwreck_30202_charted,shipwreck_30202,POI_State,shipwreck,Shipwreck,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,
30203,@ui_poi_undeadbastion,,,,true,LyShineUI/Images/Map/Icon/POIs/hero_shipwreck.png,,150,true,true,,,,,Undead_Bastion_30203_discovered,Undead_Bastion_30203_charted,Undead_Bastion_30203,POI_State,bastion,,false,Undead Bastion,"Lost,Undead",11,8,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,
30204,@ui_poi_abandoned_village,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,200,true,true,,,,,abandoned_village_30204_discovered,abandoned_village_30204_charted,abandoned_village_30204,POI_State,abandoned_village,AbandonedMine,false,,,,,,,,,
30205,@ui_poi_abandoned_village,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,200,true,true,,,,,abandoned_village_30205_discovered,abandoned_village_30205_charted,abandoned_village_30205,POI_State,abandoned_village,AbandonedMine,false,,,,,,,,,
30206,@ui_poi_bear_den,,,,true,LyShineUI/Images/Map/Icon/POIs/bear_den.png,,100,true,true,,,,,bear_den_30206_discovered,bear_den_30206_charted,bear_den_30206,POI_State,bear_den,,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,
30207,@ui_poi_wolf_den,,,,true,LyShineUI/Images/Map/Icon/POIs/wolf_den.png,,100,true,true,,,,,wolf_den_30207_discovered,wolf_den_30207_charted,wolf_den_30207,POI_State,wolf_den,,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png,,,,
30208,@ui_poi_azure_fissure,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_30208_discovered,azure_fissure_30208_charted,azure_fissure,POI_State,azure_fissure,,false,,,,,,,,,
30209,@ui_poi_azure_fissure,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_30209_discovered,azure_fissure_30209_charted,azure_fissure,POI_State,azure_fissure,,false,,,,,,,,,
30210,@ui_poi_azure_fissure,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_30210_discovered,azure_fissure_30210_charted,azure_fissure,POI_State,azure_fissure,,false,,,,,,,,,
