TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,IsCollapsible,UnchartedIcon,EventId
50412,@ui_poi_blightcave_50412,,,,true,LyShineUI/Images/Map/Icon/POIs/Cave.png,,200,true,true,,,,,blightcave_50412_discovered,blightcave_50412_charted,blightcave_50412,POI_State,blightcave_50412,,false,Hidden Strain,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_territory14.png,,,,
50413,@ui_poi_blightcave_50413,,,,true,LyShineUI/Images/Map/Icon/POIs/Cave.png,,200,true,true,,,,,blightcave_50413_discovered,blightcave_50413_charted,blightcave_50413,POI_State,blightcave_50413,,false,Blight Blister,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_territory14.png,,,,
50414,@ui_poi_blightcave_50414,,,,true,LyShineUI/Images/Map/Icon/POIs/Cave.png,,200,true,true,,,,,blightcave_50414_discovered,blightcave_50414_charted,blightcave_50414,POI_State,blightcave_50414,,false,Tox,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_territory14.png,,,,
50415,@ui_poi_blightcave_50415,,,,true,LyShineUI/Images/Map/Icon/POIs/Cave.png,,200,true,true,,,,,blightcave_50415_discovered,blightcave_50415_charted,blightcave_50415,POI_State,blightcave_50415,,false,Split Bark,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_territory14.png,,,,
50417,@ui_poi_blightcave_50417,,,,true,LyShineUI/Images/Map/Icon/POIs/Cave.png,,200,true,true,,,,,blightcave_50417_discovered,blightcave_50417_charted,blightcave_50417,POI_State,blightcave_50417,,false,Rotfellow Hovel,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_territory14.png,,,,
50420,@ui_poi_blightcave_50420,,,,true,LyShineUI/Images/Map/Icon/POIs/Cave.png,,200,true,true,,,,,blightcave_50420_discovered,blightcave_50420_charted,blightcave_50420,POI_State,blightcave_50420,,false,Pox Cyst,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_territory14.png,,,,
50416,@ui_poi_blightgrove_50416,,,,true,LyShineUI/Images/Map/Icon/POIs/angryearth_grovealtar.png,,200,true,true,,,,,blightgrove_50416_discovered,blightgrove_50416_charted,blightgrove_50416,POI_State,blightgrove_50416,,false,Fungalitch,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_angryearth.png,,,,
50403,@ui_poi_crater_brutalburrow_50403,,,,true,LyShineUI/Images/Map/Icon/POIs/Cave.png,,150,true,true,,,,,crater_brutalburrow_50403_discovered,crater_brutalburrow_50403_charted,crater_brutalburrow,POI_State,crater_brutalburrow,,false,Canker Snap,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_territory14.png,,,,
50402,@ui_poi_crater_brutallair_50402,,,,true,LyShineUI/Images/Map/Icon/POIs/Cave.png,,150,true,true,,,,,crater_brutallair_50402_discovered,crater_brutallair_50402_charted,crater_brutallair,POI_State,crater_brutallair,,false,Protea Lair,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_territory14.png,,,,
50406,@ui_poi_crater_brutaloffering_50406,,,,true,LyShineUI/Images/Map/Icon/POIs/angryearth_grove.png,,150,true,true,,,,,crater_brutaloffering_50406_discovered,crater_brutaloffering_50406_charted,crater_brutaloffering,POI_State,crater_brutaloffering,,false,DELETE_50406,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_angryearth.png,,,,
