TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,CanPlacePvPCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,IsCollapsible,GroupSize,UnchartedIcon,EventId,PhasingMode,PhasingAreaBoundsScale,PhasingBoundsMargin,PhasingEnterMargin,PhasingExitMargin,PhasingPopulationTarget,PhasingPopulationMax,PhasingSortPriority,PhasingAILeashOverride,PhasingProjectedACU,PhasingProjectedMemoryMb
10301,@ui_poi_spider_cave_10301,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_SpiderNest.png,,300,true,true,,,,,spider_cave_10301_discovered,spider_cave_10301_charted,spider_cave_10301,POI_State,wolf_den,,false,false,Lupus Antre,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_SpiderCave.png,,,,,,,,,,,,,,,,
10302,@ui_poi_upyr_village_10302,,,,true,LyShineUI\Images\Map\Icon\township.png,,300,true,true,,,,,upyr_village_10302_discovered,upyr_village_10302_charted,upyr_village_10302,POI_State,wolf_den,,false,false,Mar Amar,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_township10.png,,,,,,,,,,,,,,,,
10303,@ui_poi_upyr_castle_10303,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_GothicCastle.png,,300,true,true,,,,,upyr_castle_10303_discovered,upyr_castle_10303_charted,upyr_castle_10303,POI_State,wolf_den,,false,false,House of Dracul,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_GothicCastle.png,,,,,,,,,,,,,,,,
10304,@ui_poi_boss_tower_10304,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_TarotTower.png,,300,true,true,,,,,boss_tower_10304_discovered,boss_tower_10304_charted,boss_tower_10304,POI_State,wolf_den,,false,false,House of Dracul,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_TarotTower.png,,,,,,,,,,,,,,,,
10305,@ui_poi_boss_tower_10305,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_TarotTower.png,,300,true,true,,,,,boss_tower_10305_discovered,boss_tower_10305_charted,boss_tower_10305,POI_State,wolf_den,,false,false,House of Dracul,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_TarotTower.png,,,,,,,,,,,,,,,,
10306,@ui_poi_boss_tower_10306,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_TarotTower.png,,300,true,true,,,,,boss_tower_10306_discovered,boss_tower_10306_charted,boss_tower_10306,POI_State,wolf_den,,false,false,House of Dracul,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_TarotTower.png,,,,,,,,,,,,,,,,
10307,@ui_poi_catacomb_10307,,,,true,LyShineUI\Images\Map\Icon\POIs\catacombs_generic.png,,300,true,true,,,,,catacomb_10307_discovered,catacomb_10307_charted,catacomb_10307,POI_State,wolf_den,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_Underworld.png,,,,,,,,,,,,,,,,
10308,@ui_poi_catacomb_10308,,,,true,LyShineUI\Images\Map\Icon\POIs\catacombs_generic.png,,300,true,true,,,,,catacomb_10308_discovered,catacomb_10308_charted,catacomb_10308,POI_State,wolf_den,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_Underworld.png,,,,,,,,,,,,,,,,
10309,@ui_poi_catacomb_10309,,,,true,LyShineUI\Images\Map\Icon\POIs\catacombs_generic.png,,300,true,true,,,,,catacomb_10309_discovered,catacomb_10309_charted,catacomb_10309,POI_State,wolf_den,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_Underworld.png,,,,,,,,,,,,,,,,
10310,@ui_poi_bridge_10310,,,,true,,,300,true,true,,,,,bridge_10310_discovered,bridge_10310_charted,bridge_10310,POI_State,wolf_den,,false,false,,,,,,,,,,,,,,,,,,,,,
