TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,CanPlacePvPCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,UnchartedIcon,EventId
20201,@ui_poi_empressfortress_20201,,,,true,LyShineUI/Images/Map/Icon/POIs/outpost_elite.png,,600,true,true,,,,"DynastyPalace,Corrupted,EPOI",empressfortress_20201_discovered,empressfortress_20201_charted,"empressfortress_20201,elite",POI_State,abandoned_village,AbandonedMine,false,false,,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_ImperialPalace.png,,3,,
20202,@ui_poi_dynasty_bridge_20202,,,,true,LyShineUI/Images/Map/Icon/POIs/or_corrupted_portal.png,,150,true,true,,,,,dynasty_bridge_20202_discovered,dynasty_bridge_20202_charted,dynasty_bridge_20202,POI_State,abandoned_village,AbandonedMine,false,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_portal.png,,,,
20203,@ui_poi_dynasty_shrine_20203,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_sm_elite.png,,600,true,true,,,,"DynastyShrine,Corrupted,EPOI",dynasty_shrine_20203_discovered,dynasty_shrine_20203_charted,"dynasty_shrine_20203,elite",POI_State,abandoned_village,AbandonedMine,false,false,,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_NorthPalaceShrine.png,,3,,
20204,@ui_poi_dungeon_entrance_20204,,,,true,LyShineUI/Images/Map/Icon/POIs/expedition.png,,600,true,true,,,,,dungeon_entrance_20204_discovered,dungeon_entrance_20204_charted,dungeon_entrance_20204,POI_State,abandoned_village,AbandonedMine,false,false,,,,,LyShineui/images/map/tooltipimages/mapTooltip_DungeonEbonscale00.png,DungeonEbonscale00,,,
20205,@ui_poi_fish_hotspot_rare,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot2.png,,60,false,true,,,,,,fish_hotspot_20205_charted,FishingHotspot,POI_State,camp,,false,false,Fishing Hotspot,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_2.png,,,,
20206,@ui_poi_fish_hotspot_secret,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot3.png,,60,false,true,,,,,,fish_hotspot_20206_charted,FishingHotspot,POI_State,camp,,false,false,Fishing Hotspot,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_3.png,,,,
20207,@ui_poi_dungeon_20207,,,,true,,,60,false,false,,,,,dungeon_entrance_20207_discovered,dungeon_entrance_20207_charted,dungeon_entrance_20207,POI_State,abandoned_village,AbandonedMine,false,false,,,,,LyShineui/images/map/tooltipimages/mapTooltip_DungeonEbonscale00.png,,,,
20208,@ui_poi_spiritshrine_20208,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_20208_charted,"spiritshrine_20208,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
20209,@ui_poi_dynasty_harborage_20209,,,,true,LyShineUI/Images/Map/Icon/POIs/ConstructionSite.png,,200,true,true,,,,,dynasty_harborage_20209_discovered,dynasty_harborage_20209_charted,dynasty_harborage_20209,POI_State,abandoned_village,AbandonedMine,false,false,,,,,LyShineui/images/map/tooltipimages/mapTooltip_DungeonEbonscale00.png,,,,
20210,@ui_poi_spider_cave_20210,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_SpiderNest.png,,300,true,true,,,,,spider_cave_20210_discovered,spider_cave_20210_charted,spider_cave_20210,POI_State,Cave,,false,false,Grota Caverna,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_SpiderCave.png,,,,
