TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POIObjectiveAchievementId,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,IsCollapsible,UnchartedIcon,EventId
40101,@ui_poi_withered_camp_40101,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins_spheres.png,,150,true,true,,,,,withered_campsite_40101_discovered,withered_campsite_40101_charted,withered_campsite_40101_completed,withered_campsite_40101,POI_State,camp,Farm,false,Kannan Tomb,"Lost,Withered",7-9,5,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,
40102,@ui_poi_witheredfarm_1_40102_MSQ2,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_farm_village.png,,300,true,true,,,,,withered_farm_1_40102_discovered,withered_farm_1_40102_charted,withered_farm_1_40102_completed,withered_farm_1_40102,POI_State,farm,Farm,false,Cooper's Ranch,"Lost,Withered",8-12,9,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png,,,,
40103,@ui_poi_witheredfarm_2_40103_MSQ2,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_farm_village.png,,300,true,true,,,,,withered_farm_2_40103_discovered,withered_farm_2_40103_charted,withered_farm_2_40103_completed,corrupted_farm_2_40103,POI_State,farm,Farm,false,Merrill's Place,Corrupted,11-13,10,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png,,,,
40104,@ui_poi_witheredfarm_3_40104_MSQ2,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_farm_village.png,,250,true,true,,,,,withered_farm_40104_discovered,withered_farm_40104_charted,withered_farm_40104_completed,withered_farm_40104,POI_State,farm,Farm,false,Willette's Homestead,"Lost,Withered",11-19,10,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png,,,,
40105,@ui_poi_ancient_temple_lg_40105,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_lg.png,,400,true,true,,,,ancient_temple_tag,ancient_temple_lg_40105_discovered,ancient_temple_lg_40105_charted,ancient_temple_lg_40105_completed,ancient_temple_lg,POI_State,ancient_temple,,false,Amrine Temple,Ancient,20-22,18,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,
40106,@ui_poi_ancient_lookout_40106,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lookout.png,,150,true,true,,,,,ancient_lookout_40106_discovered,ancient_lookout_40106_charted,,ancient_lookout_40106,POI_State,ancient_ruins,,false,Ancient Lookout Delphnius,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_everfall_tower.png,,,,
40107,@ui_poi_ancient_lookout_40107,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lookout.png,,150,true,true,,,,,ancient_lookout_40107_discovered,ancient_lookout_40107_charted,,ancient_lookout_40107,POI_State,ancient_ruins,,false,Ancient Lookout Octans,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_everfall_tower.png,,,,
40108,@ui_poi_ancient_lookout_40108,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lookout.png,,150,true,true,,,,,ancient_lookout_40108_discovered,ancient_lookout_40108_charted,,ancient_lookout_40108,POI_State,ancient_ruins,,false,Ancient Lookout Hydrus,Ancient,16-20,1,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_everfall_tower.png,,,,
40109,@ui_poi_ancient_lookout_40109,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lookout.png,,150,true,true,,,,,ancient_lookout_40109_discovered,ancient_lookout_40109_charted,,ancient_lookout_40109,POI_State,ancient_ruins,,false,Ancient Lookout Draco,Ancient,18-20,1,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_everfall_tower.png,,,,
40110,@ui_poi_ancient_lookout_40110,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lookout.png,,150,true,true,,,,,ancient_lookout_40110_discovered,ancient_lookout_40110_charted,,ancient_lookout_40110,POI_State,ancient_ruins,,false,Ancient Lookout Orion,Ancient,16-20,1,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_everfall_tower.png,,,,
40111,@ui_poi_ancient_lookout_40111,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lookout.png,,150,true,true,,,,,ancient_lookout_40111_discovered,ancient_lookout_40111_charted,,ancient_lookout_40111,POI_State,ancient_ruins,,false,Ancient Lookout Carina,Ancient,19-21,1,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_everfall_tower.png,,,,
40112,@ui_poi_ancient_lookout_40112,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lookout.png,,150,true,true,,,,,ancient_lookout_40112_discovered,ancient_lookout_40112_charted,,ancient_lookout_40112,POI_State,ancient_ruins,,false,Ancient Lookout Lacerta,Ancient,20,1,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_everfall_tower.png,,,,
40113,@ui_poi_ancient_lookout_40113,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lookout.png,,150,true,true,,,,,ancient_lookout_40113_discovered,ancient_lookout_40113_charted,,ancient_lookout_40113,POI_State,ancient_ruins,,false,Ancient Lookout Monoceros,Ancient,18-20,1,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_everfall_tower.png,,,,
