TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,UnchartedIcon,IsCollapsible,EventId
50201,@ui_poi_haunted_town_50201,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village_elite.png,,375,true,true,,,,"Sodden,Lost",haunted_town_50201_discovered,haunted_town_50201_charted,"haunted_town_50201,elite",Music_POI,abandoned_village,false,Periville,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_Periville.png,,3,,,
50202,@ui_poi_abandoned_farm_mill_50202,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_farm_mill.png,,150,true,true,,,,,abandoned_farm_mill_50202_discovered,abandoned_farm_mill_50202_charted,abandoned_farm_mill_50202,Music_POI,abandoned_village,false,Outlook Mill,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_windmill.png,,,,,
50203,@ui_poi_abandoned_farm_village_50203,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_farm_village.png,,300,true,true,,,,,abandoned_farm_village_50203_discovered,abandoned_farm_village_50203_charted,abandoned_farm_village_50203,Music_POI,abandoned_village,false,Gracewater,,,,,,,,,
50204,@ui_poi_abandoned_farm_village_50204,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_farm_village.png,,150,true,true,,,,,abandoned_farm_village_50204_discovered,abandoned_farm_village_50204_charted,abandoned_farm_village_50204,Music_POI,abandoned_village,false,Aria Village,,,,,,,,,
50205,@ui_poi_abandoned_fishing_village_50205,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_fishing_village.png,,150,true,true,,,,,abandoned_fishing_village_50205_discovered,abandoned_fishing_village_50205_charted,abandoned_fishing_village_50205,Music_POI,abandoned_village,false,Piscarian Fishery,,,,,,,,,
50206,@ui_poi_abandoned_fishing_village_50206,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_fishing_village.png,,150,true,true,,,,,abandoned_fishing_village_50206_discovered,abandoned_fishing_village_50206_charted,abandoned_fishing_village_50206,Music_POI,abandoned_village,false,Fisher's End,,,,,,,,,
50207,@ui_poi_abandoned_fishing_village_50207,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_fishing_village.png,,150,true,true,,,,,abandoned_fishing_village_50207_discovered,abandoned_fishing_village_50207_charted,abandoned_fishing_village_50207,Music_POI,abandoned_village,false,Angler's Doom,,,,,,,,,
50208,@ui_poi_abandoned_haunted_town_50208,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,150,true,true,,,,,haunted_town_50208_discovered,haunted_town_50208_charted,abandoned_fishing_village_50208,Music_POI,abandoned_village,false,Karburg,"Undead,Lost,Wraith",25-29,,,,,,,
50209,@ui_poi_abandoned_fishing_village_50209,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_fishing_village.png,,150,true,true,,,,,abandoned_fishing_village_50209_discovered,abandoned_fishing_village_50209_charted,abandoned_fishing_village_50209,Music_POI,abandoned_village,false,Swampwater Fishery,,,,,,,,,
50210,@ui_poi_shipwreck_50210,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,150,true,true,,,,,shipwreck_50210_discovered,shipwreck_50210_charted,shipwreck_50210,Music_POI,shiprwreck,false,La Escamilla,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
