TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,RecommendedLevel,IsCollapsible,UnchartedIcon,EventId
50301,@ui_poi_bear_den_50301,,,,true,LyShineUI/Images/Map/Icon/POIs/bear_den.png,,100,true,true,,,B+,,bear_den_50301_discovered,bear_den_50301_charted,bear_den_50301,Music_POI,bear_den,false,Slobbering Cave,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,,,
50302,@ui_poi_bear_den_50302,,,,true,LyShineUI/Images/Map/Icon/POIs/bear_den.png,,100,true,true,,,,,bear_den_50302_discovered,bear_den_50302_charted,bear_den_50302,Music_POI,bear_den,false,Broadpaw Den,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,,,
50303,@ui_poi_wolf_den_50303,,,,true,LyShineUI/Images/Map/Icon/POIs/wolf_den.png,,100,true,true,,,,,wolf_den_50303_discovered,wolf_den_50303_charted,wolf_den_50303,Music_POI,wolf_den,false,Dusty Paw Burrow,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png,,,,,,
50304,@ui_poi_summervillage_50304,,,,true,LyShineUI/Images/Map/Icon/POIs/event_summervillage.png,,150,true,true,2,,,,,,summervillage_50304,,,false,Summer Village,,,,LyShineUI/Images/map/tooltipimages/mapTooltip_Summer_npc.png,,,,true,,SummerMedley
50305,@ui_poi_azure_fissure_50305,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_50305_discovered,azure_fissure_50305_charted,azure_fissure_50305,Music_POI,azure_fissure,false,@ui_poi_azure_fissure_50305,,,,,,,,,,
50306,@ui_poi_ancient_lookout_sheperd_50306,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lookout.png,,150,true,true,,,,,ancient_lookout_sheperd_50306_discovered,ancient_lookout_sheperd_50306_charted,ancient_lookout_sheperd_50306,Music_POI,lookout,false,Corvus,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,,
50307,@ui_poi_crater_brutalreach_50307,,,,true,LyShineUI/Images/Map/Icon/POIs/angryearth_grove.png,,150,true,true,,,,,crater_brutalreach_50307_discovered,crater_brutalreach_50307_charted,crater_brutalreach_50307,Music_POI,,false,Creeping Reach,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_angryearth.png,,,,,,
50308,@ui_poi_crater_brutalrest_50308,,,,true,LyShineUI/Images/Map/Icon/POIs/angryearth_grove.png,,150,true,true,,,,,crater_brutalrest_50308_discovered,crater_brutalrest_50308_charted,crater_brutalrest_50308,Music_POI,,false,Sapterlith,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_angryearth.png,,,,,,
50309,@ui_poi_crater_brutalsummit_50309,,,,true,LyShineUI/Images/Map/Icon/POIs/angryearth_grovealtar.png,,150,true,true,,,,,crater_brutalsummit_50309_discovered,crater_brutalsummit_50309_charted,crater_brutalsummit_50309,Music_POI,,false,Grasping Summit,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_angryearth.png,,,,,,
50310,@ui_poi_crater_brutalthicket_50310,,,,true,LyShineUI/Images/Map/Icon/POIs/angryearth_grove.png,,150,true,true,,,,,crater_brutalthicket_50310_discovered,crater_brutalthicket_50310_charted,crater_brutalthicket_50310,Music_POI,,false,Bramblecliff,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_angryearth.png,,,,,,
50311,@ui_poi_crater_brutalviewsite_50311,,,,true,LyShineUI/Images/Map/Icon/POIs/angryearth_grove.png,,150,true,true,,,,,crater_brutalviewsite_50311_discovered,crater_brutalviewsite_50311_charted,crater_brutalviewsite_50311,Music_POI,,false,Twisted Roots,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_angryearth.png,,,,,,
50312,@ui_poi_crater_feralhaven_50312,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_sm.png,,150,true,true,,,,,crater_feralhaven_50312_discovered,crater_feralhaven_50312_charted,crater_feralhaven_50312,Music_POI,,false,Hydnora,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,,
50313,@ui_poi_crater_feralledge_50313,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_lg.png,,250,true,true,,,,,crater_feralledge_50313_discovered,crater_feralledge_50313_charted,crater_feralledge_50313,Music_POI,,false,Rafflesia,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,,
