TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,IsCollapsible,UnchartedIcon,EventId
40301,@ui_poi_greatcleavesouthwall_40301,,,,true,LyShineUI/Images/Map/Icon/POIs/battlefield_fort.png,,400,true,true,,,,,greatcleavesouthwall_40301_discovered,greatcleavesouthwall_40301_charted,greatcleavesouthwall_40301,POI_State,,,false,Cleave's Malice,Corrupted,32-34,16,LyShineUI\Images\Map\tooltipImages\mapTooltip_outpostRush_protectionWard.png,,,,,
40302,@ui_poi_corrupted_camp_40302,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_campsite.png,,500,false,false,,,,,corrupted_camp_40302_discovered,corrupted_camp_40302_charted,corrupted_camp_40302,POI_State,corrupted_camp,,false,Sever Castra,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_station_cooking.png,,,,,
40303,@ui_poi_abandoned_farm_village_40303,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,150,true,true,,,,,abandoned_farm_village_40303_discovered,abandoned_farm_village_40303_charted,abandoned_farm_village_40303,POI_State,abandoned_village,AbandonedMine,false,Misty Borough,,,18,LyShineUI\Images\Map\tooltipImages\mapTooltip_poi_graveyard.png,,,,,
40304,@ui_poi_corrupted_ritual_40304,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_sm.png,,375,true,true,,,,"MangledHeights,Corrupted",corrupted_ritual_40304_discovered,corrupted_ritual_40304_charted,corrupted_ritual_40304,POI_State,corrupted_ritual,,false,Mangled Pox Gate,Corrupted,60,0,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_MangledPoxGate.png,,,,,
40305,@ui_poi_mine_40305,,,,true,LyShineUI/Images/Map/Icon/POIs/Mine.png,,150,true,true,,,,,mine_40305_discovered,mine_40305_charted,mine_40305,POI_State,mine,,false,Defiler Excavation,Corrupted,33-50,12,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_mine.png,,,,,
40306,@ui_poi_corrupted_mine_40306,,,,true,LyShineUI/Images/Map/Icon/POIs/Mine.png,,200,true,true,,,,,mine_40306_discovered,mine_40306_charted,mine_40306,POI_State,mine,,false,Corlew's Mine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_mine.png,,,,,
40307,@ui_poi_abandoned_village_40307,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,200,true,true,,,,,abandoned_village_40307_discovered,abandoned_village_40307_charted,abandoned_village_40307,POI_State,abandoned_village,AbandonedMine,false,Braided Borough,Corrupted,25-45,5,LyShineUI\Images\Map\tooltipImages\mapTooltip_house_default.png,,,,,
40308,@ui_poi_abandoned_village_40308,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,200,true,true,,,,,abandoned_village_40308_discovered,abandoned_village_40308_charted,abandoned_village_40308,POI_State,abandoned_village,AbandonedMine,false,Slumbering Echos,Corrupted,32-35,5,LyShineUI\Images\Map\tooltipImages\mapTooltip_house_default.png,,,,,
40309,@ui_poi_abandoned_village_40309,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_sm.png,,375,true,true,,,,"MangledHeightsSouth,Corrupted",abandoned_village_40309_discovered,abandoned_village_40309_charted,abandoned_village_40309,POI_State,corrupted_ritual,,false,Stranglepitch Road,Corrupted,60,0,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_StranglepitchRoad.png,,,,,
40310,@ui_poi_haunted_village_40310,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,200,true,true,,,,,abandoned_village_40310_discovered,abandoned_village_40310_charted,abandoned_village_40310,POI_State,abandoned_village,AbandonedMine,false,Sleepy Sarmad,"Lost,Wraith,Undead",26-28,7,,,,,,
