TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,Grade,LootTags,DiscoveredAchievement,ChartedAchievement,AudioGroup,AudioState,AudioBank,RecommendedLevel,MaximumLevel,MinCompanyDefenders,MinCompanyAttackers,CanPlaceCamp,ObjectiveID,IsTerritory,FactionControlBuff,FactionControlTerritoryBuffs,PermanentOwnershipAchievementId,UpkeepModifier,TerritoryStandingXpModifier,PoiDiscoveryXpModifier,EntryAchievementId,EntryStatusEffectId
1,,300,500,1,,,,,,,,,,,,,,,,,,,true,,,None,None,,,,,,
2,@Brightwood,300,500,1,,,,,,,,,Brightwood,,,MX_Territory,Brightwoods,,26,35,40,25,true,,true,Free_Camping,"InfluencePoints_Modifier,ExperiencePoints_Modifier",TerritoryPermanentOwner02,0.2,1.25,150,,
3,@GreatCleave,300,500,1,,,,,,,,,GreatCleave,,,MX_Territory,Great_Cleave,,41,50,40,25,true,,true,None,None,,,1.25,200,,
4,@Everfall,300,500,1,,,,,,,,,Everfall,,,MX_Territory,Everfall,,1,25,40,25,true,12_getoffbeach,true,Azoth_Salt_Yield_Modifier,"InfluencePoints_Modifier,ExperiencePoints_Modifier",TerritoryPermanentOwner04,0.25,1.25,75,,
5,@Reekwater,300,500,,,,,,,,,,Reekwater,,,MX_Territory,Reekwater,,58,66,40,25,true,,true,Pvp_Track_Exp_Modifier,"InfluencePoints_Modifier,ExperiencePoints_Modifier",TerritoryPermanentOwner05,0.15,1.25,400,,
6,@Windsward,300,500,,,,,,,,,,Windsward,,,MX_Territory,Windsward,,1,17,40,25,true,06_getoffbeach,true,Chance_Consumable_Not_Used,"InfluencePoints_Modifier,ExperiencePoints_Modifier",TerritoryPermanentOwner06,0.25,1.25,75,,
7,@ShatteredMountain,300,500,,,,,,,,,,Shattered,,,MX_Territory,Shattered_Mountain,,60,65,40,25,true,,true,None,None,,,1.25,400,,
8,@Queensport,300,500,,,,,,,,,,Queensport,,,MX_Territory,Queensport,,52,60,40,25,true,,true,Faction_Store_Discount_Modifier,"InfluencePoints_Modifier,ExperiencePoints_Modifier",TerritoryPermanentOwner08,0.2,1.25,400,,
9,@FirstLight,300,500,,,,,,,,,,FirstLight,,,MX_Territory,First_Light,,1,25,40,25,true,06_getoffbeach,true,,"InfluencePoints_Modifier,ExperiencePoints_Modifier",TerritoryPermanentOwner09,0.1,1.25,75,09_FirstLightUnlock,Env_FirstLightLock_DoT
10,@CutlassKeys,300,500,,,,,,,,,,CutlassKeys,,,MX_Territory,Cutlass_Keys,,26,35,40,25,true,,true,Gathering_Luck_Roll_Bonus,"InfluencePoints_Modifier,ExperiencePoints_Modifier",TerritoryPermanentOwner10,0.1,1.25,150,,
11,@Mourningdale,300,500,,,,,,,,,,Mourning,,,MX_Territory,Mourningdale,,45,50,40,25,true,,true,Crafting_Max_GS_Bonus,"InfluencePoints_Modifier,ExperiencePoints_Modifier",TerritoryPermanentOwner11,0.1,1.25,200,,
