TerritoryID,NameLocalizationKey,IsPOI,IsDiscoverable,IsChartable,DefaultAchievement,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,POILevel,CanPlaceCamp,IsArea,PoiDiscoveryXpModifier,AIVariantLevelOverride,AIVariantVitalsCategoryPostfixOverride
9001,@ui_area_monarchsbluff_1,true,,true,,,,monarchsbluff1_9001_charted,monarchsbluff1,Music_Territory,MonarchsBluffs,2,true,true,0,14,
9002,@ui_area_monarchsbluff_2,true,,true,,,,monarchsbluff2_9002_charted,monarchsbluff2,Music_Territory,MonarchsBluffs,2,true,true,0,18,
9003,@ui_area_monarchsbluff_3,true,,true,,,,monarchsbluff3_9003_charted,monarchsbluff3,Music_Territory,MonarchsBluffs,2,true,true,0,21,
9004,@ui_area_monarchsbluff_4,true,,true,,,,monarchsbluff4_9004_charted,monarchsbluff4,Music_Territory,MonarchsBluffs,2,true,true,0,25,
9005,@ui_area_monarchsbluff_5,true,,true,,,,monarchsbluff5_9005_charted,monarchsbluff5,Music_Territory,MonarchsBluffs,2,true,true,0,8,
9006,@ui_area_monarchsbluff_6,true,,true,,,,monarchsbluff6_9006_charted,monarchsbluff6,Music_Territory,MonarchsBluffs,2,true,true,0,25,
9007,@ui_area_monarchsbluff_7,true,,true,,,,monarchsbluff7_9007_charted,monarchsbluff7,Music_Territory,MonarchsBluffs,2,true,true,0,25,
9008,@ui_area_monarchsbluff_8,true,,true,,,,monarchsbluff8_9008_charted,monarchsbluff8,Music_Territory,MonarchsBluffs,2,true,true,0,25,
9009,@ui_area_monarchsbluff_9,true,,true,,,,starterbeach_9009_charted,starterbeach,Music_Territory,MonarchsBluffs,2,true,true,0,6,
9010,@ui_area_monarchsbluff_10,true,,true,,,,monarchsbluff10_9010_charted,monarchsbluff10,Music_Territory,MonarchsBluffs,2,true,true,0,10,
9011,@ui_area_southwindsward_1,true,,true,,,,starterbeach_9011_charted,starterbeach,Music_Territory,South Windsward,2,true,true,0,6,
9012,@ui_area_southwindsward_2,true,,true,,,,southwindsward2_9012_charted,southwindsward2,Music_Territory,South Windsward,2,true,true,0,25,
9013,@ui_area_southwindsward_3,true,,true,,,,southwindsward3_9013_charted,southwindsward3,Music_Territory,South Windsward,2,true,true,0,25,
9014,@ui_area_southwindsward_4,true,,true,,,,southwindsward4_9014_charted,southwindsward4,Music_Territory,South Windsward,2,true,true,0,20,
9015,@ui_area_southwindsward_5,true,,true,,,,southwindsward5_9015_charted,southwindsward5,Music_Territory,South Windsward,2,true,true,0,8,
9016,@ui_area_southwindsward_6,true,,true,,,,southwindsward6_9016_charted,southwindsward6,Music_Territory,South Windsward,2,true,true,0,16,
9017,@ui_area_southwindsward_7,true,,true,,,,southwindsward7_9017_charted,southwindsward7,Music_Territory,South Windsward,2,true,true,0,21,
9018,@ui_area_southwindsward_8,true,,true,,,,southwindsward8_9018_charted,southwindsward8,Music_Territory,South Windsward,2,true,true,0,11,
9019,@ui_area_southwindsward_9,true,,true,,,,southwindsward9_9019_charted,southwindsward9,Music_Territory,South Windsward,2,true,true,0,20,
9021,@ui_area_northwindsward_1,true,,true,,,,starterbeach_9021_charted,starterbeach,Music_Territory,North Windsward,2,true,true,0,6,
9022,@ui_area_northwindsward_2,true,,true,,,,northwindsward2_9022_charted,northwindsward2,Music_Territory,North Windsward,2,true,true,0,8,
9023,@ui_area_northwindsward_3,true,,true,,,,northwindsward3_9023_charted,northwindsward3,Music_Territory,North Windsward,2,true,true,0,16,
9024,@ui_area_northwindsward_4,true,,true,,,,northwindsward4_9024_charted,northwindsward4,Music_Territory,North Windsward,2,true,true,0,25,
9025,@ui_area_northwindsward_5,true,,true,,,,northwindsward5_9025_charted,northwindsward5,Music_Territory,North Windsward,2,true,true,0,23,
9026,@ui_area_northwindsward_6,true,,true,,,,northwindsward6_9026_charted,northwindsward6,Music_Territory,North Windsward,2,true,true,0,16,
9027,@ui_area_northwindsward_7,true,,true,,,,northwindsward7_9027_charted,northwindsward7,Music_Territory,North Windsward,2,true,true,0,12,
9028,@ui_area_northwindsward_8,true,,true,,,,northwindsward8_9028_charted,northwindsward8,Music_Territory,North Windsward,2,true,true,0,23,
9029,@ui_area_northwindsward_9,true,,true,,,,northwindsward9_9029_charted,northwindsward9,Music_Territory,North Windsward,2,true,true,0,14,
9030,@ui_area_northwindsward_10,true,,true,,,,northwindsward10_9030_charted,northwindsward10,Music_Territory,North Windsward,2,true,true,0,19,
9031,@ui_area_northwindsward_11,true,,true,,,,northwindsward11_9031_charted,northwindsward11,Music_Territory,North Windsward,2,true,true,0,18,
9041,@ui_area_brightwood_1,true,,true,,,,brightwood1_9041_charted,brightwood1,Music_Territory,Brightwoods,2,true,true,0,34,
9042,@ui_area_brightwood_2,true,,true,,,,brightwood2_9042_charted,brightwood2,Music_Territory,Brightwoods,2,true,true,0,30,
9043,@ui_area_brightwood_3,true,,true,,,,brightwood3_9043_charted,brightwood3,Music_Territory,Brightwoods,2,true,true,0,35,
9044,@ui_area_brightwood_4,true,,true,,,,brightwood4_9044_charted,brightwood4,Music_Territory,Brightwoods,2,true,true,0,34,
9045,@ui_area_brightwood_5,true,,true,,,,brightwood5_9045_charted,brightwood5,Music_Territory,Brightwoods,2,true,true,0,35,
9046,@ui_area_brightwood_6,true,,true,,,,brightwood6_9046_charted,brightwood6,Music_Territory,Brightwoods,2,true,true,0,29,
9047,@ui_area_brightwood_7,true,,true,,,,brightwood7_9047_charted,brightwood7,Music_Territory,Brightwoods,2,true,true,0,30,
9048,@ui_area_brightwood_8,true,,true,,,,brightwood8_9048_charted,brightwood8,Music_Territory,Brightwoods,2,true,true,0,35,
9051,@ui_area_greatcleave_1,true,,true,,,,greatcleave1_9051_charted,greatcleave1,Music_Territory,Great Cleave,2,true,true,0,48,
9052,@ui_area_greatcleave_2,true,,true,,,,greatcleave2_9052_charted,greatcleave2,Music_Territory,Great Cleave,2,true,true,0,45,
9053,@ui_area_greatcleave_3,true,,true,,,,greatcleave3_9053_charted,greatcleave3,Music_Territory,Great Cleave,2,true,true,0,60,
9054,@ui_area_greatcleave_4,true,,true,,,,greatcleave4_9054_charted,greatcleave4,Music_Territory,Great Cleave,2,true,true,0,50,
9055,@ui_area_greatcleave_5,true,,true,,,,greatcleave5_9055_charted,greatcleave5,Music_Territory,Great Cleave,2,true,true,0,45,
9056,@ui_area_greatcleave_6,true,,true,,,,greatcleave6_9056_charted,greatcleave6,Music_Territory,Great Cleave,2,true,true,0,42,
9057,@ui_area_greatcleave_7,true,,true,,,,greatcleave7_9057_charted,greatcleave7,Music_Territory,Great Cleave,2,true,true,0,43,
9058,@ui_area_greatcleave_8,true,,true,,,,greatcleave8_9058_charted,greatcleave8,Music_Territory,Great Cleave,2,true,true,0,50,
9059,@ui_area_greatcleave_9,true,,true,,,,greatcleave9_9059_charted,greatcleave9,Music_Territory,Great Cleave,2,true,true,0,50,
9060,@ui_area_greatcleave_10,true,,true,,,,greatcleave10_9060_charted,greatcleave10,Music_Territory,Great Cleave,2,true,true,0,45,
9061,@ui_area_greatcleave_11,true,,true,,,,greatcleave11_9061_charted,greatcleave11,Music_Territory,Great Cleave,2,true,true,0,44,
9071,@ui_area_shatteredmountain_1,true,,true,,,,shatteredmountain1_9071_charted,shatteredmountain1,Music_Territory,Shattered Mountain,2,true,true,0,60,
9072,@ui_area_shatteredmountain_2,true,,true,,,,shatteredmountain2_9072_charted,shatteredmountain2,Music_Territory,Shattered Mountain,2,true,true,0,66,
9073,@ui_area_shatteredmountain_3,true,,true,,,,shatteredmountain3_9073_charted,shatteredmountain3,Music_Territory,Shattered Mountain,2,true,true,0,62,
9074,@ui_area_shatteredmountain_4,true,,true,,,,shatteredmountain4_9074_charted,shatteredmountain4,Music_Territory,Shattered Mountain,2,true,true,0,62,
9075,@ui_area_shatteredmountain_5,true,,true,,,,shatteredmountain5_9075_charted,shatteredmountain5,Music_Territory,Shattered Mountain,2,true,true,0,62,
9076,@ui_area_shatteredmountain_6,true,,true,,,,shatteredmountain6_9076_charted,shatteredmountain6,Music_Territory,Shattered Mountain,2,true,true,0,66,
9077,@ui_area_shatteredmountain_7,true,,true,,,,shatteredmountain7_9077_charted,shatteredmountain7,Music_Territory,Shattered Mountain,2,true,true,0,62,
9078,@ui_area_shatteredmountain_8,true,,true,,,,shatteredmountain8_9078_charted,shatteredmountain8,Music_Territory,Shattered Mountain,2,true,true,0,64,
9079,@ui_area_shatteredmountain_9,true,,true,,,,shatteredmountain9_9079_charted,shatteredmountain9,Music_Territory,Shattered Mountain,2,true,true,0,62,
9080,@ui_area_firstlight_1,true,,true,,,,starterbeach_9080_charted,starterbeach,Music_Territory,First Light,2,true,true,0,6,
9081,@ui_area_firstlight_2,true,,true,,,,firstlight2_9081_charted,firstlight2,Music_Territory,First Light,2,true,true,0,8,
9082,@ui_area_firstlight_3,true,,true,,,,firstlight3_9082_charted,firstlight3,Music_Territory,First Light,2,true,true,0,10,
9083,@ui_area_firstlight_4,true,,true,,,,firstlight4_9083_charted,firstlight4,Music_Territory,First Light,2,true,true,0,13,
9084,@ui_area_firstlight_5,true,,true,,,,firstlight5_9084_charted,firstlight5,Music_Territory,First Light,2,true,true,0,15,
9085,@ui_area_firstlight_6,true,,true,,,,firstlight6_9085_charted,firstlight6,Music_Territory,First Light,2,true,true,0,20,
9086,@ui_area_firstlight_7,true,,true,,,,firstlight7_9086_charted,firstlight7,Music_Territory,First Light,2,true,true,0,18,
9087,@ui_area_firstlight_8,true,,true,,,,firstlight8_9087_charted,firstlight8,Music_Territory,First Light,2,true,true,0,23,
9088,@ui_area_firstlight_9,true,,true,,,,firstlight9_9088_charted,firstlight9,Music_Territory,First Light,2,true,true,0,25,
9089,@ui_area_firstlight_10,true,,true,,,,firstlight10_9089_charted,firstlight10,Music_Territory,First Light,2,true,true,0,25,
9090,@ui_area_firstlight_11,true,,true,,,,firstlight11_9090_charted,firstlight11,Music_Territory,First Light,2,true,true,0,18,
9091,@ui_area_ancientcrater_1,true,,true,,,,ancientcrater1_9091_charted,ancientcrater1,Music_Territory,Ancient Crater,2,true,true,0,59,
9092,@ui_area_ancientcrater_2,true,,true,,,,ancientcrater2_9092_charted,ancientcrater2,Music_Territory,Ancient Crater,2,true,true,0,58,
9093,@ui_area_ancientcrater_3,true,,true,,,,ancientcrater3_9093_charted,ancientcrater3,Music_Territory,Ancient Crater,2,true,true,0,58,
9094,@ui_area_ancientcrater_4,true,,true,,,,ancientcrater4_9094_charted,ancientcrater4,Music_Territory,Ancient Crater,2,true,true,0,56,
9095,@ui_area_ancientcrater_5,true,,true,,,,ancientcrater5_9095_charted,ancientcrater5,Music_Territory,Ancient Crater,2,true,true,0,59,
9096,@ui_area_ancientcrater_6,true,,true,,,,ancientcrater6_9096_charted,ancientcrater6,Music_Territory,Ancient Crater,2,true,true,0,59,
9097,@ui_area_ancientcrater_7,true,,true,,,,ancientcrater7_9097_charted,ancientcrater7,Music_Territory,Ancient Crater,2,true,true,0,57,
9098,@ui_area_ancientcrater_8,true,,true,,,,ancientcrater8_9098_charted,ancientcrater8,Music_Territory,Ancient Crater,2,true,true,0,55,
9099,@ui_area_ancientcrater_9,true,,true,,,,ancientcrater9_9099_charted,ancientcrater9,Music_Territory,Ancient Crater,2,true,true,0,57,
9100,@ui_area_ancientcrater_10,true,,true,,,,ancientcrater10_9100_charted,ancientcrater10,Music_Territory,Ancient Crater,2,true,true,0,66,
9101,@ui_area_ancientcrater_11,true,,true,,,,ancientcrater11_9101_charted,ancientcrater11,Music_Territory,Ancient Crater,2,true,true,0,55,
9102,@ui_area_ancientcrater_12,true,,true,,,,ancientcrater12_9102_charted,ancientcrater12,Music_Territory,Ancient Crater,2,true,true,0,52,
9103,@ui_area_ancientcrater_13,true,,true,,,,ancientcrater13_9103_charted,ancientcrater13,Music_Territory,Ancient Crater,2,true,true,0,54,
9104,@ui_area_ancientcrater_14,true,,true,,,,ancientcrater14_9104_charted,ancientcrater14,Music_Territory,Ancient Crater,2,true,true,0,55,
9105,@ui_area_ancientcrater_15,true,,true,,,,ancientcrater15_9105_charted,ancientcrater15,Music_Territory,Ancient Crater,2,true,true,0,55,
9106,@ui_area_ancientcrater_16,true,,true,,,,ancientcrater16_9106_charted,ancientcrater16,Music_Territory,Ancient Crater,2,true,true,0,55,
9107,@ui_area_ancientcrater_17,true,,true,,,,ancientcrater17_9107_charted,ancientcrater17,Music_Territory,Ancient Crater,2,true,true,0,55,
9111,@ui_area_windswardshores_1,true,,true,,,,windswardshores1_9111_charted,windswardshores1,Music_Territory,Windsward Shores,2,true,true,0,26,
9112,@ui_area_windswardshores_2,true,,true,,,,windswardshores2_9112_charted,windswardshores2,Music_Territory,Windsward Shores,2,true,true,0,30,
9113,@ui_area_windswardshores_3,true,,true,,,,windswardshores3_9113_charted,windswardshores3,Music_Territory,Windsward Shores,2,true,true,0,30,
