TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GroupSize,GameMode,UnchartedIcon,EventId
40201,@ui_poi_abandoned_farm_village_40201,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_farm_village.png,,150,true,true,,,,,abandoned_farm_village_40201_discovered,abandoned_farm_village_40201_charted,abandoned_farm_village_40201,Music_POI,farm,0,Kelleher Farmstead,"Lost,Withered",9-12,8,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png,,,,
40202,@ui_poi_lumbermill_40202,,,,true,LyShineUI/Images/Map/Icon/POIs/Lumbermill.png,,150,true,true,,,,,lumbermill_40202_discovered,lumbermill_40202_charted,lumbermill_40202,Music_POI,lumbermill,0,Abandoned Lumbermill,Corrupted,31-35,1,LyShineUI/Images/Map/tooltipImages/mapTooltip_station_carpentry.png,,,,
40203,@ui_poi_mine_40203,,,,true,LyShineUI/Images/Map/Icon/POIs/Mine.png,,150,true,true,,,,CanaryMine,mine_40203_discovered,mine_40203_charted,mine_40203,Music_POI,mine,0,Canary Mine,"Lost,Withered",9-12,3,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_mine.png,,,,
40204,@ui_poi_abandoned_village_40204,,,,true,LyShineUI/Images/Map/Icon/POIs/angryearth_grovealtar.png,,150,true,true,,,,,abandoned_village_40204_discovered,abandoned_village_40204_charted,abandoned_village_40204,Music_POI,abandoned_village,0,Daughterwell,"Lost,Withered",9-11,3,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_angryearth.png,,,,
40205,@ui_poi_abandoned_village_40205,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,150,true,true,,,,,abandoned_village_40205_discovered,abandoned_village_40205_charted,abandoned_village_40205,Music_POI,abandoned_village,0,@ui_poi_abandoned_village_40205,,,,,,,,
40206,@ui_poi_abandoned_village_40206,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_farm_village.png,,150,true,true,,,,,abandoned_village_40206_discovered,abandoned_village_40206_charted,abandoned_village_40206,Music_POI,farm,0,Bradbury Fields,Corrupted,8-10,3,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png,,,,
40207,@ui_poi_undeadbastion_40207,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,300,true,true,,,,,undead_bastion_40207_discovered,undead_bastion_40207_charted,undead_bastion_40207,Music_POI,bastion,0,Undead Enclave,"Undead,Pirate",21-24,5,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,
40208,@ui_poi_abandoned_village_40208,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,150,true,true,,,,,abandoned_village_40208_discovered,abandoned_village_40208_charted,abandoned_village_40208,Music_POI,abandoned_village,0,@ui_poi_abandoned_village_40208,,,,,,,,
40209,@ui_poi_abandoned_village_40209,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,150,true,true,,,,,abandoned_village_40209_discovered,abandoned_village_40209_charted,abandoned_village_40209,Music_POI,abandoned_village,0,@ui_poi_abandoned_village_40209,,,,,,,,
40210,@ui_poi_haunted_village_40210,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,150,true,true,,,,,abandoned_village_40210_discovered,abandoned_village_40210_charted,abandoned_village_40210,Music_POI,abandoned_village,0,Eldritchton,"Lost,Withered,Wraith",24-26,1,,,,,
