TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,IsCollapsible,UnchartedIcon,EventId,PhasingMode,PhasingAreaBoundsScale,PhasingBoundsMargin,PhasingEnterMargin,PhasingExitMargin,PhasingPopulationTarget,PhasingPopulationMax,PhasingSortPriority,PhasingAILeashOverride,PhasingProjectedACU,PhasingProjectedMemoryMb
30101,@ui_poi_shipwreck_30101,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,250,true,true,,,,,undead_shipwreck_30101_discovered,undead_shipwreck_30101_charted,undead_shipwreck_30101,POI_State,shipwreck,Shipwreck,false,The Montore Expedition,Pirates,16,1,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,,,,,,,,,,,,
30102,@ui_poi_shipwreck_30102_MSQ2,,,,true,LyShineUI/Images/Map/Icon/POIs/castle.png,,200,true,true,,,,,undead_shipwreck_30102_discovered,undead_shipwreck_30102_charted,undead_shipwreck_30102,POI_State,abandoned_village,AbandonedMine,false,Corbenic Castle,Pirates,17,0,LyShineUI/Images/Map/tooltipImages/POI/msq2/mapTooltip_msq2_POI_CorbenicCastle.png,,,,,,,,,,,,,,,,
30103,@ui_poi_witheredfarm_30103,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,200,true,true,,,,,withered_farm_30103_discovered,withered_farm_30103_charted,,POI_State,farm,Farm,false,,,,,,,,,,,,,,,,,,,,,
30104,@ui_poi_witheredfarm_1_30104,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,200,true,true,,,,,withered_farm_2_30104_discovered,withered_farm_2_30104_charted,witheredfarm_2_30104,POI_State,farm,Farm,false,Crone's Rest,Withered,7,10,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png,,,,,,,,,,,,,,,,
30105,@ui_poi_witheredfarm_1_30105,,,,true,LyShineUI/Images/Map/Icon/POIs/castle.png,,200,true,true,,,,,withered_farm_2_30105_discovered,withered_farm_2_30105_charted,witheredfarm_2_30105,POI_State,farm,Farm,false,Farside Farm,Withered,14,10,LyShineUI/Images/Map/tooltipImages/POI/msq2/mapTooltip_msq2_POI_Shatterwall.png,,,,,,,,,,,,,,,,
30106,@ui_poi_bear_den_30106,,,,true,LyShineUI/Images/Map/Icon/POIs/bear_den.png,,100,true,true,,,,,bear_den_30106_discovered,bear_den_30106_charted,bear_den_30106,POI_State,bear_den,,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,,,,,,,,,,,,,
30107,@ui_poi_bear_den_30107,,,,true,LyShineUI/Images/Map/Icon/POIs/bear_den.png,,100,true,true,,,,,bear_den_30107_discovered,bear_den_30107_charted,bear_den_30107,POI_State,bear_den,,false,Bear Den,GrizzlyBear,16,0,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,,,,,,,,,,,,,
30108,@ui_poi_bear_den_30108,,,,true,LyShineUI/Images/Map/Icon/POIs/Mine.png,,200,true,true,,,,,bear_den_30108_discovered,bear_den_30108_charted,bear_den_30108,POI_State,mine,,false,Adamant Mine,Withered,8,0,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_mine.png,,,,,,,,,,,,,,,,
30109,@ui_poi_alpha_wolf_den_30109,,,,true,LyShineUI/Images/Map/Icon/POIs/wolf_den.png,,100,true,true,,,,,alphawolf_den_30109_discovered,alphawolf_den_30109_charted,alphawolf_den_30109,POI_State,wolf_den,,false,Alpha Wolf Den,AlphaWolf,16,0,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png,,,,,,,,,,,,,,,,
30110,@ui_poi_alpha_wolf_den_30110,,,,true,LyShineUI/Images/Map/Icon/POIs/wolf_den.png,,100,true,true,,,,,alphawolf_den_30110_discovered,alphawolf_den_30110_charted,alphawolf_den_30110,POI_State,wolf_den,,false,Alpha Wolf Den,AlphaWolf,16,0,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png,,,,,,,,,,,,,,,,
