SkeletonName,Xform,Head,Neck,Spine,RightHand,RightForeArm,RightMidArm,RightUpperArm,LeftHand,LeftForeArm,LeftMidArm,LeftUpperArm
player_male,Xform,Head,Neck,Spine2,Hand_right,Forearm_right_twist,MidArm_right,UpperArm_right,Hand_left,Forearm_left_twist,MidArm_left,UpperArm_left
player_female,Xform,Head,Neck,Spine2,Hand_right,Forearm_right_twist,MidArm_right,UpperArm_right,Hand_left,Forearm_left_twist,MidArm_left,UpperArm_left
npc_skel,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
alligator_skel,Xform,bind_head_01,bind_neck_01,bind_spine_05,bind_right_frontLeg_04,bind_right_frontLeg_03,bind_right_frontLeg_02,bind_right_frontLeg_01,bind_left_frontLeg_04,bind_left_frontLeg_03,bind_left_frontLeg_02,bind_left_frontLeg_01
bison_skel,Xform,bind_head_01,bind_neck_01,bind_spine_03,bind_right_frontLeg_04,bind_right_frontLeg_03,bind_right_frontLeg_02,bind_right_shoulder,bind_left_frontLeg_04,bind_left_frontLeg_03,bind_left_frontLeg_02,bind_left_shoulder
boar_skel,Xform,bind_head_01,bind_neck_01,bind_spine_03,bind_right_frontFoot_01,bind_right_frontLeg_03,bind_right_frontLeg_02,bind_right_frontLeg_01,bind_left_frontFoot_01,bind_left_frontLeg_03,bind_left_frontLeg_02,bind_left_frontLeg_01
cowDevon_skel,Xform,bind_head_01,bind_neck_01,bind_spine_05,bind_right_frontLeg_04,bind_right_frontLeg_03,bind_right_frontLeg_02,bind_right_shoulder,bind_left_frontLeg_04,bind_left_frontLeg_03,bind_left_frontLeg_02,bind_left_shoulder
goat_skel,Xform,bind_head_01,bind_neck_01,bind_spine_02,bind_right_Front_toe,bind_right_Front_ankle,bind_right_Front_elbow,bind_right_Front_shoulder,bind_left_Front_toe,bind_left_Front_ankle,bind_left_Front_elbow,bind_left_Front_shoulder
hareSnowshoe_skel,Xform,bind_head_01,bind_neck_01,bind_spine2,bind_right_frontLeg_03,bind_right_frontLeg_03,bind_right_frontLeg_02,bind_right_frontLeg_01,bind_left_frontLeg_03,bind_left_frontLeg_03,bind_left_frontLeg_02,bind_left_frontLeg_01
horse_body_skel,Xform,head_jnt,neck_1_jnt,spine_3_jnt,,,,,,,,
mastiff_skel,Xform,c_neck4_BND,c_neck4_BND,c_spine5_BND,,,,,,,,
bear_skel,Xform,head_jnt,neck_1_jnt,spine_3_jnt,right_claw_jnt,right_hand_jnt,right_elbow_jnt,bind_right_clav,left_claw_jnt,left_hand_jnt,right_elbow_jnt,bind_left_clav
wolf_skel,Xform,bind_head_jnt,bind_neck_1_jnt,bind_spine_2_jnt,bind_right_fingers_end_jnt,bind_right_wrist_jnt,bind_right_arm_jnt,bind_right_upperArm_jnt,bind_left_fingers_end_jnt,bind_left_wrist_jnt,bind_left_arm_jnt,bind_left_upperArm_jnt
elk_skel,Xform,head_jnt,neck_1_jnt,spine_3_jnt,right_front_phalange_2_jnt,right_front_phalange_1_jnt,right_cannon_jnt,right_radius_jnt,left_front_phalange_2_jnt,left_front_phalange_1_jnt,left_cannon_jnt,left_radius_jnt
turkey_skel,Xform,bind_head,bind_neck_1,bind_spine_2,bind_rightFingers,bind_rightWrist,bind_rightElbow,bind_rightUpperArm,bind_leftFingers,bind_leftWrist,bind_leftElbow,bind_leftUpperArm
primalLion_skel,Xform,bind_head,bind_neck_01,bind_spine_c,bind_right_front_ball,bind_left_right_lo_arm_twist_a,bind_right_front_elbow,bind_right_front_shoulder,bind_left_front_ball,bind_left_front_lo_arm_twist_a,bind_left_front_elbow,bind_left_front_shoulder
rat_plaguerat_skel,Xform,bind_head,bind_neck_a,bind_spine_c,,,,,,,,
wildlife_spider_skel,Xform,bind_head,bind_neck_a,bind_spine_c,,,,,,,,
housing_nightmarespider_skel,Xform,bind_head,bind_neck_a,bind_spine_c,,,,,,,,
Raccoon_skel,Xform,bind_head_01,bind_neck_01,bind_spine_04,,,,,,,,
withered_skel,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
withered_grunt_skel,Xform,bind_head,bind_spine_a,bind_spine_c,bind_right_front_ball,bind_left_front_wrist,bind_left_front_elbow,bind_left_front_shoulder,bind_left_front_ball,bind_right_front_wrist,bind_left_front_elbow,bind_left_front_shoulder
withered_regurgitator,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
zombie,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
decaying_brute_skel,Xform,bind_head,bind_spine_a,bind_spine_c,right_hand_attachment,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attachment,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
lostsiren_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attachment,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attachment,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
isabella_t2_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attachment,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attachment,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
isabella_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attachment,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attachment,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
piratebrute_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attachment,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attachment,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
admiralbrute_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attach,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attach,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
ancientamalgam_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attachment,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attachment,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
halloweenboss_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attachment,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attachment,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
nereid_boss_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attachment,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attachment,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
male_skeleton_ancient,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
naga_ancient_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attach,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attach,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
torso_boss_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attach,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attach,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
ghost_skel,Xform,c_neck3_BND,c_neck3_BND,c_spine3_BND,l_wrist2_BND,l_arm3_BND,l_arm2_BND,l_arm1_BND,r_wrist2_BND,r_arm3_BND,r_arm2_BND,r_arm1_BND
spirit_skel,Xform,c_neck3_BND,c_neck3_BND,,,,,,,,,
npc_invasion_skel,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
broken_cook_skel,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
