CostID,ManaCost,WeaponTag
Celestial_Heal_AoE,40,MagicGauntlet
Celestial_Heal_AoE_Staff,40,MagicStaff
Celestial_Life_DMG_Absorb,35,MagicGauntlet
Celestial_Life_DMG_Bonus,35,MagicGauntlet
Celestial_Revive,50,MagicStaff
Celestial_Heal_AoE_Staff_Mana_Upgrade,15,MagicStaff
Elemental_Fire_AoE,50,MagicGauntlet
Elemental_Fire_AoE_Staff,50,MagicStaff
Elemental_Fire_Projectile,0,MagicGauntlet
Elemental_Fire_Projectile_Special,10,MagicGauntlet
Elemental_Fire_Combustion,35,MagicGauntlet
Elemental_FireGrenade,25,MagicGauntlet
Elemental_Fire_Staff_Heavy,50,MagicStaff
Elemental_CC_Slow,10,MagicGauntlet
Elemental_CC_Silenced,35,MagicGauntlet
Elemental_CC_Weakness,35,MagicGauntlet
Elemental_Fire_Projectile_Charged,30,MagicGauntlet
Elemental_Fire_Gauntlet_Dash,20,MagicGauntlet
Siphon_Healing_Mana_Check,2,MagicStaff
LifeStaff_TouchOfLife,25,MagicStaff
LifeStaff_Smite,25,MagicStaff
LifeStaff_HolyShield,15,MagicStaff
LifeStaff_HealingWave,15,MagicStaff
LifeStaff_HolyShield_Mana_Upgrade,15,MagicStaff
LifeStaff_TouchOfLife_Mana_Upgrade,20,MagicStaff
LifeStaff_Speed_Intro,30,MagicStaff
LifeStaff_HolyShield_Intro,15,MagicStaff
LifeStaff_HolyShield_Kickout,3,MagicStaff
LifeStaff_Primary,0,MagicStaff
LifeStaff_Heavy,6,MagicStaff
FireStaff_Incinerate,22,MagicStaff
FireStaff_FlameThrower,2.5,MagicStaff
FireStaff_PillarOfFire,15,MagicStaff
FireStaff_Storm,30,MagicStaff
FireStaff_FlameThrower_Cancel,5,MagicStaff
FireStaff_Speed_Intro,30,MagicStaff
FireStaff_Siege,25,MagicStaff
FireStaff_Siege_Recharge_ManaCheck,26,MagicStaff
FireStaff_Storm_Mana_Upgrade,25,MagicStaff
FireStaff_Primary,0,MagicStaff
FireStaff_Heavy,6,MagicStaff
FireStaff_Heavy_Range,10,MagicStaff
FireStaff_Heavy_Speed,15,MagicStaff
Siphon_Healing_Check_To_Cast,5,MagicStaff
FireStaff_Speed_Cost,30,MagicStaff
IceMagic_Primary,0,MagicGauntlet
IceMagic_Heavy,6,MagicGauntlet
IceMagic_Block,10,MagicGauntlet
IceMagic_Spikes,15,MagicGauntlet
IceMagic_IceStorm,25,MagicGauntlet
IceMagic_IceStorm_Mana,5,MagicGauntlet
IceMagic_WindChill,20,MagicGauntlet
IceMagic_Entombed,0,MagicGauntlet
IceMagic_Entombed_Break,10,MagicGauntlet
IceMagic_IceShower,25,MagicGauntlet
IceMagic_IcePylon,15,MagicGauntlet
LifeStaff_LightsEmbrace,18,MagicStaff
LifeStaff_OrbofLight,16,MagicStaff
LifeStaff_Beacon,16,MagicStaff
VoidGauntlet_Primary,0,VoidGauntlet
VoidGauntlet_Heavy,6,VoidGauntlet
VoidGauntlet_VoidBlade,20,VoidGauntlet
VoidGauntlet_NullChamber,30,VoidGauntlet
VoidGauntlet_Scream,25,VoidGauntlet
VoidGauntlet_DecayingOrb,20,VoidGauntlet
VoidGauntlet_DrainingTether,25,VoidGauntlet
VoidGauntlet_EssenceRupture,25,VoidGauntlet
Zero_Mana,0,MagicGauntlet
