ID,AbilityID,Time,WeaponTag
1,Ability_Sword_ReverseStab,20,Sword
2,Ability_Sword_WhirlingBlade,15,Sword
3,Ability_Sword_Rush,20,Sword
4,Ability_Sword_Bash,25,Sword
5,Ability_Sword_FinalStand,45,Sword
6,Ability_Sword_LeapingStrike,18,Sword
7,Ability_Greataxe_Whirlwind,30,GreatAxe
8,Ability_Greataxe_Charge,20,GreatAxe
9,Ability_Greataxe_Executioner,25,GreatAxe
10,Ability_Greataxe_Reap,18,GreatAxe
11,Ability_Greataxe_Maelstorm,20,GreatAxe
12,Ability_Greataxe_GravityWell,30,GreatAxe
13,Ability_WarHammer_ArmorBreaker,12,Warhammer
14,Ability_WarHammer_MightyGavel,20,Warhammer
15,Ability_WarHammer_WreckingBall,15,Warhammer
16,Ability_WarHammer_ClearOut,15,Warhammer
17,Ability_WarHammer_Shockwave,20,Warhammer
18,Ability_WarHammer_PathOfDestiny,22,Warhammer
19,Ability_Hatchet_SocialDistancing,15,Axe
20,Ability_Hatchet_RendingThrow,8,Axe
21,Ability_Hatchet_InfectedThrow,15,Axe
22,Ability_Hatchet_Berserk,18,Axe
23,Ability_Hatchet_FeralRush,12,Axe
24,Ability_Hatchet_RagingTorrent,15,Axe
25,Ability_Musket_PowerShot,12,Rifle
26,Ability_Musket_ShootersStance,18,Rifle
27,Ability_Musket_PowderBurn,15,Rifle
28,Ability_Musket_Traps,20,Rifle
29,Ability_Musket_StoppingPower,20,Rifle
30,Ability_Musket_StickyBomb,12,Rifle
31,Ability_Bow_RapidShot,14,Bow
32,Ability_Bow_EvadeShot,15,Bow
33,Ability_Bow_PenetratingShot,18,Bow
34,Ability_Bow_SplinterShot,22,Bow
35,Ability_Bow_PoisonShot,30,Bow
36,Ability_Bow_RainofArrows,25,Bow
37,Ability_Lifestaff_DivineEmbrace,6,MagicStaff
38,Ability_Lifestaff_ScaredGround,20,MagicStaff
39,Ability_Lifestaff_SplashofLight,15,MagicStaff
40,Ability_Lifestaff_OrbofProtection,10,MagicStaff
41,Ability_Lifestaff_LightsEmbrace,4,MagicStaff
42,Ability_Lifestaff_Beacon,35,MagicStaff
43,Ability_Firestaff_Fireball,15,MagicStaff
44,Ability_Firestaff_PillarofFire,10,MagicStaff
45,Ability_Firestaff_MeteorShower,18,MagicStaff
46,Ability_Firestaff_BurnOut,20,MagicStaff
47,Ability_Firestaff_Incinerate,12,MagicStaff
48,Ability_Firestaff_FlameThrower,8,MagicStaff
49,Ability_Spear_Javelin,15,Spear
50,Ability_Spear_Skewer,15,Spear
51,Ability_Spear_Perforate,12,Spear
52,Ability_Spear_Sweep,10,Spear
53,Ability_Spear_Cyclone,12,Spear
54,Ability_Spear_VaultKick,15,Spear
55,Ability_Rapier_Slash,6,Rapier
56,Ability_Rapier_Flurry,16,Rapier
57,Ability_Rapier_Flourish,20,Rapier
58,Ability_Rapier_Riposte,12,Rapier
59,Ability_Rapier_Lunge,16,Rapier
60,Ability_Rapier_Evasion,6,Rapier
61,Ability_Rapier_Aerial_Lunge_Intro,17,Rapier
62,IceMagic_Spikes,10,MagicGauntlet
63,IceMagic_IceStorm,20,MagicGauntlet
64,IceMagic_WindChill,15,MagicGauntlet
65,IceMagic_Entombed,30,MagicGauntlet
66,IceMagic_IceShower,30,MagicGauntlet
67,IceMagic_IcePylon,10,MagicGauntlet
68,Ability_VoidGauntlet_VoidBlade,25,VoidGauntlet
69,Ability_VoidGauntlet_NullChamber,20,VoidGauntlet
70,Ability_VoidGauntlet_Scream,15,VoidGauntlet
71,Ability_VoidGauntlet_DecayingOrb,15,VoidGauntlet
72,Ability_VoidGauntlet_DrainingTether,25,VoidGauntlet
73,Ability_VoidGauntlet_EssenceRupture,20,VoidGauntlet
