CostID,StaminaCost,Category
Attack_1H_Sword_Primary,0,Combat
Attack_1H_Sword_Heavy,0,Combat
Attack_1H_Sword_Heavy_Charged,0,Combat
Attack_1H_Sword_Special,0,Combat
Attack_1H_Sword_Run,0,Combat
Attack_1H_Rapier_Primary,0,Combat
Attack_1H_Rapier_Heavy,0,Combat
Attack_1H_Rapier_Heavy_Charged,0,Combat
Attack_1H_Rapier_Special,0,Combat
Attack_1H_Rapier_Run,0,Combat
Attack_1H_Club_Primary,0,Combat
Attack_1H_Club_Heavy,0,Combat
Attack_1H_Club_Heavy_Charged,0,Combat
Attack_1H_Club_Special,0,Combat
Attack_1H_Club_Run,0,Combat
Attack_1H_Axe_Primary,0,Combat
Attack_1H_Axe_Heavy,0,Combat
Attack_1H_Axe_Heavy_Charged,0,Combat
Attack_1H_Axe_Special,0,Combat
Attack_1H_Axe_Run,0,Combat
Attack_2H_Axe_Primary,0,Combat
Attack_2H_Axe_Heavy,0,Combat
Attack_2H_Axe_Special,0,Combat
Attack_2H_Axe_Run,0,Combat
Attack_1H_Pistol_Primary,0,Combat
Attack_2H_Rifle_Primary,0,Combat
Attack_2H_Rifle_Gunbutt,0,Combat
Attack_2H_Bow_Primary,0,Combat
Attack_2H_Bow_Primary_Charge,0,Combat
Attack_2H_Bow_Aim,0,Combat
Attack_2H_Bow_Aim_Charge,0,Combat
Attack_2H_Bow_Gunbutt,0,Combat
Attack_Unarmed_Punch,0,Combat
Attack_Unarmed_Kick,0,Combat
Attack_Unarmed_Kick_Charged,0,Combat
Attack_2H_Spear_Primary,0,Combat
Attack_2H_Spear_Heavy,0,Combat
Attack_2H_Spear_Heavy_Charged,0,Combat
Attack_2H_Spear_Special,0,Combat
Attack_2H_Spear_Run,0,Combat
Attack_1H_Tool_Primary,0,Combat
Attack_2H_Tool_Primary,0,Combat
Attack_GreatAxe_Primary,0,Combat
Attack_GreatAxe_Heavy,0,Combat
Attack_GreatAxe_Heavy_Charged,0,Combat
Attack_GreatAxe_Special,0,Combat
Attack_GreatAxe_Run,0,Combat
Attack_Warhammer_Primary,0,Combat
Attack_Warhammer_Heavy,0,Combat
Attack_Warhammer_HeavyAttack_Charged,0,Combat
Attack_Warhammer_Sprinting_Attack1,0,Combat
Attack_Warhammer_Special_1,0,Combat
Attack_Warhammer_Special_2,0,Combat
Attack_Warhammer_Special_3,0,Combat
Attack_Warhammer_Exhausted,0,Combat
Attack_2H_Club_Primary,0,Combat
Attack_2H_Club_Heavy,0,Combat
Attack_2H_Club_Special,0,Combat
Attack_2H_Club_Run,0,Combat
Attack_2H_DemoHammer_Primary,0,Combat
Attack_1H_Fall,0,Combat
Attack_2H_Fall,0,Combat
OH_Shield_Attack1,0,Combat
Dodge_Prone,40,Dodging
Dodge,40,Dodging
Dodge_Roll,40,Dodging
Dodge_Roll_Fast,50,Dodging
Dodge_Roll_Slow,50,Dodging
Sprint,0,Sprinting
Sprint_TravelMode,0,Sprinting
Sprint_Crouch,0,Sprinting
Sprint_Prone,0,Sprinting
Sprint_Unarmed,0,Sprinting
Sprint_Jump,0,Dodging
Block,10,Blocking
Gather_Default,0,Gathering
ThrowingAxe_AimedThrow,20,Combat
Greatsword_Offense_Attack,8,Combat
Stamina_Delay,0,
Low_Stamina_Check,5,
