Id,FishRarityRollModifier,FishSizeRollModifier,SummerFishRarityRollModifier,RequiredWaterTags,ActiveAtDawn,ActiveAtDaytime,ActiveAtDusk,ActiveAtNight,LootTableId,TimeToNibbleSecondsMultiplier
BaitFreshMeatT1,0,1.5,0,Fresh,true,true,true,true,,0.2
BaitSaltSnailT2,0,3,0,Fresh,true,true,true,true,,0.2
BaitSaltElectricEelT3,0,5,0,Fresh,true,true,true,true,,0.2
BaitFreshBreadT1,0.45,0,0,Fresh,true,true,true,true,,0.2
BaitFreshWoodliceT2,0.7,0,0,Fresh,true,true,true,true,,0.2
BaitFreshFireflyT3,0.9,0,0,Fresh,true,true,true,true,,0.2
RareBaitMeatT4,0,8,0,Fresh,true,true,true,true,,0.2
RareBaitSnailT4,0.7,5,0,Fresh,true,true,false,false,,0.2
RareBaitElectricEelT4,0.7,5,0,Fresh,false,false,true,true,,0.2
RareBaitBreadT4,1.5,0,0,Fresh,true,true,true,true,,0.2
RareBaitWoodliceT4,0.9,3,0,Fresh,true,true,false,false,,0.2
RareBaitFireflyT4,0.9,3,0,Fresh,false,false,true,true,,0.2
BaitSaltFishT1,0,1.5,0,Salt,true,true,true,true,,0.2
BaitFreshClamT2,0,3,0,Salt,true,true,true,true,,0.2
BaitFreshOysterT3,0,5,0,Salt,true,true,true,true,,0.2
BaitSaltCheeseT1,0.45,0,0,Salt,true,true,true,true,,0.2
BaitSaltNightcrawlerT2,0.7,0,0,Salt,true,true,true,true,,0.2
BaitSaltGlowwormT3,0.9,0,0,Salt,true,true,true,true,,0.2
RareBaitFishT4,0,8,0,Salt,true,true,true,true,,0.2
RareBaitClamT4,0.7,5,0,Salt,true,true,false,false,,0.2
RareBaitOysterT4,0.7,5,0,Salt,false,false,true,true,,0.2
RareBaitCheeseT4,1.5,0,0,Salt,true,true,true,true,,0.2
RareBaitNightcrawlerT4,0.9,3,0,Salt,true,true,false,false,,0.2
RareBaitGlowwormT4,0.9,3,0,Salt,false,false,true,true,,0.2
BaitLegendaryFishT1,0,0,0,"Fresh,Salt",true,true,true,true,FishingSalmonSpecial,0.2
