GameModeId,Name,Description,IconPath,IsPvp,MinGroupSize,MaxGroupSize,RequireAzothStaff,RequireLocalGroup,RequireRaidGroup,IconPathSmall,PanelIconPath,PanelName,PanelSubText,PanelDescription
Dungeon,@ui_pugfinder_activity_expeditions_name,@ui_pugfinder_activity_expeditions_desc,lyshineui/images/pugfinder/PugFinder_Expedition.dds,false,,,true,,,lyshineui/images/pugfinder/expeditionIconSmall.dds,lyshineui/images/pugfinder/randomExpeditionIcon.dds,@ui_pugfinder_random_expedition_name,@ui_pugfinder_fastest_experience,@ui_pugfinder_random_expedition_description
Mutation,@ui_pugfinder_activity_mutations_name,@ui_pugfinder_activity_mutations_desc,lyshineui/images/pugfinder/PugFinder_Expedition.dds,false,,,true,,,lyshineui/images/pugfinder/expeditionMutatedIconSmall.dds,lyshineui/images/pugfinder/randomMutationIcon.dds,@ui_pugfinder_random_mutation_name,@ui_pugfinder_fastest_experience,@ui_pugfinder_random_mutation_description
Arena3v3,@ui_pvp_arena_title,@ui_pugfinder_activity_pvp_arena_desc,lyshineui/images/pugfinder/PugFinder_Arena.dds,true,,,,,,,,,,
OutpostRush,@ui_outpost_rush_title,@ui_pugfinder_activity_opr_desc,lyshineui/images/pugfinder/PugFinder_OPR.dds,true,,,,,,,,,,
SeasonTrial,@ui_pugfinder_activity_season_trials_name,@ui_pugfinder_activity_season_trials_desc,lyshineui/images/pugfinder/PugFinder_SeasonTrial.dds,false,6,10,,true,true,lyshineui/images/pugfinder/SeasonTrialIconSmall.dds,lyshineui/images/pugfinder/SeasonTrialIcon.dds,@ui_pugfinder_activity_season_trials_name,@ui_pugfinder_activity_season_trials_subtext,@ui_pugfinder_activity_season_trials_description
EliteTrial,@ui_pugfinder_activity_elite_trials_name,@ui_pugfinder_activity_elite_trials_desc,lyshineui/images/pugfinder/PugFinder_EliteTrial.dds,false,12,20,,true,true,,,,,
Raid,@ui_pugfinder_activity_raids_name,@ui_pugfinder_activity_raids_desc,lyshineui/images/pugfinder/PugFinder_Raid.dds,false,6,10,,true,true,lyshineui/images/pugfinder/raidIconSmall.dds,lyshineui/images/pugfinder/RaidIcon.dds,@ui_pugfinder_activity_raids_name,@ui_pugfinder_activity_raids_name,@ui_pugfinder_activity_raids_desc
SoulTrial,@ui_pugfinder_activity_solo_trials_name,@ui_pugfinder_activity_solo_trials_desc,lyshineui/images/pugfinder/PugFinder_SoulTrial.dds,false,,,,,,lyshineui/images/pugfinder/SoulTrialIconSmall.dds,lyshineui/images/pugfinder/SoulTrialIcon.dds,@ui_pugfinder_activity_solo_trials_random_name,@ui_pugfinder_activity_solo_trials_subtext,@ui_pugfinder_activity_solo_trials_description
CaptureTheFlag,@ctf_gamemode_name,@ctf_gamemode_description,lyshineui/images/pugfinder/PugFinder_CTF.png,true,,,,,,lyshineui/images/pugfinder/PugFinder_CTF.png,lyshineui/images/pugfinder/PugFinder_CTF.png,,,
OutpostRush_NoPerks,@ui_opr_no_perks_title,@ui_pugfinder_activity_opr_no_perks_desc,lyshineui/images/pugfinder/PugFinder_OPR_Perkless.dds,true,,,,,,,,,,
BattleRoyale,@br_gamemode_name,@br_gamemode_description,lyshineui/images/pugfinder/PugFinder_CTF.png,true,,,,,,lyshineui/images/pugfinder/PugFinder_CTF.png,lyshineui/images/pugfinder/PugFinder_CTF.png,,,
Catacombs,@ui_pugfinder_activity_catacombs_name,@ui_pugfinder_activity_catacombs_desc,lyshineui/images/pugfinder/PugFinder_Catacombs.png,false,,,,,,lyshineui/images/pugfinder/PugFinder_Catacombs.png,lyshineui/images/pugfinder/PugFinder_Catacombs.png,@dungeon_catacombs_title,,@dungeon_catacombs_description
