BalanceTarget,BalanceTargetUIString,BalanceCategory,AbilityBaseDamageAdjustment,WeaponBaseDamageAdjustment,AffixStatAdjustment,IncomingHealAdjustment,SelfHealAdjustment,ConsumableHealAdjustment,PotencyAdjustment,DurationAdjustment,CooldownAdjustment
HealingAdjustments,,Healing,,,,,-0.3,,,,
2HAxe,@ui_greataxe,ItemClass,,-0.0786,,,,,,,
Blunderbuss,@ui_blunderbuss,ItemClass,,-0.27,,,,,,,
Bow,@ui_bow,ItemClass,,-0.253,,,,,,,
FireStaff,@ui_firestaff,ItemClass,,-0.15,,,,,,,
Flail,@ui_Flail,ItemClass,,-0.125,,,,,,,
2HHammer,@ui_warhammer,ItemClass,,-0.0667,,,,,,,
Hatchet,@ui_throwingaxe,ItemClass,,-0.0597,,,,,,,
IceMagic,@ui_icemagic,ItemClass,,-0.169,,,,,,,
LifeStaff,@ui_lifestaff,ItemClass,,-0.05,,,,,,,
Musket,@ui_musket,ItemClass,,-0.2466,,,,,,,
VoidGauntlet,@ui_voidmagic,ItemClass,,-0.1125,,,,,,,
