GatherableID,DisplayName,RequirementDescription,AdditionalInfo,GatheringAction,GatheringType,IdleFragment,GatheringFragment,FinalLootTable,LootTableDefaultMaterial,MinRespawnRate,MaxRespawnRate,Tradeskill,RequiredTradeskillLevel,ExpansionIdUnlock,DepletedGatherableID,BaseGatherTime,WaitForImpact,Restriction,AlignGatherer,GameEventID,ItemRestrictionId,ItemRestrictionQuantity,ProgressionCurrencyCosts,RequiredSongId,SongRewardId,ResetGatherTimeOnEndInteraction,IsLootContainer,OpenAfterGathering,IsElite,IsDynamicPoiTarget,RequireLootItems,IconTypeUnlock,IconTypeUnlockImagePath,IgnoreAllObstructions,ObstructBuildables,RequireControllingFaction,AddedStatusEffect,RequiredStatusEffect,ConsumedStatusEffect,NumRequiredToGather,UsableEmoteTags,DisplayDescription,IsLandmark,TooltipImage,LandmarkIconPath,RequiredWhisperId,MountGatherers,IsFFARestricted,DestroyOnDepletion
Catacombs_StrengthChest,@Catacombs_Strength,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,CAT_PowerUp_Damage,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,,,,,,,,
Catacombs_HealthChest,@Catacombs_Health,@Catacombs_ErosionShrineDescription,,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,NoToolNecessary,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,CAT_PowerUp_Health,,,,,@Catacombs_ReduceErosionDesc,,,,,,,
Catacombs_HasteChest,@Catacombs_Speed,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,CAT_PowerUp_Speed,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,,,,,,,,
Catacombs_LifestealChest,@Catacombs_Lifesteal,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,CAT_PowerUp_Lifesteal,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,,,,,,,,
Catacombs_DefChest,@Catacombs_Def,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,CAT_PowerUp_Armor,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,,,,,,,,
Catacombs_FortressBlow,@Catacombs_FortressBlow,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_FortressBlow_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_FortressBlowDesc,,,,,,,
Catacombs_LifeBurst,@Catacombs_LifeBurst,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Paladin,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_LifeBurst_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_LifeBurstDesc,,,,,,,
Catacombs_ShieldSlam,@Catacombs_ShieldBash,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Berserker,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_ShieldSlam_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_ShieldBashDesc,,,,,,,
Catacombs_HealBomb,@Catacombs_HealBomb,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Summoner,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_HealBomb_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_HealBombDesc,,,,,,,
Catacombs_HunterMark,@Catacombs_HunterMark,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Reaper,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_HunterMarker_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_HunterMarkDesc,,,,,,,
