GatherableID,DisplayName,GatheringAction,GatheringType,IdleFragment,GatheringFragment,FinalLootTable,LootTableDefaultMaterial,MinRespawnRate,MaxRespawnRate,Tradeskill,RequiredTradeskillLevel,ExpansionIdUnlock,DepletedGatherableID,BaseGatherTime,WaitForImpact,Restriction,AlignGatherer,GameEventID,ItemRestrictionId,ItemRestrictionQuantity,RequiredSongId,SongRewardId,ResetGatherTimeOnEndInteraction,IsLootContainer,IsElite,IsDynamicPoiTarget,RequireLootItems,IconTypeUnlock,IconTypeUnlockImagePath,IgnoreAllObstructions,ObstructBuildables,RequireControllingFaction,AddedStatusEffect,RequiredStatusEffect,ConsumedStatusEffect,NumRequiredToGather,UsableEmoteTags,RequirementDescription,DisplayDescription,IsLandmark,TooltipImage,LandmarkIconPath,RequiredWhisperId
Dunwood_Throwswitch,@dungeon_cutlasskeys00_lever_interact,Handcrafting,None,,Interact_FireDropper,Empty,,3,3,None,,,,0.3,false,NoToolNecessary,true,,,1,,,true,true,,,,,,,,false,,,,,,,,,,,
Dunwood_DanceA,@Season_05_Trial_Entrance_Dancefloor_DisplayName,None,None,,Emote_HipTwistDance,Empty,,3,3,None,,,,7,,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_DanceB,@Season_05_Trial_Entrance_Dancefloor_DisplayName,None,None,,Emote_ArmWaveDance,Empty,,3,3,None,,,,7,,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_DanceC,@Season_05_Trial_Entrance_Dancefloor_DisplayName,None,None,,Emote_BopDance,Empty,,3,3,None,,,,7,,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_Kick,@17DW_Kick_DisplayName,Kicking,None,,,Empty,,3,3,None,,,,0.25,true,NoToolNecessary,true,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_Stomp,@17DW_Stomp_DisplayName,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.25,,NoToolNecessary,true,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_Stomp_NoAlign,@17DW_Stomp_DisplayName,None,None,,Interact_Stomp,Empty,,3,3,None,,,,0.25,,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,
Dunwood_Throwswitch_OnWall,@dungeon_cutlasskeys00_lever_interact,Handcrafting,None,,Interact_HousingCannon,Empty,,3,3,None,,,,0.3,false,NoToolNecessary,true,,,1,,,true,true,,,,,,,,false,,,,,,,,,,,
17DW_ArcanaLock,@17DW_ArcanaLock_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,25,25,AzothStaff,5,,,3,false,ToolRequired,false,17DW_ArcanaLock_interact,,,,,false,true,,,,,,true,,,,,,,,,,,,,
17DW_ArcanaLock_Chest,@17DW_ArcanaLock_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,20,20,AzothStaff,5,,,3,false,ToolRequired,false,17DW_ArcanaLock_Chest_interact,,,,,false,true,,,,,,true,,,,,,,,,,,,,
17DW_ArcanaLock_Portal,@17DW_ArcanaLock_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,20,20,AzothStaff,5,,,5,false,ToolRequired,false,17DW_ArcanaLock_interact,,,,,false,false,,,,,,true,,,,,,,,,,,,,
17DW_ArcanaLock_Proximity,,None,None,,,Empty,,1,1.1,None,0,,,0.1,false,NoToolNecessary,false,17DW_ArcanaLock_interact,,,,,,false,,,,,,,,,,,,,,,,,,,
17DW_ArcanaLock_BridgePerm,@17DW_ArcanaLock_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,360,360,AzothStaff,5,,,5,false,ToolRequired,false,17DW_ArcanaLock_interact,,,,,false,true,,,,,,true,,,,,,,,,,,,,
Dunwood_Battery_Get,@17_MSQ_Battery_DisplayName,Handcrafting,Handcrafting,,,Empty,,5,5,None,0,,,1,false,NoToolNecessary,true,,,,,,true,false,,,,,,,,,Dungeon_OrbGateKey,,,,,,,,,,
