GatherableID,DisplayName,GatheringAction,GatheringType,IdleFragment,GatheringFragment,FinalLootTable,LootTableDefaultMaterial,MinRespawnRate,MaxRespawnRate,Tradeskill,RequiredTradeskillLevel,ExpansionIdUnlock,DepletedGatherableID,BaseGatherTime,WaitForImpact,Restriction,AlignGatherer,GameEventID,ItemRestrictionId,ItemRestrictionQuantity,RequiredSongId,SongRewardId,ResetGatherTimeOnEndInteraction,IsLootContainer,IsElite,IsDynamicPoiTarget,RequireLootItems,IconTypeUnlock,IconTypeUnlockImagePath,IgnoreAllObstructions,ObstructBuildables,RequireControllingFaction,AddedStatusEffect,RequiredStatusEffect,ConsumedStatusEffect,NumRequiredToGather,UsableEmoteTags,RequirementDescription,DisplayDescription,IsLandmark,TooltipImage,LandmarkIconPath,RequiredWhisperId,MountGatherers,IsFFARestricted,DestroyOnDepletion
IoN_Balista_Bolt,@Raid_MonarchsBluffs00_Ballista_DisplayName,None,None,,,,,86400,86400,None,,,,0.5,false,NoToolNecessary,true,,,,,,true,false,,,,,,,,,Raid_IoN_Balista_Bolt,AI_Bolt_Check,,,,,,,,,,,,
IoN_Traps,@Raid_MonarchsBluffs00_Traps_DisplayName,None,None,,,Empty,,10,10,None,0,,,0.2,false,NoToolNecessary,true,,,,,,true,false,,,,,,,,,,,,,,,,,,,,,,
IoN_ExplosiveBarrel_PickUp,@Raid_MonarchsBluffs00_ExplosiveBarrel_DisplayName,Handcrafting,Handcrafting,,,Empty,,64000,64002,None,0,,,1,false,NoToolNecessary,true,,,,,,true,false,,,,,,,,,Raid_IoN_Barrel_PickUp,AI_Explosive_Barrel_Check,,,,,,,,,,,,
IoN_ExplosiveBarrel_Drop,@Raid_MonarchsBluffs00_DropBarrel_DisplayName,Handcrafting,Handcrafting,,,Empty,,64000,64002,None,0,,,1,false,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,Raid_IoN_Barrel_PickUp,Raid_IoN_Barrel_PickUp,,,,,,,,,,,
IoN_Puzzle_Relic1Pickup,@Raid_MonarchsBluffs00_Relic1Pickup_DisplayName,Handcrafting,Handcrafting,,,Empty,,64000,64002,None,0,,,1,false,NoToolNecessary,false,,,,,,true,false,,,,,,,,,Raid_IoN_Puzzle_Relic1Pickup,,,,,,,,,,,,,
IoN_Puzzle_Relic1Drop,@Raid_MonarchsBluffs00_Relic1Drop_DisplayName,None,None,,,Empty,,64000,64002,None,0,,,1,false,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,Raid_IoN_Puzzle_Relic1Pickup,Raid_IoN_Puzzle_Relic1Pickup,,,,,,,,,,,
IoN_Puzzle_Relic2Pickup,@Raid_MonarchsBluffs00_Relic2Pickup_DisplayName,Handcrafting,Handcrafting,,,Empty,,64000,64002,None,0,,,1,false,NoToolNecessary,false,,,,,,true,false,,,,,,,,,Raid_IoN_Puzzle_Relic2Pickup,,,,,,,,,,,,,
IoN_Puzzle_Relic2Drop,@Raid_MonarchsBluffs00_Relic2Drop_DisplayName,None,None,,,Empty,,64000,64002,None,0,,,1,false,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,Raid_IoN_Puzzle_Relic2Pickup,Raid_IoN_Puzzle_Relic2Pickup,,,,,,,,,,,
IoN_Puzzle_Relic3Pickup,@Raid_MonarchsBluffs00_Relic3Pickup_DisplayName,Handcrafting,Handcrafting,,,Empty,,64000,64002,None,0,,,1,false,NoToolNecessary,false,,,,,,true,false,,,,,,,,,Raid_IoN_Puzzle_Relic3Pickup,,,,,,,,,,,,,
IoN_Puzzle_Relic3Drop,@Raid_MonarchsBluffs00_Relic3Drop_DisplayName,None,None,,,Empty,,64000,64002,None,0,,,1,false,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,Raid_IoN_Puzzle_Relic3Pickup,Raid_IoN_Puzzle_Relic3Pickup,,,,,,,,,,,
IoN_Puzzle_Relic4Pickup,@Raid_MonarchsBluffs00_Relic4Pickup_DisplayName,Handcrafting,Handcrafting,,,Empty,,64000,64002,None,0,,,1,false,NoToolNecessary,false,,,,,,true,false,,,,,,,,,Raid_IoN_Puzzle_Relic4Pickup,,,,,,,,,,,,,
IoN_Puzzle_Relic4Drop,@Raid_MonarchsBluffs00_Relic4Drop_DisplayName,None,None,,,Empty,,64000,64002,None,0,,,1,false,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,Raid_IoN_Puzzle_Relic4Pickup,Raid_IoN_Puzzle_Relic4Pickup,,,,,,,,,,,
Raid_IoN_PressurePlate,@Raid_MonarchsBluffs00_PressurePlate_DisplayName,None,None,,,Empty,,0.75,0.75,None,0,,,0.1,false,NoToolNecessary,false,,,,,,true,false,,,,,,,,false,,,,,,,,,,,,,,
IoN_Lost_Thorpe_Relic,@Raid_MonarchsBluffs00_ThorpeRelic_DisplayName,None,None,,,Empty,,0,0,None,0,,,0,false,NoToolNecessary,false,,,,,,false,false,,,,,,,,,AI_IoN_Lost_Thorpe_SpearBearer,AI_IoN_Lost_Thorpe_Relic_Authorized,,,,,,,,,,,,
IoN_MemoryShard,@Raid_MonarchsBluffs00_MemoryShard_DisplayName,None,None,,,Empty,,64000,64002,None,0,,,0.5,false,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,,,,
IoN_GradlonVO,@Raid_MonarchsBluffs00_GradlonVO_DisplayName,None,None,,,Empty,,64000,64002,None,0,,,1,false,NoToolNecessary,false,,,,,,true,false,,,,,,,,,,,,,,,,,,,,,,
