GatherableID,DisplayName,GatheringAction,GatheringType,IdleFragment,GatheringFragment,FinalLootTable,LootTableDefaultMaterial,MinRespawnRate,MaxRespawnRate,Tradeskill,RequiredTradeskillLevel,ExpansionIdUnlock,DepletedGatherableID,BaseGatherTime,WaitForImpact,Restriction,AlignGatherer,GameEventID,ItemRestrictionId,ItemRestrictionQuantity,RequiredSongId,SongRewardId,ResetGatherTimeOnEndInteraction,IsLootContainer,IsElite,IsDynamicPoiTarget,RequireLootItems,IconTypeUnlock,IgnoreAllObstructions,ObstructBuildables,RequireControllingFaction,AddedStatusEffect,RequiredStatusEffect,ConsumedStatusEffect,NumRequiredToGather,UsableEmoteTags,RequirementDescription,DisplayDescription,IsLandmark,TooltipImage,LandmarkIconPath,RequiredWhisperId,MountGatherers
TreeSoftwoodTiny,@TreeSoftwoodTiny_DisplayName,Chopping,Chopping,,,TreeTiny,,420,600,Logging,0,,,5,true,ToolRequired,true,Gather_LoggingT1,,,,,,false,,,,YoungTrees,,,,,,,,,,,,,,,
Test_Generic_Interact,,Handcrafting,None,,,Empty,,0.2,0.2,None,,,,1,false,NoToolNecessary,true,,,,,,true,false,,,,,,,,,,,,,,,,,,,
TreeSoftwoodSmall,@TreeSoftwoodSmall_DisplayName,Chopping,Chopping,,,TreeSmall,,504,720,Logging,0,,,15,true,ToolRequired,true,Gather_LoggingT2,,,,,,false,,,,,,,,,,,,,,,,,,,
TreeSoftwoodMedium,@TreeSoftwoodMedium_DisplayName,Chopping,Chopping,,,TreeMedium,,630,900,Logging,0,,,25,true,ToolRequired,true,Gather_LoggingT3,,,,,,false,,,,,,,,,,,,,,,,,,,
TreeSoftwoodLarge,@TreeSoftwoodLarge_DisplayName,Chopping,Chopping,,,TreeLarge,,714,1020,Logging,50,,,35,true,ToolRequired,true,Gather_LoggingT4,,,,,,false,,,,MatureTrees,,,,,,,,,,,,,,,
TreeSoftwoodHuge,@TreeSoftwoodHuge_DisplayName,Chopping,Chopping,,,TreeHuge,,840,1200,Logging,50,,,45,true,ToolRequired,true,Gather_LoggingT5,,,,,,false,,,,MatureTrees,,,,,,,,,,,,,,,
TreeHardwoodTiny,@TreeHardwoodTiny_DisplayName,Chopping,Chopping,,,TreeTiny,,420,600,Logging,0,,,5,true,ToolRequired,true,Gather_LoggingT1,,,,,,false,,,,,,,,,,,,,,,,,,,
TreeHardwoodSmall,@TreeHardwoodSmall_DisplayName,Chopping,Chopping,,,TreeSmall,,504,720,Logging,0,,,15,true,ToolRequired,true,Gather_LoggingT2,,,,,,false,,,,,,,,,,,,,,,,,,,
TreeHardwoodMedium,@TreeHardwoodMedium_DisplayName,Chopping,Chopping,,,TreeMedium,,630,900,Logging,0,,,25,true,ToolRequired,true,Gather_LoggingT3,,,,,,false,,,,,,,,,,,,,,,,,,,
TreeHardwoodLarge,@TreeHardwoodLarge_DisplayName,Chopping,Chopping,,,TreeLarge,,714,1020,Logging,50,,,35,true,ToolRequired,true,Gather_LoggingT4,,,,,,false,,,,MatureTrees,,,,,,,,,,,,,,,
TreeHardwoodHuge,@TreeHardwoodHuge_DisplayName,Chopping,Chopping,,,TreeHuge,,840,1200,Logging,50,,,45,true,ToolRequired,true,Gather_LoggingT5,,,,,,false,,,,MatureTrees,,,,,,,,,,,,,,,
FallTreeSmall,@FallTreeSmall_DisplayName,Chopping,Chopping,,,TreeSmall,,420,600,Logging,0,,,15,true,ToolRequired,true,Gather_LoggingT2,,,,,,false,,,,,,,,,,,,,,,,,,,
BananaTreeTiny,@BananaTreeTiny_DisplayName,Chopping,Chopping,,,BananaTreeTiny,,420,600,Logging,0,,,5,true,ToolRequired,true,Gather_LoggingT1,,,,,,false,,,,,,,,,,,,,,,,,,,
BananaTreeSmall,@BananaTreeSmall_DisplayName,Chopping,Chopping,,,BananaTreeSmall,,504,720,Logging,0,,,15,true,ToolRequired,true,Gather_LoggingT2,,,,,,false,,,,,,,,,,,,,,,,,,,
BananaTreeMedium,@BananaTreeMedium_DisplayName,Chopping,Chopping,,,BananaTreeMedium,,630,900,Logging,0,,,25,true,ToolRequired,true,Gather_LoggingT3,,,,,,false,,,,,,,,,,,,,,,,,,,
FallTreeMedium,@FallTreeMedium_DisplayName,Chopping,Chopping,,,TreeMedium,,630,900,Logging,0,,,20,true,ToolRequired,true,Gather_LoggingT3,,,,,,false,,,,,,,,,,,,,,,,,,,
FallTreeLarge,@FallTreeLarge_DisplayName,Chopping,Chopping,,,TreeLarge,,714,1020,Logging,50,,,35,true,ToolRequired,true,Gather_LoggingT4,,,,,,false,,,,MatureTrees,,,,,,,,,,,,,,,
WinterTreeSmall,@WinterTree_DisplayName,Chopping,Chopping,,,TreeSmall,,420,600,Logging,0,,,15,true,ToolRequired,true,Gather_LoggingT2,,,,,,false,,,,,,,,,,,,,,,,,,,
WinterTreeMedium,@WinterTreeMedium_DisplayName,Chopping,Chopping,,,TreeMedium,,630,900,Logging,0,,,20,true,ToolRequired,true,Gather_LoggingT3,,,,,,false,,,,,,,,,,,,,,,,,,,
WinterTreeLarge,@WinterTreeLarge_DisplayName,Chopping,Chopping,,,TreeLarge,,714,1020,Logging,50,,,35,true,ToolRequired,true,Gather_LoggingT4,,,,,,false,,,,MatureTrees,,,,,,,,,,,,,,,
TreeSoftwoodTinyDowned,@TreeSoftwoodTinyDowned_DisplayName,Chopping,Chopping,,,TreeTiny,,420,600,Logging,0,,,5,true,ToolRequired,true,Gather_LoggingT1,,,,,,false,,,,,,,,,,,,,,,,,,,
TreeSoftwoodSmallDowned,@TreeSoftwoodSmallDowned_DisplayName,Chopping,Chopping,,,TreeSmall,,504,720,Logging,0,,,15,true,ToolRequired,true,Gather_LoggingT2,,,,,,false,,,,,,,,,,,,,,,,,,,
TreeSoftwoodMediumDowned,@TreeSoftwoodMediumDowned_DisplayName,Chopping,Chopping,,,TreeMedium,,630,900,Logging,0,,,25,true,ToolRequired,true,Gather_LoggingT3,,,,,,false,,,,,,,,,,,,,,,,,,,
TreeSoftwoodLargeDowned,@TreeSoftwoodLargeDowned_DisplayName,Chopping,Chopping,,,TreeLarge,,714,1020,Logging,50,,,35,true,ToolRequired,true,Gather_LoggingT4,,,,,,false,,,,MatureTrees,,,,,,,,,,,,,,,
TreeSoftwoodHugeDowned,@TreeSoftwoodHugeDowned_DisplayName,Chopping,Chopping,,,TreeHuge,,840,1200,Logging,50,,,45,true,ToolRequired,true,Gather_LoggingT5,,,,,,false,,,,MatureTrees,,,,,,,,,,,,,,,
TreeHardwoodTinyDowned,@TreeHardwoodTinyDowned_DisplayName,Chopping,Chopping,,,TreeTiny,,420,600,Logging,0,,,5,true,ToolRequired,true,Gather_LoggingT1,,,,,,false,,,,,,,,,,,,,,,,,,,
TreeHardwoodSmallDowned,@TreeHardwoodSmallDowned_DisplayName,Chopping,Chopping,,,TreeSmall,,504,720,Logging,0,,,15,true,ToolRequired,true,Gather_LoggingT2,,,,,,false,,,,,,,,,,,,,,,,,,,
TreeHardwoodMediumDowned,@TreeHardwoodMediumDowned_DisplayName,Chopping,Chopping,,,TreeMedium,,630,900,Logging,0,,,25,true,ToolRequired,true,Gather_LoggingT3,,,,,,false,,,,,,,,,,,,,,,,,,,
TreeHardwoodLargeDowned,@TreeHardwoodLargeDowned_DisplayName,Chopping,Chopping,,,TreeLarge,,714,1020,Logging,50,,,35,true,ToolRequired,true,Gather_LoggingT4,,,,,,false,,,,MatureTrees,,,,,,,,,,,,,,,
TreeHardwoodHugeDowned,@TreeHardwoodHugeDowned_DisplayName,Chopping,Chopping,,,TreeHuge,,840,1200,Logging,50,,,45,true,ToolRequired,true,Gather_LoggingT5,,,,,,false,,,,MatureTrees,,,,,,,,,,,,,,,
TreeIronwoodTiny,@TreeIronwoodTiny_DisplayName,Chopping,Chopping,,,IronwoodTreeTiny,,630,900,Logging,150,,,35,true,ToolRequired,true,Gather_LoggingT11,,,,,,false,,,,Ironwood,,true,,,,,,,,,,,,,
TreeIronwoodSmall,@TreeIronwoodSmall_DisplayName,Chopping,Chopping,,,IronwoodTreeSmall,,756,1080,Logging,150,,,60,true,ToolRequired,true,Gather_LoggingT12,,,,,,false,,,,Ironwood,,true,,,,,,,,,,,,,
TreeIronwoodMedium,@TreeIronwoodMedium_DisplayName,Chopping,Chopping,,,IronwoodTreeMedium,,945,1350,Logging,150,,,85,true,ToolRequired,true,Gather_LoggingT13,,,,,,false,,,,Ironwood,,true,,,,,,,,,,,,,
TreeIronwoodLarge,@TreeIronwoodLarge_DisplayName,Chopping,Chopping,,,IronwoodTreeLarge,,1071,1530,Logging,150,,,110,true,ToolRequired,true,Gather_LoggingT14,,,,,,false,,,,Ironwood,,true,,,,,,,,,,,,,
TreeIronwoodHuge,@TreeIronwoodHuge_DisplayName,Chopping,Chopping,,,IronwoodTreeHuge,,1260,1800,Logging,150,,,135,true,ToolRequired,true,Gather_LoggingT15,,,,,,false,,,,Ironwood,,true,,,,,,,,,,,,,
TreeWyrdwoodTiny,@TreeWyrdwoodTiny_DisplayName,Chopping,Chopping,,,WyrdwoodTreeTiny,,840,1200,Logging,100,,,20,true,ToolRequired,true,Gather_LoggingT6,,,,,,false,,,,Wyrdwood,,true,,,,,,,,,,,,,
TreeWyrdwoodSmall,@TreeWyrdwoodSmall_DisplayName,Chopping,Chopping,,,WyrdwoodTreeSmall,,1008,1440,Logging,100,,,45,true,ToolRequired,true,Gather_LoggingT7,,,,,,false,,,,Wyrdwood,,true,,,,,,,,,,,,,
TreeWyrdwoodMedium,@TreeWyrdwoodMedium_DisplayName,Chopping,Chopping,,,WyrdwoodTreeMedium,,1260,1800,Logging,100,,,70,true,ToolRequired,true,Gather_LoggingT8,,,,,,false,,,,Wyrdwood,,true,,,,,,,,,,,,,
TreeWyrdwoodLarge,@TreeWyrdwoodLarge_DisplayName,Chopping,Chopping,,,WyrdwoodTreeLarge,,1428,2040,Logging,100,,,95,true,ToolRequired,true,Gather_LoggingT9,,,,,,false,,,,Wyrdwood,,true,,,,,,,,,,,,,
TreeWyrdwoodHuge,@TreeWyrdwoodHuge_DisplayName,Chopping,Chopping,,,WyrdwoodTreeHuge,,1680,2400,Logging,100,,,120,true,ToolRequired,true,Gather_LoggingT10,,,,,,false,,,,Wyrdwood,,true,,,,,,,,,,,,,
TreeRunewoodTiny,@TreeRunewoodTiny_DisplayName,Chopping,Chopping,,,RunewoodTreeTiny,,420,600,Logging,205,Expansion2023,,50,true,ToolRequired,true,Gather_LoggingT16,,,,,,false,,,,Runewood,,true,,,,,,,,,,,,,
TreeRunewoodSmall,@TreeRunewoodSmall_DisplayName,Chopping,Chopping,,,RunewoodTreeSmall,,500,720,Logging,205,Expansion2023,,75,true,ToolRequired,true,Gather_LoggingT17,,,,,,false,,,,Runewood,,true,,,,,,,,,,,,,
TreeRunewoodMedium,@TreeRunewoodMedium_DisplayName,Chopping,Chopping,,,RunewoodTreeMedium,,630,900,Logging,205,Expansion2023,,100,true,ToolRequired,true,Gather_LoggingT18,,,,,,false,,,,Runewood,,true,,,,,,,,,,,,,
TreeRunewoodLarge,@TreeRunewoodLarge_DisplayName,Chopping,Chopping,,,RunewoodTreeLarge,,714,1020,Logging,205,Expansion2023,,125,true,ToolRequired,true,Gather_LoggingT19,,,,,,false,,,,Runewood,,true,,,,,,,,,,,,,
