BalanceTarget,BalanceCategory,AbilityBaseDamageAdjustment,WeaponBaseDamageAdjustment,AffixStatAdjustment,IncomingHealAdjustment,SelfHealAdjustment,ConsumableHealAdjustment,PotencyAdjustment
AbilityDamageBonuses,AbilityDamageBonus,,,,,,,
AffixStatsDamage,AffixStats,,,,,,,
HealingAdjustments,Healing,,,,,,,
Empower,StatusEffect,,,,,,,
Buff,StatusEffect,,,,,,,
Axe2H,ItemClass,,,,,,,
Blunderbuss,ItemClass,,-0.09,,,,,
Bow,ItemClass,,-0.14,,,,,
FIreStaff,ItemClass,,-0.05,,,,,
Flail,ItemClass,,,,,,,
GreatSword,ItemClass,,,,,,,
Hammer2H,ItemClass,,,,,,,
Hatchet,ItemClass,,,,,,,
IceMagic,ItemClass,,-0.05,,,,,
LifeStaff,ItemClass,,-0.05,,,,,
Musket,ItemClass,,-0.12,,,,,
Rapier,ItemClass,,,,,,,
Shield,ItemClass,,,,,,,
Spear,ItemClass,,,,,,,
Sword,ItemClass,,,,,,,
VoidGauntlet,ItemClass,,-0.05,,,,,
