StatusID,DisplayName,Description,EffectCategories,PlaceholderIcon,ShowInUITray,ShowTextInDamageNumbers,FxScriptOn,FxScriptOff,ShouldRefreshFxScript,WeaponEffectType,Notification,DisableTelemetry,IsClientPredicted,UseLightweightReplication,PotencyPerLevel,ApplicationCooldown,BaseDuration,TickRate,DelayInitialTick,TickCondition,OnTickStatusEffect,KeepOnTickEffectOnEnd,StopOnHitCount,HitCondition,RequireReaction,OnStackStatusEffect,AddOnStackSize,AddOnStackSizeComparison,HealThreatMultiplier,ScaleAmountOverTime,ScaleAmountOverTimeMin,ScaleAmountOverTimeMax,DamageSkipsDeathsDoor,Health,HealthMin,HealthModifierPercent,HealthModifierBasePercent,HealthModifierDamageBased,UseHealScalingValue,HealScalingValueMultiplier,StaminaDamageModifier,ManaModifierDamageBased,DamageType,CritChanceModifier,CritDamageModifier,OnEndStatusEffect,CastSpell,TargetOwnsSpell,UseSourceWeaponForSpell,FromAlchemy,FromSpell,NoHealthRegen,HealMod,MaxHealthMod,HealthRate,CoreTempMod,TempMod,Stamina,StaminaRate,Mana,ManaRate,Food,FoodBurn,Drink,DrinkBurn,Encumbrance,ItemClassWeightMods,XPIncreases,AzothMod,FactionReputationMod,FactionTokensMod,EXPLogging,EXPMining,EXPHarvesting,EXPSkinning,EXPSmelting,EXPWoodworking,EXPLeatherworking,EXPWeaving,EXPStonecutting,GrantSanctuary,NoSprint,NoRun,NoDodge,NoNav,Silenced,Stunned,RemoveOnDeath,RemoveOnDeathsDoor,RemoveOnRespawn,RemoveOnGameModeExit,IgnoreDiminishingReturns,OnlyChangeOwnedStatusEffects,AlwaysReplicate,Afflictions,OnHitAffixes,EquipAbility,UseSourceWeaponForAbilityEffect,IsNegative,RespecTradeskills,RespecAttributes,EffectDurationMods,EffectPotencyMods,RemoveStatusEffects,RemoveStatusEffectCategories,GlobalRollMod,FishingLineStrength,FishSizeRollModifier,MODConstitution,MODFocus,MODStrength,MODDexterity,MODIntelligence,MGSArcana,MGSWeaponsmithing,MGSJewelcrafting,MGSEngineering,MGSArmoring,MaxGSArcana,MaxGSWeaponsmithing,MaxGSJewelcrafting,MaxGSEngineering,MaxGSArmoring,ROLCooking,ROLWeaving,ROLStonecutting,ROLSmelting,ROLLeatherworking,ROLWoodworking,ROLLogging,ROLMining,ROLSkinning,ROLHarvesting,ROLFishing,MULTLogging,MULTMining,MULTSkinning,MULTHarvesting,MULTFishing,EFFLogging,EFFMining,EFFSkinning,EFFHarvesting,INSLogging,INSMining,INSSkinning,INSHarvesting,PhysicalArmor,ElementalArmor,ABSStandard,ABSSiege,ABSStrike,ABSSlash,ABSThrust,ABSArcane,ABSFire,ABSIce,ABSNature,ABSLightning,ABSCorruption,ABSAcid,ABSVitalsCategory,RESPoison,RESDisease,RESBleed,RESFrostbite,RESCurse,RESBlight,BLAStandard,BLASiege,BLAStrike,BLASlash,BLAThrust,BLAArcane,BLAFire,BLAIce,BLALightning,BLACorruption,ABAPoison,ABADisease,ABABleed,ABAFrostbite,ABACurse,ABABlight,WKNStandard,WKNSiege,WKNStrike,WKNSlash,WKNThrust,WKNArcane,WKNFire,WKNIce,WKNNature,WKNLightning,WKNCorruption,DMGStandard,DMGSiege,DMGStrike,DMGSlash,DMGThrust,DMGArcane,DMGFire,DMGIce,DMGNature,DMGLightning,DMGCorruption,DMGAcid,DMGVitalsCategory,AFAPoison,AFADisease,AFABleed,AFAFrostbite,AFACurse,AFABlight,StackDuration,DurationMax,InheritDuration,InheritTotalDuration,RefreshDuration,StackMax,InitialStackSize,RemoveUnappliedStacks,PotencyMax,DontReplaceStack,MoveSpeedMod,SprintSpeedMod,FastTravelEncumbranceMod,GameEventId,HealRewardGameEventId,HealRewardThreshold,WeaponMasteryCategoryId,UIPriority,UiNameplatePriority,ShowInNameplates,ShowTextInNameplates,OverrideOtherNameplateText,HidesOtherStatusEffectIcons,DynamicModelScaleFactor,DynamicModelScaleRampTimeSecs,SpawnSlice,DisableSupportContributionRewards,BlockMultipleEffectsFromSameSource,AllowSelfOnlyAsSourceForAbilities,IgnoreInvulnerable,NotCombatAction,SourceRuneChargeOnApply,SourceRuneChargeOnTick,SourceRuneChargeOnHealthChangeOnly
IceMagic_IceStorm,@IceMagic_IceStorm_DisplayName,@IceMagic_IceStorm_Description,NonDispellableDebuff+Freeze+Slow+Frost,lyshineui/images/status/SE_SlowT3.png,true,true,StatFX_Slow_ON,,,,,,,,,,-1,0.33,,,,,0,,,,,,,,,,,0,,0,,,,,,,Ice,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,true,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,0,,,-0.25,-0.25,,,,,,2,2,true,,,,,,,,,,,,,0.086,true
IceMagic_IceStorm_Damage,,,NonDispellableDebuff+Freeze+Frost+FrostBurn+DoT,,false,false,,,,,,,,,,,-1,0.33,,,,,0,,,,,,,,,,,0,,0,,-0.17,,,,,Ice,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,true,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,0,,,,,,,,,,2,2,false,,,,,,,,,,,,,0.086,true
IceMagic_IceStorm_UT,@IceMagic_IceStorm_DisplayName,@IceMagic_IceStorm_Description,NonDispellableDebuff+Freeze+Frost,lyshineui/images/status/SE_SlowT3.png,false,false,,,,,,,,,,,-1,0.33,,,,,0,,,,,,,,,,,0,,0,,,,,,,Ice,,,IceMagic_IceStorm_UT_Duration,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,true,,,,,,,true,,,,,IceMagic_IceStorm_UT_Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,0,,,,,,,,,,2,2,false,,,,,,,,,,,,,0.086,true
IceMagic_IceStorm_UT_Damage,,,NonDispellableDebuff+Freeze+Frost+FrostBurn+DoT,,false,false,,,,,,,,,,,-1,0.33,,,,,0,,,,,,,,,,,0,,0,,-0.17,,,,,Ice,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,true,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,0,,,,,,,,,,2,2,false,,,,,,,,,,,,,0.086,true
IceMagic_IceStorm_UT_Duration,@IceMagic_IceStorm_DisplayName,@IceMagic_IceStorm_Description,NonDispellableDebuff+Freeze+Slow+Frost,lyshineui/images/status/SE_SlowT3.png,true,true,StatFX_Slow_ON,,,,,,,,,,2,1,,,,,0,,,,,,,,,,,0,,0,,,,,,,Ice,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,true,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,0,,,-0.25,-0.25,,,,,,2,2,true,,,,,,,,,,,,,0.086,true
IceMagic_Frostbite,@IceMagic_Frostbite_DisplayName,@IceMagic_Frostbite_Description,NonDispellableDebuff+Freeze+Slow+Frost,lyshineui/images/status/SE_IceMagicFreeze.png,true,true,StatFX_Frostbite_ON,StatFX_Frostbite_OFF,,,,,,,,,-1,10,,,IceMagic_IceShower_Freeze,true,0,,,,,,,,,,,0,,0,,,,,,,Ice,,,IceMagic_Frostbite_Dur3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,true,,,,,,,true,,,,,IceMagic_Frostbite_Dur3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,0,1,,-0.5,-0.5,,,,,,1,1,true,,,,,,,,,,true,,1.3,,
IceMagic_Frostbite_Rend,@IceMagic_Frostbite_DisplayName,@IceMagic_Frostbite_Description,NonDispellableDebuff+Freeze+Slow+Frost+ArmorRend,lyshineui/images/status/SE_IceMagicFreeze.png,true,true,StatFX_Frostbite_ON,StatFX_Frostbite_OFF,,,,,,,,,-1,10,,,IceMagic_IceShower_Freeze,true,0,,,,,,,,,,,0,,0,,,,,,,Ice,,,IceMagic_Frostbite_Dur3_Rend,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,true,,,,,,,true,,,,,IceMagic_Frostbite_Dur3_Rend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,0,1,,-0.5,-0.5,,,,,,1,1,true,,,,,,,,,,true,,1.3,,
IceMagic_Frostbite_Dur3,@IceMagic_Frostbite_DisplayName,@IceMagic_Frostbite_Description,NonDispellableDebuff+Freeze+Slow+Frost,lyshineui/images/status/SE_IceMagicFreeze.png,true,false,StatFX_Frostbite_ON,StatFX_Frostbite_OFF,,,,,,,,,3,4,,,,,0,,,,,,,,,,,0,,0,,,,,,,Ice,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,true,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,true,1,,TRUE,1,,-0.5,-0.5,,,,,,1,1,true,,,,,,,,,,,,,,
IceMagic_Frostbite_Dur3_Rend,@IceMagic_Frostbite_DisplayName,@IceMagic_Frostbite_Description,NonDispellableDebuff+Freeze+Slow+Frost+ArmorRend,lyshineui/images/status/SE_IceMagicFreeze.png,true,false,StatFX_Frostbite_ON,StatFX_Frostbite_OFF,,,,,,,,,3,4,,,,,0,,,,,,,,,,,0,,0,,,,,,,Ice,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,true,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,true,1,,TRUE,1,,-0.5,-0.5,,,,,,1,1,true,,,,,,,,,,,,,,
IceMagic_Frostbite_Rend_DeadlyFrost,@IceMagic_Frostbite_DisplayName,@IceMagic_Frostbite_Description,NonDispellableDebuff+Freeze+Slow+Frost+ArmorRend,lyshineui/images/status/SE_IceMagicFreeze.png,true,true,StatFX_Frostbite_ON,StatFX_Frostbite_OFF,,,,,,,,,-1,10,,,IceMagic_IceShower_Freeze,true,0,,,,,,,,,,,0,,0,,,,,,,Ice,,,IceMagic_Frostbite_Dur3_Rend_DeadlyFrost,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,true,,,,,,,true,,,,,IceMagic_Frostbite_Dur3_Rend_DeadlyFrost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,TRUE,1,,-0.5,-0.5,,,,,,1,1,true,,,,,,,,,,true,,,,
