VitalsID,DisplayName,Level,BaseVitalsId
FL_Destructible_Wall_01,@FL_Destructible_Wall_01_VitalsName,60,FL_Destructible_Wall_01
FL_Armored_Dragon,@FL_Armored_Dragon_VitalsName,63,FL_Armored_Dragon
FL_Armored_Dragon_Elite_Named_09FL01,@FL_Armored_Dragon_Elite_Named_09FL01_VitalsName,70,FL_Armored_Dragon_Elite_Named_09FL01
FL_Armored_Dragon_09FL11,@FL_Armored_Dragon_09FL11_VitalsName,66,FL_Armored_Dragon_09FL11
FL_Armored_Dragon_Named_09FL11,@FL_Armored_Dragon_Named_09FL11_VitalsName,66,FL_Armored_Dragon_Named_09FL11
FL_DH_Armored_Dragon_Named,@FL_DH_Armored_Dragon_Named_VitalsName,67,FL_DH_Armored_Dragon_Named
FL_Chameleon,@FL_Chameleon_VitalsName,64,FL_Chameleon
FL_Chameleon_09FL04b,@FL_Chameleon_09FL04b_VitalsName,64,FL_Chameleon_09FL04b
FL_Chameleon_09FL09,@FL_Chameleon_09FL09_VitalsName,67,FL_Chameleon_09FL09
FL_Chameleon_Elite_09FL01,@FL_Chameleon_Elite_09FL01_VitalsName,70,FL_Chameleon_Elite_09FL01
FL_Chameleon_Elite_Named_09FL01,@FL_Chameleon_Elite_Named_09FL01_VitalsName,70,FL_Chameleon_Elite_Named_09FL01
FL_Chameleon_09FL08,@FL_Chameleon_09FL08_VitalsName,68,FL_Chameleon_09FL08
FL_Chameleon_09FL11,@FL_Chameleon_09FL11_VitalsName,66,FL_Chameleon_09FL11
FL_Chameleon_09FL13,@FL_Chameleon_09FL13_VitalsName,67,FL_Chameleon_09FL13
FL_AI_Adiana_Bow,@FL_AI_Adiana_Bow_VitalsName,65,FL_AI_Adiana_Bow
FL_AI_Adiana_Shadow,@FL_AI_Adiana_Shadow_VitalsName,65,FL_AI_Adiana_Shadow
FL_AI_Adiana_Lotus,@FL_AI_Adiana_Lotus_VitalsName,65,FL_AI_Adiana_Lotus
FL_Mammoth,@FL_Mammoth_VitalsName,67,FL_Mammoth
FL_Mammoth_09FL01,@FL_Mammoth_09FL01_VitalsName,68,FL_Mammoth_09FL01
FL_Mammoth_Elite_09FL01,@FL_Mammoth_Elite_09FL01_VitalsName,70,FL_Mammoth_Elite_09FL01
FL_Mammoth_09FL09_Named,@FL_Mammoth_09FL09_Named_VitalsName,67,FL_Mammoth_09FL09_Named
FL_Medusa,@FL_Medusa_VitalsName,65,FL_Medusa
FL_Hercyne_Boar_minion,@FL_Hercyne_Boar_minion_VitalsName,65,FL_Hercyne_Boar_minion
FL_Hercyne_Corvid_minion,@FL_Hercyne_Corvid_minion_VitalsName,65,FL_Hercyne_Corvid_minion
FL_Hercyne_Reindeer_minion,@FL_Hercyne_Reindeer_minion_VitalsName,65,FL_Hercyne_Reindeer_minion
FL_Mammoth_Boss_DG_FirstLight_01,@FL_Mammoth_Boss_DG_FirstLight_01_VitalsName,65,FL_Mammoth_Boss_DG_FirstLight_01
FL_Gorilla,@FL_Gorilla_VitalsName,63,FL_Gorilla
FL_Gorilla_Ranged,@FL_Gorilla_Ranged_VitalsName,63,FL_Gorilla_Ranged
FL_Gorilla_Ranged_09FL05,@FL_Gorilla_Ranged_09FL05_VitalsName,63,FL_Gorilla_Ranged_09FL05
FL_Gorilla_Ranged_Elite_09FL01,@FL_Gorilla_Ranged_Elite_09FL01_VitalsName,70,FL_Gorilla_Ranged_Elite_09FL01
FL_Gorilla_Ranged_09FL07,@FL_Gorilla_Ranged_09FL07_VitalsName,67,FL_Gorilla_Ranged_09FL07
FL_Gorilla_Ranged_09FL09,@FL_Gorilla_Ranged_09FL09_VitalsName,67,FL_Gorilla_Ranged_09FL09
FL_Gorilla_Ranged_09FL11,@FL_Gorilla_Ranged_09FL11_VitalsName,66,FL_Gorilla_Ranged_09FL11
FL_Gorilla_Melee,@FL_Gorilla_Melee_VitalsName,63,FL_Gorilla_Melee
FL_Gorilla_Melee_09FL05,@FL_Gorilla_Melee_09FL05_VitalsName,63,FL_Gorilla_Melee_09FL05
FL_Gorilla_Melee_Elite_09FL01,@FL_Gorilla_Melee_Elite_09FL01_VitalsName,70,FL_Gorilla_Melee_Elite_09FL01
FL_Gorilla_Melee_Named_09Fl05,@FL_Gorilla_Melee_Named_09Fl05_VitalsName,63,FL_Gorilla_Melee_Named_09Fl05
FL_Gorilla_Melee_09FL07,@FL_Gorilla_Melee_09FL07_VitalsName,67,FL_Gorilla_Melee_09FL07
FL_Gorilla_Melee_09FL09,@FL_Gorilla_Melee_09FL09_VitalsName,67,FL_Gorilla_Melee_09FL09
FL_Gorilla_Melee_09FL11,@FL_Gorilla_Melee_09FL11_VitalsName,66,FL_Gorilla_Melee_09FL11
FL_Gorilla_Fire,@FL_Gorilla_Fire_VitalsName,63,FL_Gorilla_Fire
FL_Gorilla_Fire_09FL05,@FL_Gorilla_Fire_09FL05_VitalsName,63,FL_Gorilla_Fire_09FL05
FL_Gorilla_Fire_Named_09FL07,@FL_Gorilla_Fire_Named_09FL07_VitalsName,67,FL_Gorilla_Fire_Named_09FL07
FL_Gorilla_Fire_Elite_09FL01,@FL_Gorilla_Fire_Elite_09FL01_VitalsName,70,FL_Gorilla_Fire_Elite_09FL01
FL_Gorilla_Fire_Elite_Named_09FL01,@FL_Gorilla_Fire_Elite_Named_09FL01_VitalsName,70,FL_Gorilla_Fire_Elite_Named_09FL01
