VitalsID,DisplayName,Level,ScheduleVitalsIds,BaseVitalsId
Alligator,@Alligator_VitalsName,28,,Alligator
Alligator_Black_12,@Alligator_Black_12_VitalsName,12,,Alligator_Black_12
Alligator_Black_16,@Alligator_Black_16_VitalsName,16,,Alligator_Black_16
Alligator_Black_26,@Alligator_Black_26_VitalsName,26,,Alligator_Black_26
Alligator_Black_27,@Alligator_Black_27_VitalsName,27,,Alligator_Black_27
Alligator_Black_28,@Alligator_Black_28_VitalsName,28,,Alligator_Black_28
Alligator_Black_29,@Alligator_Black_29_VitalsName,29,,Alligator_Black_29
Alligator_Black_30,@Alligator_Black_30_VitalsName,30,,Alligator_Black_30
Alligator_Black_31,@Alligator_Black_31_VitalsName,31,,Alligator_Black_31
Alligator_Black_32,@Alligator_Black_32_VitalsName,32,,Alligator_Black_32
Alligator_Black_33,@Alligator_Black_33_VitalsName,33,,Alligator_Black_33
Alligator_Black_34,@Alligator_Black_34_VitalsName,34,,Alligator_Black_34
Alligator_Black_35,@Alligator_Black_35_VitalsName,35,,Alligator_Black_35
Alligator_Black_36,@Alligator_Black_36_VitalsName,36,,Alligator_Black_36
Alligator_Black_37,@Alligator_Black_37_VitalsName,37,,Alligator_Black_37
Alligator_Black_38,@Alligator_Black_38_VitalsName,38,,Alligator_Black_38
Alligator_Black_39,@Alligator_Black_39_VitalsName,39,,Alligator_Black_39
Alligator_Black_40,@Alligator_Black_40_VitalsName,40,,Alligator_Black_40
Alligator_Black_41,@Alligator_Black_41_VitalsName,41,,Alligator_Black_41
Alligator_Black_42,@Alligator_Black_42_VitalsName,42,,Alligator_Black_42
Alligator_Black_43,@Alligator_Black_43_VitalsName,43,,Alligator_Black_43
Alligator_Black_44,@Alligator_Black_44_VitalsName,44,,Alligator_Black_44
Alligator_Black_45,@Alligator_Black_45_VitalsName,45,,Alligator_Black_45
Alligator_Black_46,@Alligator_Black_46_VitalsName,46,,Alligator_Black_46
Alligator_Black_47,@Alligator_Black_47_VitalsName,47,,Alligator_Black_47
Alligator_Black_48,@Alligator_Black_48_VitalsName,48,,Alligator_Black_48
