Id,DisplayName,FishRarityRollModifier,FishSizeRollModifier,SummerFishRarityRollModifier,LootTableId,LootTag,RequiredLevel,TimeToNibbleSecondsRange,TimeToBiteSecondsRange
Hotspot_Broad_1,@hotspot_broad_1,0,0,0,FishingHotspotLoot,Broad,2,3-6,1-1.5
Hotspot_Broad_2,@hotspot_broad_2,0,0,0,FishingHotspotLoot,Broad,2,3-6,1-1.5
Hotspot_Broad_3,@hotspot_broad_3,0,0,0,FishingHotspotLoot,Broad,4,3-6,1-1.5
Hotspot_Broad_4,@hotspot_broad_4,0,0,0,FishingHotspotLoot,Broad,4,3-6,1-1.5
Hotspot_Broad_5,@hotspot_broad_5,0,0,0,FishingHotspotLoot,Broad,7,3-6,1-1.5
Hotspot_Broad_6,@hotspot_broad_6,0,0,0,FishingHotspotLoot,Broad,3,3-6,1-1.5
Hotspot_Broad_7,@hotspot_broad_7,0,0,0,FishingHotspotLoot,Broad,9,3-6,1-1.5
Hotspot_Broad_8,@hotspot_broad_8,0,0,0,FishingHotspotLoot,Broad,12,3-6,1-1.5
Hotspot_Broad_9,@hotspot_broad_9,0,0,0,FishingHotspotLoot,Broad,16,3-6,1-1.5
Hotspot_Broad_10,@hotspot_broad_10,0,0,0,FishingHotspotLoot,Broad,16,3-6,1-1.5
Hotspot_Broad_11,@hotspot_broad_11,0,0,0,FishingHotspotLoot,Broad,20,3-6,1-1.5
Hotspot_Broad_12,@hotspot_broad_12,0,0,0,FishingHotspotLoot,Broad,25,3-6,1-1.5
Hotspot_Broad_13,@hotspot_broad_13,0,0,0,FishingHotspotLoot,Broad,25,3-6,1-1.5
Hotspot_Broad_14,@hotspot_broad_14,0,0,0,FishingHotspotLoot,Broad,27,3-6,1-1.5
Hotspot_Broad_15,@hotspot_broad_15,0,0,0,FishingHotspotLoot,Broad,30,3-6,1-1.5
Hotspot_Broad_16,@hotspot_broad_16,0,0,0,FishingHotspotLoot,Broad,34,3-6,1-1.5
Hotspot_Broad_17,@hotspot_broad_17,0,0,0,FishingHotspotLoot,Broad,37,3-6,1-1.5
Hotspot_Broad_18,@hotspot_broad_18,0,0,0,FishingHotspotLoot,Broad,37,3-6,1-1.5
Hotspot_Broad_19,@hotspot_broad_19,0,0,0,FishingHotspotLoot,Broad,41,3-6,1-1.5
Hotspot_Broad_20,@hotspot_broad_20,0,0,0,FishingHotspotLoot,Broad,41,3-6,1-1.5
Hotspot_Broad_21,@hotspot_broad_21,0,0,0,FishingHotspotLoot,Broad,45,3-6,1-1.5
Hotspot_Broad_22,@hotspot_broad_22,0,0,0,FishingHotspotLoot,Broad,52,3-6,1-1.5
Hotspot_Broad_23,@hotspot_broad_23,0,0,0,FishingHotspotLoot,Broad,52,3-6,1-1.5
Hotspot_Broad_24,@hotspot_broad_24,0,0,0,FishingHotspotLoot,Broad,56,3-6,1-1.5
Hotspot_Broad_25,@hotspot_broad_25,0,0,0,FishingHotspotLoot,Broad,59,3-6,1-1.5
Hotspot_Broad_26,@hotspot_broad_26,0,0,0,FishingHotspotLoot,Broad,59,3-6,1-1.5
