TwitchDropId,RuleKeyEvent
Twitch_Drop_Dungeon01_Boss_Defeated,Dungeon01BossDefeated
Twitch_Drop_Dungeon01_MiniBoss_Defeated,Dungeon01MiniBossDefeated
Twitch_Drop_Dungeon01_ItemCollected,Dungeon01ItemCollected
Twitch_Drop_Dungeon01_TimeToComplete,Dungeon01TimeToComplete
Twitch_Drop_Dungeon02_Boss_Defeated,Dungeon02BossDefeated
Twitch_Drop_Dungeon02_MiniBoss_Defeated,Dungeon02MiniBossDefeated
Twitch_Drop_Dungeon02_ItemCollected,Dungeon02ItemCollected
Twitch_Drop_Dungeon02_TimeToComplete,Dungeon02TimeToComplete
Twitch_Drop_Dungeon03_Boss_Defeated,Dungeon03BossDefeated
Twitch_Drop_Dungeon03_MiniBoss_Defeated,Dungeon03MiniBossDefeated
Twitch_Drop_Dungeon03_ItemCollected,Dungeon03ItemCollected
Twitch_Drop_Dungeon03_TimeToComplete,Dungeon03TimeToComplete
Twitch_Drop_Dungeon04_Boss_Defeated,Dungeon04BossDefeated
Twitch_Drop_Dungeon04_MiniBoss_Defeated,Dungeon04MiniBossDefeated
Twitch_Drop_Dungeon04_ItemCollected,Dungeon04ItemCollected
Twitch_Drop_Dungeon04_TimeToComplete,Dungeon04TimeToComplete
Twitch_Drop_Dungeon05_Boss_Defeated,Dungeon05BossDefeated
Twitch_Drop_Dungeon05_MiniBoss_Defeated,Dungeon05MiniBossDefeated
Twitch_Drop_Dungeon05_ItemCollected,Dungeon05ItemCollected
Twitch_Drop_Dungeon05_TimeToComplete,Dungeon05TimeToComplete
Twitch_Drop_Dungeon06_Boss_Defeated,Dungeon06BossDefeated
Twitch_Drop_Dungeon06_MiniBoss_Defeated,Dungeon06MiniBossDefeated
Twitch_Drop_Dungeon06_ItemCollected,Dungeon06ItemCollected
Twitch_Drop_Dungeon06_TimeToComplete,Dungeon06TimeToComplete
Twitch_Drop_Dungeon07_Boss_Defeated,Dungeon07BossDefeated
Twitch_Drop_Dungeon07_MiniBoss_Defeated,Dungeon07MiniBossDefeated
Twitch_Drop_Dungeon07_ItemCollected,Dungeon07ItemCollected
Twitch_Drop_Dungeon07_TimeToComplete,Dungeon07TimeToComplete
Twitch_Drop_Dungeon08_Boss_Defeated,Dungeon08BossDefeated
Twitch_Drop_Dungeon08_MiniBoss_Defeated,Dungeon08MiniBossDefeated
Twitch_Drop_Dungeon08_ItemCollected,Dungeon08ItemCollected
Twitch_Drop_Dungeon08_TimeToComplete,Dungeon08TimeToComplete
Twitch_Drop_Dungeon09_Boss_Defeated,Dungeon09BossDefeated
Twitch_Drop_Dungeon09_MiniBoss_Defeated,Dungeon09MiniBossDefeated
Twitch_Drop_Dungeon09_ItemCollected,Dungeon09ItemCollected
Twitch_Drop_Dungeon09_TimeToComplete,Dungeon09TimeToComplete
Twitch_Drop_War_Complete,WarComplete
Twitch_Drop_War_Control_Point_Capture,WarControlPointCapture
Twitch_Drop_Invasion_Wave_Complete,InvasionWaveComplete
Twitch_Drop_OutpostRush_Boss_Defeated,OutpostRushBossDefeated
Twitch_Drop_OutpostRush_Ally_Unlocked,OutpostRuchAllyUnlocked
Twitch_Drop_OutpostRush_Points_Collected,OutpostRushPointsCollected
Twitch_Drop_Spotlight_Kill,SpotlightKill
Twitch_Drop_Spotlight_Death,SpotlightDeath
Twitch_Drop_SubArmy_Invasion_Kill,SubArmyInvasionKill
Twitch_Drop_SubArmy_Invasion_Death,SubArmyInvasionDeath
Twitch_Drop_SubArmy_OutpostRush_Kill,SubArmyInvasionKill
Twitch_Drop_SubArmy_OutpostRush_Assist,SubArmyInvasionAssist
Twitch_Drop_Fish_Caught,FishCaught
Twitch_Drop_Rare_Fish_Caught,RareFishCaught
Twitch_Drop_Item_Crafted,ItemCrafted
Twitch_Drop_High_Tier_Item_Crafted,HighTierItemCrafted
