Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,SpecializationPoint,SkillBonus,RecipeLevel,RollBonus,EntitlementId,XpReward
0,,0,75,0,0,,,,,0,0,,0
1,,0,85,75,0,true,,,,0,0,,0
2,,0,95,85,0,true,,,,0,0,,0
3,,0,105,95,0,true,,,,0,0,,0
4,,0,115,105,0,true,,,,0,0,,0
5,,0,125,115,0,true,,,,0,0,,0
6,,0,115,125,0,true,,,,0,0,,0
7,,0,120,115,0,true,,,,0,0,,0
8,,0,125,120,0,true,,,,0,0,,0
9,,0,130,125,0,true,,,,0,0,,0
10,,0,135,130,0,true,,,,0,0,,0
11,,0,140,135,0,true,,,,0,0,,0
12,,0,145,140,0,true,,,,0,0,,0
13,,0,150,145,0,true,,,,0,0,,0
14,,0,155,150,0,true,,,,0,0,,0
15,,0,160,155,0,true,,,,0,0,,0
16,,0,165,160,0,true,,,,0,0,,0
17,,0,170,165,0,true,,,,0,0,,0
18,,0,175,170,0,true,,,,0,0,,0
19,,0,180,175,0,true,,,,0,0,,0
20,,0,185,180,0,true,,,,0,0,,0
21,,0,190,185,0,true,,,,0,0,,0
22,,0,195,190,0,true,,,,0,0,,0
23,,0,200,195,0,true,,,,0,0,,0
24,,0,205,200,0,true,,,,0,0,,0
25,,0,210,205,0,true,,,,0,0,,0
26,,0,215,210,0,true,,,,0,0,,0
27,,0,220,215,0,true,,,,0,0,,0
28,,0,225,220,0,true,,,,0,0,,0
29,,0,230,225,0,true,,,,0,0,,0
30,,0,235,230,0,true,,,,0,0,,0
31,,0,240,235,0,true,,,,0,0,,0
32,,0,245,240,0,true,,,,0,0,,0
33,,0,250,245,0,true,,,,0,0,,0
34,,0,255,250,0,true,,,,0,0,,0
35,,0,260,255,0,true,,,,0,0,,0
36,,0,265,260,0,true,,,,0,0,,0
37,,0,270,265,0,true,,,,0,0,,0
38,,0,275,270,0,true,,,,0,0,,0
39,,0,280,275,0,true,,,,0,0,,0
40,,0,285,280,0,true,,,,0,0,,0
41,,0,290,285,0,true,,,,0,0,,0
42,,0,295,290,0,true,,,,0,0,,0
43,,0,300,295,0,true,,,,0,0,,0
44,,0,305,300,0,true,,,,0,0,,0
45,,0,310,305,0,true,,,,0,0,,0
46,,0,315,310,0,true,,,,0,0,,0
47,,0,320,315,0,true,,,,0,0,,0
48,,0,325,320,0,true,,,,0,0,,0
49,,0,330,325,0,true,,,,0,0,,0
50,,0,335,330,0,true,,,,0,0,,0
51,,0,340,335,0,true,,,,0,0,,0
52,,0,345,340,0,true,,,,0,0,,0
53,,0,350,345,0,true,,,,0,0,,0
54,,0,355,350,0,true,,,,0,0,,0
55,,0,360,355,0,true,,,,0,0,,0
56,,0,365,360,0,true,,,,0,0,,0
57,,0,370,365,0,true,,,,0,0,,0
