Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,RecipeLevel,RollBonus,GatheringMultiplier,GatheringEfficiency,IconTypeUnlock,IconTypeUnlockImagePath,ExpansionIdUnlock,IsMilestone,Tooltip,EntitlementId,XpReward
0,,0,100,0,0,,,0,0,0,0,,,,,"MineBoulders,Iron",,0
1,,0,105,100,0,true,,0,10,0,0.05,,,,false,,,13
2,,0,110,105,0,true,,0,20,0,0.1,,,,false,,,14
3,,0,115,110,0,true,,0,30,0,0.15,,,,false,,,15
4,,0,120,115,0,true,,0,40,0,0.2,,,,false,,,16
5,,0,125,120,0,true,,0,50,0,0.25,,,,false,,,18
6,,0,130,125,0,true,,0,60,0,0.3,,,,false,,,19
7,,0,136,130,0,true,,0,70,0,0.35,,,,false,,,20
8,,0,142,136,0,true,,0,80,0,0.4,,,,false,,,21
9,,0,148,142,0,true,,0,90,0,0.45,,,,false,,,23
10,,0,154,148,0,true,,0,100,0,0.5,,,,false,Proficient Miner,,24
11,,0,160,154,0,true,,0,110,0,0.55,,,,false,,,25
12,,0,167,160,0,true,,0,120,0,0.6,,,,false,,,26
13,,0,174,167,0,true,,0,130,0,0.65,,,,false,,,28
14,,0,181,174,0,true,,0,140,0,0.7,,,,false,,,29
15,,0,188,181,0,true,,0,150,0,0.75,,,,false,Mine Silver,,30
16,,0,196,188,0,true,,0,160,0,0.8,,,,false,,,33
17,,0,204,196,0,true,,0,170,0,0.85,,,,false,,,35
18,,0,212,204,0,true,,0,180,0,0.9,,,,false,,,38
19,,0,220,212,0,true,,0,190,0,0.95,,,,false,,,40
20,,0,229,220,0,true,,0,200,0,1,,,,false,Mine Seeping Stone,,43
21,,0,238,229,0,true,,0,210,0,1.003,,,,false,,,45
22,,0,247,238,0,true,,0,220,0,1.006,,,,false,,,48
23,,0,256,247,0,true,,0,230,0,1.009,,,,false,,,50
24,,0,264,256,0,true,,0,240,0,1.012,,,,false,,,53
25,@ui_iron,0,268,264,0,true,,0,250,0,1.015,Iron,lyshineui/images/tradeskills/tradeskill_Iron.png,,false,Detect Iron,,55
26,,0,271,268,0,true,,0,260,0,1.018,,,,false,,,56
27,,0,272,271,0,true,,0,270,0,1.021,,,,false,,,57
28,,0,277,272,0,true,,0,280,0,1.024,,,,false,,,58
29,,0,281,277,0,true,,0,290,0,1.027,,,,false,,,58
30,,0,284,281,0,true,,0,300,0,1.03,,,,false,,,60
31,,0,287,284,0,true,,0,310,0,1.033,,,,false,,,60
32,,0,288,287,0,true,,0,320,0,1.036,,,,false,,,61
33,,0,295,288,0,true,,0,330,0,1.039,,,,false,,,61
34,,0,308,295,0,true,,0,340,0,1.042,,,,false,,,62
35,@ui_silver,0,322,308,0,true,,0,350,0,1.045,Silver,lyshineui/images/tradeskills/tradeskill_Silver.png,,false,,,65
36,,0,336,322,0,true,,0,360,0,1.048,,,,false,,,68
37,,0,351,336,0,true,,0,370,0,1.051,,,,false,,,70
38,,0,367,351,0,true,,0,380,0,1.054,,,,false,,,73
39,,0,375,367,0,true,,0,390,0,1.057,,,,false,,,76
40,,0,383,375,0,true,,0,400,0,1.06,,,,false,,,77
41,,0,390,383,0,true,,0,410,0,1.063,,,,false,,,79
42,,0,397,390,0,true,,0,420,0,1.066,,,,false,,,81
43,,0,403,397,0,true,,0,430,0,1.069,,,,false,,,83
44,,0,409,403,0,true,,0,440,0,1.072,,,,false,,,85
45,@ui_oil,0,414,409,0,true,,0,450,0,1.075,Oil,lyshineui/images/tradeskills/tradeskill_Oil.png,,false,Detect Seeping Stones,,86
46,,0,418,414,0,true,,0,460,0,1.078,,,,false,,,87
47,,0,422,418,0,true,,0,470,0,1.081,,,,false,,,88
48,,0,425,422,0,true,,0,480,0,1.084,,,,false,,,89
49,,0,427,425,0,true,,0,490,0,1.087,,,,false,,,90
50,,0,442,427,0,true,,0,500,0,1.09,,,,false,Detect Silver,,90
51,,0,457,442,0,true,,0,510,0,1.093,,,,false,,,94
52,,0,472,457,0,true,,0,520,0,1.096,,,,false,,,98
53,,0,488,472,0,true,,0,530,0,1.099,,,,false,,,102
54,,0,505,488,0,true,,0,540,0,1.102,,,,false,,,106
55,,0,522,505,0,true,,0,550,0,1.105,,,,false,,,110
56,,0,540,522,0,true,,0,560,0,1.108,,,,false,,,114
57,,0,558,540,0,true,,0,570,0,1.111,,,,false,,,118
58,,0,577,558,0,true,,0,580,0,1.114,,,,false,,,123
59,,0,597,577,0,true,,0,590,0,1.117,,,,false,,,127
60,,0,599,597,0,true,,0,600,0,1.12,,,,false,,,132
