Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,SpecializationPoint,MountMovementId,EntitlementId,XpReward,MountDashVfxId,Tooltip,IconPath,IsHighlighted
0,,0,450,0,0,,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
1,,0,450,450,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
2,,0,450,450,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
3,,0,450,450,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
4,,0,450,450,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
5,,0,450,450,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
6,,0,450,450,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
7,,0,450,450,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
8,,0,450,450,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
9,,0,450,450,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
10,,0,450,450,0,true,Reward_Mounts_RidingTradeskill_10,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
11,,0,450,450,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
12,,0,450,450,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
13,,0,450,450,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
14,,0,450,450,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
15,,0,500,450,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
16,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
17,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
18,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
19,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
20,,0,500,500,0,true,Reward_Mounts_RidingTradeskill_20,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
21,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
22,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
23,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
24,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
25,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
26,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
27,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
28,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
29,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
30,,0,500,500,0,true,Reward_Mounts_RidingTradeskill_30,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
31,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
32,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
33,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
34,,0,500,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
35,,0,550,500,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
36,,0,550,550,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
37,,0,550,550,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
38,,0,550,550,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
39,,0,550,550,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
40,,0,550,550,0,true,Reward_Mounts_RidingTradeskill_40,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
41,,0,550,550,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
42,,0,550,550,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
43,,0,550,550,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
44,,0,550,550,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
45,,0,550,550,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
46,,0,550,550,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
47,,0,550,550,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
48,,0,550,550,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
49,,0,550,550,0,true,,,ConfigMountRiding_0,,0,cfx_mounts.traversal.speedlines.level_1,,,
50,@ui_mount_speedboost,0,1350,550,0,true,Reward_Mounts_RidingTradeskill_50,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,@ui_mount_speedboost_tooltip,LyShineUI/Images/Tradeskills/riding_speedboost.png,true
51,,0,1350,1350,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
52,,0,1350,1350,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
53,,0,1350,1350,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
54,,0,1350,1350,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
55,,0,1350,1350,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
56,,0,1350,1350,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
57,,0,1350,1350,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
58,,0,1350,1350,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
59,,0,1350,1350,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
60,,0,1350,1350,0,true,Reward_Mounts_RidingTradeskill_60,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
61,,0,1350,1350,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
62,,0,1350,1350,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
63,,0,1350,1350,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
64,,0,1350,1350,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
65,,0,1500,1350,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
66,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
67,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
68,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
69,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
70,,0,1500,1500,0,true,Reward_Mounts_RidingTradeskill_70,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
71,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
72,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
73,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
74,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
75,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
76,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
77,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
78,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
79,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
80,,0,1500,1500,0,true,Reward_Mounts_RidingTradeskill_80,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
81,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
82,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
83,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
84,,0,1500,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
85,,0,1650,1500,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
86,,0,1650,1650,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
87,,0,1650,1650,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
88,,0,1650,1650,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
89,,0,1650,1650,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
90,,0,1650,1650,0,true,Reward_Mounts_RidingTradeskill_90,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
91,,0,1650,1650,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
92,,0,1650,1650,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
93,,0,1650,1650,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
94,,0,1650,1650,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
95,,0,1650,1650,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
96,,0,1650,1650,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
97,,0,1650,1650,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
98,,0,1650,1650,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
99,,0,1650,1650,0,true,,,ConfigMountRiding_50,,0,cfx_mounts.traversal.speedlines.level_2,,,
100,@ui_mount_speedboost,0,4050,1650,0,true,Reward_Mounts_RidingTradeskill_100,,ConfigMountRiding_100,,0,cfx_mounts.traversal.speedlines.level_3,@ui_mount_speedboost_tooltip,LyShineUI/Images/Tradeskills/riding_speedboost.png,true
101,,0,4050,4050,0,true,,,ConfigMountRiding_100,,0,cfx_mounts.traversal.speedlines.level_3,,,
102,,0,4050,4050,0,true,,,ConfigMountRiding_100,,0,cfx_mounts.traversal.speedlines.level_3,,,
103,,0,4050,4050,0,true,,,ConfigMountRiding_100,,0,cfx_mounts.traversal.speedlines.level_3,,,
104,,0,4050,4050,0,true,,,ConfigMountRiding_100,,0,cfx_mounts.traversal.speedlines.level_3,,,
105,,0,4050,4050,0,true,,,ConfigMountRiding_100,,0,cfx_mounts.traversal.speedlines.level_3,,,
106,,0,4050,4050,0,true,,,ConfigMountRiding_100,,0,cfx_mounts.traversal.speedlines.level_3,,,
107,,0,4050,4050,0,true,,,ConfigMountRiding_100,,0,cfx_mounts.traversal.speedlines.level_3,,,
108,,0,4050,4050,0,true,,,ConfigMountRiding_100,,0,cfx_mounts.traversal.speedlines.level_3,,,
109,,0,4050,4050,0,true,,,ConfigMountRiding_100,,0,cfx_mounts.traversal.speedlines.level_3,,,
110,,0,4050,4050,0,true,Reward_Mounts_RidingTradeskill_110,,ConfigMountRiding_100,,0,cfx_mounts.traversal.speedlines.level_3,,,
111,,0,4050,4050,0,true,,,ConfigMountRiding_100,,0,cfx_mounts.traversal.speedlines.level_3,,,
112,,0,4050,4050,0,true,,,ConfigMountRiding_100,,0,cfx_mounts.traversal.speedlines.level_3,,,
113,,0,4050,4050,0,true,,,ConfigMountRiding_100,,0,cfx_mounts.traversal.speedlines.level_3,,,
114,,0,4050,4050,0,true,,,ConfigMountRiding_100,,0,cfx_mounts.traversal.speedlines.level_3,,,
