Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,SpecializationPoint,SkillBonus,RecipeLevel,RollBonus,MinGearScoreBonus,MaxGearScoreBonus,MinGearScoreBonusT2,MaxGearScoreBonusT2,MinGearScoreBonusT3,MaxGearScoreBonusT3,MinGearScoreBonusT4,MaxGearScoreBonusT4,MinGearScoreBonusT5,MaxGearScoreBonusT5,ResourceTierUnlocks,EntitlementId,XpReward
0,,0,120,0,0,,,,,0,0,0,0,0,5,0,0,0,0,0,0,5,,0
1,,0,126,120,0,true,,,,1,0,0,0,0,5,0,0,0,0,0,0,5,,15
2,,0,132,126,0,true,,,,2,0,0,0,0,5,0,0,0,0,0,0,5,,17
3,,0,138,132,0,true,,,,3,0,0,0,0,5,0,0,0,0,0,0,5,,18
4,,0,144,138,0,true,,,,4,0,0,0,0,5,0,0,0,0,0,0,5,,20
5,,0,150,144,0,true,,,,5,0,0,0,0,10,0,0,0,0,0,0,5,,21
6,,0,156,150,0,true,,,,6,0,0,0,0,10,0,0,0,0,0,0,5,,23
7,,0,162,156,0,true,,,,7,0,0,0,0,10,0,0,0,0,0,0,5,,24
8,,0,168,162,0,true,,,,8,0,0,0,0,10,0,0,0,0,0,0,5,,26
9,,0,174,168,0,true,,,,9,0,0,0,0,10,0,0,0,0,0,0,5,,27
10,,0,180,174,0,true,,,,10,0,0,0,0,15,0,0,0,0,0,0,5,,29
11,,0,186,180,0,true,,,,11,0,0,0,0,15,0,0,0,0,0,0,5,,30
12,,0,192,186,0,true,,,,12,0,0,0,0,15,0,0,0,0,0,0,5,,32
13,,0,198,192,0,true,,,,13,0,0,0,0,15,0,0,0,0,0,0,5,,33
14,,0,204,198,0,true,,,,14,0,0,0,0,15,0,0,0,0,0,0,5,,35
15,,0,210,204,0,true,,,,15,0,0,0,0,20,0,0,0,0,0,0,5,,36
16,,0,216,210,0,true,,,,16,0,0,0,0,20,0,0,0,0,0,0,5,,39
