Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,SpecializationPoint,SkillBonus,RecipeLevel,RollBonus,MinGearScoreBonus,MaxGearScoreBonus,MinGearScoreBonusT2,MaxGearScoreBonusT2,MinGearScoreBonusT3,MaxGearScoreBonusT3,MinGearScoreBonusT4,MaxGearScoreBonusT4,MinGearScoreBonusT5,MaxGearScoreBonusT5,ResourceTierUnlocks,EntitlementId,XpReward
0,,0,108,0,0,,,,,0,0,0,0,0,5,0,0,0,0,0,0,5,,0
1,,0,113,108,0,true,,,,1,10,0,0,0,5,0,0,0,0,0,0,5,,6.7
2,,0,118,113,0,true,,,,2,20,0,0,0,5,0,0,0,0,0,0,5,,7.37
3,,0,124,118,0,true,,,,3,30,0,0,0,5,0,0,0,0,0,0,5,,8.04
4,,0,129,124,0,true,,,,4,40,0,0,0,5,0,0,0,0,0,0,5,,8.71
5,,0,135,129,0,true,,,,5,50,0,0,0,10,0,0,0,0,0,0,5,,9.38
6,,0,140,135,0,true,,,,6,60,0,0,0,10,0,0,0,0,0,0,5,,10.05
7,,0,145,140,0,true,,,,7,70,0,0,0,10,0,0,0,0,0,0,5,,10.72
8,,0,151,145,0,true,,,,8,80,0,0,0,10,0,0,0,0,0,0,5,,11.39
9,,0,156,151,0,true,,,,9,90,0,0,0,10,0,0,0,0,0,0,5,,12.06
10,,0,162,156,0,true,,,,10,100,0,0,0,15,0,0,0,0,0,0,5,,12.73
11,,0,167,162,0,true,,,,11,110,0,0,0,15,0,0,0,0,0,0,5,,13.4
12,,0,172,167,0,true,,,,12,120,0,0,0,15,0,0,0,0,0,0,5,,14.07
13,,0,178,172,0,true,,,,13,130,0,0,0,15,0,0,0,0,0,0,5,,14.74
14,,0,183,178,0,true,,,,14,140,0,0,0,15,0,0,0,0,0,0,5,,15.41
15,,0,189,183,0,true,,,,15,150,0,0,0,20,0,0,0,0,0,0,5,,16.08
16,,0,194,189,0,true,,,,16,160,0,0,0,20,0,0,0,0,0,0,5,,17.42
17,,0,199,194,0,true,,,,17,170,0,0,0,20,0,0,0,0,0,0,5,,18.76
18,,0,205,199,0,true,,,,18,180,0,0,0,20,0,0,0,0,0,0,5,,20.1
19,,0,210,205,0,true,,,,19,190,0,0,0,20,0,0,0,0,0,0,5,,21.44
20,,0,216,210,0,true,,,,20,200,0,0,0,25,0,0,0,0,0,0,5,,22.78
21,,0,221,216,0,true,,,,21,210,0,0,0,25,0,0,0,0,0,0,5,,24.12
22,,0,226,221,0,true,,,,22,220,0,0,0,25,0,0,0,0,0,0,5,,25.46
23,,0,232,226,0,true,,,,23,230,0,0,0,25,0,0,0,0,0,0,5,,26.8
24,,0,237,232,0,true,,,,24,240,0,0,0,25,0,0,0,0,0,0,5,,28.14
25,,0,243,237,0,true,,,,25,250,0,0,0,30,0,0,0,0,0,0,5,,29.48
26,,0,248,243,0,true,,,,26,260,0,0,0,30,0,0,0,0,0,0,5,,30.82
27,,0,253,248,0,true,,,,27,270,0,0,0,30,0,0,0,0,0,0,5,,32.16
28,,0,259,253,0,true,,,,28,280,0,0,0,30,0,0,0,0,0,0,5,,33.5
29,,0,264,259,0,true,,,,29,290,0,0,0,30,0,0,0,0,0,0,5,,34.84
30,,0,270,264,0,true,,,,30,300,0,0,0,35,0,0,0,0,0,0,5,,36.18
31,,0,275,270,0,true,,,,31,310,0,0,0,35,0,0,0,0,0,0,5,,37.52
32,,0,280,275,0,true,,,,32,320,0,0,0,35,0,0,0,0,0,0,5,,38.86
33,,0,286,280,0,true,,,,33,330,0,0,0,35,0,0,0,0,0,0,5,,40.2
34,,0,291,286,0,true,,,,34,340,0,0,0,35,0,0,0,0,0,0,5,,41.54
35,,0,297,291,0,true,,,,35,350,0,0,0,40,0,0,0,0,0,0,5,,42.88
36,,0,302,297,0,true,,,,36,360,0,0,0,40,0,0,0,0,0,0,5,,44.22
37,,0,307,302,0,true,,,,37,370,0,0,0,40,0,0,0,0,0,0,5,,45.56
38,,0,313,307,0,true,,,,38,380,0,0,0,40,0,0,0,0,0,0,5,,46.9
39,,0,318,313,0,true,,,,39,390,0,0,0,40,0,0,0,0,0,0,5,,48.24
40,,0,324,318,0,true,,,,40,400,0,0,5,45,0,0,0,0,0,0,5,,49.58
41,,0,329,324,0,true,,,,41,410,0,0,5,45,0,0,0,0,0,0,5,,51.59
42,,0,334,329,0,true,,,,42,420,0,0,5,45,0,0,0,0,0,0,5,,53.6
43,,0,340,334,0,true,,,,43,430,0,0,5,45,0,0,0,0,0,0,5,,55.61
44,,0,345,340,0,true,,,,44,440,0,0,5,45,0,0,0,0,0,0,5,,57.62
45,,0,351,345,0,true,,,,45,450,0,0,5,50,0,0,0,0,0,0,5,,59.63
46,,0,356,351,0,true,,,,46,460,0,0,5,50,0,0,0,0,0,0,5,,61.64
47,,0,361,356,0,true,,,,47,470,0,0,5,50,0,0,0,0,0,0,5,,63.65
48,,0,367,361,0,true,,,,48,480,0,0,5,50,0,0,0,0,0,0,5,,65.66
49,,0,372,367,0,true,,,,49,490,0,0,5,50,0,0,0,0,0,0,5,,67.67
50,,0,756,372,0,true,,,,50,500,0,0,10,55,0,5,0,0,0,0,5,,69.68
51,,0,831,756,0,true,,,,51,510,0,0,10,55,0,5,0,0,0,0,5,,72.36
52,,0,907,831,0,true,,,,52,520,0,0,10,55,0,5,0,0,0,0,5,,75.04
53,,0,982,907,0,true,,,,53,530,0,0,10,55,0,5,0,0,0,0,5,,77.72
54,,0,1058,982,0,true,,,,54,540,0,0,10,55,0,5,0,0,0,0,5,,80.4
55,,0,1134,1058,0,true,,,,55,550,0,0,10,60,0,10,0,0,0,0,5,,83.08
56,,0,1209,1134,0,true,,,,56,560,0,0,10,60,0,10,0,0,0,0,5,,85.76
57,,0,1285,1209,0,true,,,,57,570,0,0,10,60,0,10,0,0,0,0,5,,88.44
58,,0,1360,1285,0,true,,,,58,580,0,0,10,60,0,10,0,0,0,0,5,,91.12
59,,0,1436,1360,0,true,,,,59,590,0,0,15,60,0,10,0,0,0,0,5,,93.8
60,,0,1512,1436,0,true,,,,60,600,0,0,15,65,0,15,0,0,0,0,5,,96.48
61,,0,1587,1512,0,true,,,,61,610,0,0,15,65,0,15,0,0,0,0,5,,99.16
62,,0,1663,1587,0,true,,,,62,620,0,0,15,65,0,15,0,0,0,0,5,,101.84
63,,0,1738,1663,0,true,,,,63,630,0,0,15,65,0,15,0,0,0,0,5,,104.52
64,,0,1814,1738,0,true,,,,64,640,0,0,15,65,0,15,0,0,0,0,5,,107.2
65,,0,1890,1814,0,true,,,,65,650,0,0,15,70,0,20,0,0,0,0,5,,109.88
66,,0,1965,1890,0,true,,,,66,660,0,0,15,70,0,20,0,0,0,0,5,,112.56
67,,0,2041,1965,0,true,,,,67,670,0,0,15,70,0,20,0,0,0,0,5,,115.24
68,,0,2116,2041,0,true,,,,68,680,0,0,15,70,0,20,0,0,0,0,5,,117.92
69,,0,2192,2116,0,true,,,,69,690,0,0,15,70,0,20,0,0,0,0,5,,120.6
70,,0,2268,2192,0,true,,,,70,700,0,0,20,75,0,25,0,0,0,0,5,,123.28
71,,0,2343,2268,0,true,,,,71,710,0,0,20,75,0,25,0,0,0,0,5,,125.96
72,,0,2419,2343,0,true,,,,72,720,0,0,20,75,0,25,0,0,0,0,5,,128.64
73,,0,2494,2419,0,true,,,,73,730,0,0,20,75,0,25,0,0,0,0,5,,131.32
74,,0,2570,2494,0,true,,,,74,740,0,0,20,75,0,25,0,0,0,0,5,,134
75,,0,2646,2570,0,true,,,,75,750,0,0,20,75,0,30,0,0,0,0,5,,136.68
76,,0,2721,2646,0,true,,,,76,760,0,0,20,75,0,30,0,0,0,0,5,,140.03
77,,0,2797,2721,0,true,,,,77,770,0,0,20,75,0,30,0,0,0,0,5,,143.38
78,,0,2872,2797,0,true,,,,78,780,0,0,20,75,0,30,0,0,0,0,5,,146.73
79,,0,2948,2872,0,true,,,,79,790,0,0,20,75,0,30,0,0,0,0,5,,150.08
80,,0,3024,2948,0,true,,,,80,800,0,0,20,75,0,35,0,0,0,0,5,,153.43
81,,0,3099,3024,0,true,,,,81,810,0,0,20,75,0,35,0,0,0,0,5,,156.78
82,,0,3175,3099,0,true,,,,82,820,0,0,20,75,0,35,0,0,0,0,5,,160.13
83,,0,3250,3175,0,true,,,,83,830,0,0,20,75,0,35,0,0,0,0,5,,163.48
84,,0,3326,3250,0,true,,,,84,840,0,0,20,75,0,35,0,0,0,0,5,,166.83
85,,0,3402,3326,0,true,,,,85,850,0,0,20,75,0,40,0,0,0,0,5,,170.18
86,,0,3477,3402,0,true,,,,86,860,0,0,20,75,0,40,0,0,0,0,5,,173.53
87,,0,3553,3477,0,true,,,,87,870,0,0,20,75,0,40,0,0,0,0,5,,176.88
88,,0,3628,3553,0,true,,,,88,880,0,0,20,75,0,40,0,0,0,0,5,,180.23
89,,0,3704,3628,0,true,,,,89,890,0,0,20,75,0,40,0,0,0,0,5,,183.58
90,,0,3780,3704,0,true,,,,90,900,0,0,20,75,5,45,0,0,0,0,5,,186.93
91,,0,3855,3780,0,true,,,,91,910,0,0,20,75,5,45,0,0,0,0,5,,190.28
92,,0,3931,3855,0,true,,,,92,920,0,0,20,75,5,45,0,0,0,0,5,,193.63
93,,0,4006,3931,0,true,,,,93,930,0,0,20,75,5,45,0,0,0,0,5,,196.98
94,,0,4082,4006,0,true,,,,94,940,0,0,20,75,5,45,0,0,0,0,5,,200.33
95,,0,4158,4082,0,true,,,,95,950,0,0,20,75,5,50,0,0,0,0,5,,203.68
96,,0,4233,4158,0,true,,,,96,960,0,0,20,75,5,50,0,0,0,0,5,,207.03
97,,0,4309,4233,0,true,,,,97,970,0,0,20,75,5,50,0,0,0,0,5,,210.38
98,,0,4384,4309,0,true,,,,98,980,0,0,20,75,5,50,0,0,0,0,5,,213.73
99,,0,4460,4384,0,true,,,,99,990,0,0,20,75,5,50,0,0,0,0,5,,217.08
100,,0,7541,4460,0,true,,,,100,1000,0,0,20,75,10,55,0,5,0,0,5,,220.43
101,,0,7938,7541,0,true,,,,101,1010,0,0,20,75,10,55,0,5,0,0,5,,224.45
102,,0,8334,7938,0,true,,,,102,1020,0,0,20,75,10,55,0,5,0,0,5,,228.47
103,,0,8731,8334,0,true,,,,103,1030,0,0,20,75,10,55,0,5,0,0,5,,232.49
104,,0,9128,8731,0,true,,,,104,1040,0,0,20,75,10,55,0,5,0,0,5,,236.51
105,,0,9525,9128,0,true,,,,105,1050,0,0,20,75,10,60,0,10,0,0,5,,240.53
106,,0,9922,9525,0,true,,,,106,1060,0,0,20,75,10,60,0,10,0,0,5,,244.55
107,,0,10319,9922,0,true,,,,107,1070,0,0,20,75,10,60,0,10,0,0,5,,248.57
108,,0,10716,10319,0,true,,,,108,1080,0,0,20,75,10,60,0,10,0,0,5,,252.59
109,,0,11113,10716,0,true,,,,109,1090,0,0,20,75,15,60,0,10,0,0,5,,256.61
110,,0,11510,11113,0,true,,,,110,1100,0,0,20,75,15,65,0,15,0,0,5,,260.63
111,,0,11907,11510,0,true,,,,111,1110,0,0,20,75,15,65,0,15,0,0,5,,264.65
112,,0,12303,11907,0,true,,,,112,1120,0,0,20,75,15,65,0,15,0,0,5,,268.67
113,,0,12700,12303,0,true,,,,113,1130,0,0,20,75,15,65,0,15,0,0,5,,272.69
114,,0,13097,12700,0,true,,,,114,1140,0,0,20,75,15,65,0,15,0,0,5,,276.71
115,,0,13494,13097,0,true,,,,115,1150,0,0,20,75,15,70,0,20,0,0,5,,280.73
116,,0,13891,13494,0,true,,,,116,1160,0,0,20,75,15,70,0,20,0,0,5,,284.75
117,,0,14288,13891,0,true,,,,117,1170,0,0,20,75,15,70,0,20,0,0,5,,288.77
118,,0,14685,14288,0,true,,,,118,1180,0,0,20,75,15,70,0,20,0,0,5,,292.79
119,,0,15082,14685,0,true,,,,119,1190,0,0,20,75,15,70,0,20,0,0,5,,296.81
120,,0,15479,15082,0,true,,,,120,1200,0,0,20,75,20,75,0,25,0,0,5,,300.83
121,,0,15876,15479,0,true,,,,121,1210,0,0,20,75,20,75,0,25,0,0,5,,304.85
122,,0,16272,15876,0,true,,,,122,1220,0,0,20,75,20,75,0,25,0,0,5,,308.87
123,,0,16669,16272,0,true,,,,123,1230,0,0,20,75,20,75,0,25,0,0,5,,312.89
124,,0,17066,16669,0,true,,,,124,1240,0,0,20,75,20,75,0,25,0,0,5,,316.91
125,,0,17463,17066,0,true,,,,125,1250,0,0,20,75,20,75,0,30,0,0,5,,320.93
126,,0,17860,17463,0,true,,,,126,1260,0,0,20,75,20,75,0,30,0,0,5,,325.62
127,,0,18257,17860,0,true,,,,127,1270,0,0,20,75,20,75,0,30,0,0,5,,330.31
128,,0,18654,18257,0,true,,,,128,1280,0,0,20,75,20,75,0,30,0,0,5,,335
129,,0,19051,18654,0,true,,,,129,1290,0,0,20,75,20,75,0,30,0,0,5,,339.69
130,,0,19448,19051,0,true,,,,130,1300,0,0,20,75,20,75,0,35,0,0,5,,344.38
131,,0,19845,19448,0,true,,,,131,1310,0,0,20,75,20,75,0,35,0,0,5,,349.07
132,,0,20241,19845,0,true,,,,132,1320,0,0,20,75,20,75,0,35,0,0,5,,353.76
133,,0,20638,20241,0,true,,,,133,1330,0,0,20,75,20,75,0,35,0,0,5,,358.45
134,,0,21035,20638,0,true,,,,134,1340,0,0,20,75,20,75,0,35,0,0,5,,363.14
135,,0,21432,21035,0,true,,,,135,1350,0,0,20,75,20,75,0,40,0,0,5,,367.83
136,,0,21829,21432,0,true,,,,136,1360,0,0,20,75,20,75,0,40,0,0,5,,372.52
137,,0,22226,21829,0,true,,,,137,1370,0,0,20,75,20,75,0,40,0,0,5,,377.21
138,,0,22623,22226,0,true,,,,138,1380,0,0,20,75,20,75,0,40,0,0,5,,381.9
139,,0,23020,22623,0,true,,,,139,1390,0,0,20,75,20,75,0,40,0,0,5,,386.59
140,,0,23417,23020,0,true,,,,140,1400,0,0,20,75,20,75,5,45,0,0,5,,391.28
141,,0,23814,23417,0,true,,,,141,1410,0,0,20,75,20,75,5,45,0,0,5,,395.97
142,,0,24210,23814,0,true,,,,142,1420,0,0,20,75,20,75,5,45,0,0,5,,400.66
143,,0,24607,24210,0,true,,,,143,1430,0,0,20,75,20,75,5,45,0,0,5,,405.35
144,,0,25004,24607,0,true,,,,144,1440,0,0,20,75,20,75,5,45,0,0,5,,410.04
145,,0,25401,25004,0,true,,,,145,1450,0,0,20,75,20,75,5,50,0,0,5,,414.73
146,,0,25798,25401,0,true,,,,146,1460,0,0,20,75,20,75,5,50,0,0,5,,419.42
