Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,SpecializationPoint,SkillBonus,RecipeLevel,RollBonus,MinGearScoreBonus,MaxGearScoreBonus,ResourceTierUnlocks,EntitlementId,XpReward
0,,0,100,0,0,,,,,0,0,0,0,5,,0
1,,0,115,100,0,true,,,,1,0,0,0,5,,20
2,,0,130,115,0,true,,,,2,0,0,0,5,,22
3,,0,145,130,0,true,,,,3,0,0,0,5,,24
4,,0,160,145,0,true,,,,4,0,0,0,5,,26
5,,0,175,160,0,true,,,,5,0,0,0,5,,28
6,,0,190,175,0,true,,,,6,0,0,0,5,,30
7,,0,205,190,0,true,,,,7,0,0,0,5,,32
8,,0,220,205,0,true,,,,8,0,0,0,5,,34
9,,0,235,220,0,true,,,,9,0,0,0,5,,36
10,,0,250,235,0,true,,,,10,0,0,0,5,,38
11,,0,265,250,0,true,,,,11,0,0,0,5,,40
12,,0,280,265,0,true,,,,12,0,0,0,5,,42
13,,0,295,280,0,true,,,,13,0,0,0,5,,44
14,,0,310,295,0,true,,,,14,0,0,0,5,,46
15,,0,325,310,0,true,,,,15,0,0,0,5,,48
16,,0,340,325,0,true,,,,16,0,0,0,5,,52
17,,0,355,340,0,true,,,,17,0,0,0,5,,56
18,,0,370,355,0,true,,,,18,0,0,0,5,,60
19,,0,385,370,0,true,,,,19,0,0,0,5,,64
20,,0,400,385,0,true,,,,20,0,0,0,5,,68
21,,0,415,400,0,true,,,,21,0,0,0,5,,72
22,,0,430,415,0,true,,,,22,0,0,0,5,,76
23,,0,445,430,0,true,,,,23,0,0,0,5,,80
24,,0,460,445,0,true,,,,24,0,0,0,5,,84
25,,0,475,460,0,true,,,,25,0,0,0,5,,88
26,,0,490,475,0,true,,,,26,0,0,0,5,,92
27,,0,505,490,0,true,,,,27,0,0,0,5,,96
28,,0,520,505,0,true,,,,28,0,0,0,5,,100
29,,0,535,520,0,true,,,,29,0,0,0,5,,104
30,,0,550,535,0,true,,,,30,0,0,0,5,,108
31,,0,565,550,0,true,,,,31,0,0,0,5,,112
32,,0,580,565,0,true,,,,32,0,0,0,5,,116
33,,0,595,580,0,true,,,,33,0,0,0,5,,120
34,,0,610,595,0,true,,,,34,0,0,0,5,,124
35,,0,625,610,0,true,,,,35,0,0,0,5,,128
36,,0,640,625,0,true,,,,36,0,0,0,5,,132
37,,0,655,640,0,true,,,,37,0,0,0,5,,136
38,,0,670,655,0,true,,,,38,0,0,0,5,,140
39,,0,685,670,0,true,,,,39,0,0,0,5,,144
40,,0,700,685,0,true,,,,40,0,0,0,5,,148
41,,0,715,700,0,true,,,,41,0,0,0,5,,154
42,,0,730,715,0,true,,,,42,0,0,0,5,,160
43,,0,745,730,0,true,,,,43,0,0,0,5,,166
44,,0,760,745,0,true,,,,44,0,0,0,5,,172
45,,0,775,760,0,true,,,,45,0,0,0,5,,178
46,,0,790,775,0,true,,,,46,0,0,0,5,,184
47,,0,805,790,0,true,,,,47,0,0,0,5,,190
48,,0,820,805,0,true,,,,48,0,0,0,5,,196
49,,0,835,820,0,true,,,,49,0,0,0,5,,202
50,,0,1200,835,0,true,,,,50,0,0,0,5,,208
51,,0,1280,1200,0,true,,,,51,0,0,0,5,,216
52,,0,1360,1280,0,true,,,,52,0,0,0,5,,224
53,,0,1440,1360,0,true,,,,53,0,0,0,5,,232
54,,0,1520,1440,0,true,,,,54,0,0,0,5,,240
55,,0,1600,1520,0,true,,,,55,0,0,0,5,,248
56,,0,1680,1600,0,true,,,,56,0,0,0,5,,256
57,,0,1760,1680,0,true,,,,57,0,0,0,5,,264
58,,0,1840,1760,0,true,,,,58,0,0,0,5,,272
59,,0,1920,1840,0,true,,,,59,0,0,0,5,,280
60,,0,2000,1920,0,true,,,,60,0,0,5,5,,288
61,,0,2080,2000,0,true,,,,61,0,0,5,5,,296
62,,0,2160,2080,0,true,,,,62,0,0,5,5,,304
63,,0,2240,2160,0,true,,,,63,0,0,5,5,,312
64,,0,2320,2240,0,true,,,,64,0,0,5,5,,320
65,,0,2400,2320,0,true,,,,65,0,0,5,5,,328
66,,0,2480,2400,0,true,,,,66,0,0,5,5,,336
67,,0,2560,2480,0,true,,,,67,0,0,5,5,,344
68,,0,2640,2560,0,true,,,,68,0,0,5,5,,352
69,,0,2720,2640,0,true,,,,69,0,0,5,5,,360
70,,0,2800,2720,0,true,,,,70,0,0,5,5,,368
71,,0,2880,2800,0,true,,,,71,0,0,5,5,,376
72,,0,2960,2880,0,true,,,,72,0,0,5,5,,384
73,,0,3040,2960,0,true,,,,73,0,0,5,5,,392
74,,0,3120,3040,0,true,,,,74,0,0,5,5,,400
75,,0,3200,3120,0,true,,,,75,0,0,5,5,,408
76,,0,3280,3200,0,true,,,,76,0,0,5,5,,418
77,,0,3360,3280,0,true,,,,77,0,0,5,5,,428
78,,0,3440,3360,0,true,,,,78,0,0,5,5,,438
79,,0,3520,3440,0,true,,,,79,0,0,5,5,,448
80,,0,3600,3520,0,true,,,,80,0,0,5,5,,458
81,,0,3680,3600,0,true,,,,81,0,0,5,5,,468
82,,0,3760,3680,0,true,,,,82,0,0,5,5,,478
83,,0,3840,3760,0,true,,,,83,0,0,5,5,,488
84,,0,3920,3840,0,true,,,,84,0,0,5,5,,498
85,,0,4000,3920,0,true,,,,85,0,0,5,5,,508
86,,0,4080,4000,0,true,,,,86,0,0,5,5,,518
87,,0,4160,4080,0,true,,,,87,0,0,5,5,,528
88,,0,4240,4160,0,true,,,,88,0,0,5,5,,538
89,,0,4320,4240,0,true,,,,89,0,0,5,5,,548
90,,0,4400,4320,0,true,,,,90,0,0,5,5,,558
91,,0,4480,4400,0,true,,,,91,0,0,5,5,,568
92,,0,4560,4480,0,true,,,,92,0,0,5,5,,578
93,,0,4640,4560,0,true,,,,93,0,0,5,5,,588
94,,0,4720,4640,0,true,,,,94,0,0,5,5,,598
95,,0,4800,4720,0,true,,,,95,0,0,5,5,,608
96,,0,4880,4800,0,true,,,,96,0,0,5,5,,618
97,,0,4960,4880,0,true,,,,97,0,0,5,5,,628
98,,0,5040,4960,0,true,,,,98,0,0,5,5,,638
99,,0,5120,5040,0,true,,,,99,0,0,5,5,,648
100,,0,9600,5120,0,true,,,,100,0,0,5,5,,658
101,,0,10080,9600,0,true,,,,101,0,0,5,5,,670
102,,0,10560,10080,0,true,,,,102,0,0,5,5,,682
103,,0,11040,10560,0,true,,,,103,0,0,5,5,,694
104,,0,11520,11040,0,true,,,,104,0,0,5,5,,706
105,,0,12000,11520,0,true,,,,105,0,0,5,5,,718
106,,0,12480,12000,0,true,,,,106,0,0,5,5,,730
107,,0,12960,12480,0,true,,,,107,0,0,5,5,,742
108,,0,13440,12960,0,true,,,,108,0,0,5,5,,754
109,,0,13920,13440,0,true,,,,109,0,0,5,5,,766
110,,0,14400,13920,0,true,,,,110,0,0,5,5,,778
111,,0,14880,14400,0,true,,,,111,0,0,5,5,,790
112,,0,15360,14880,0,true,,,,112,0,0,5,5,,802
113,,0,15840,15360,0,true,,,,113,0,0,5,5,,814
114,,0,16320,15840,0,true,,,,114,0,0,5,5,,826
115,,0,16800,16320,0,true,,,,115,0,0,5,5,,838
116,,0,17280,16800,0,true,,,,116,0,0,5,5,,850
117,,0,17760,17280,0,true,,,,117,0,0,5,5,,862
118,,0,18240,17760,0,true,,,,118,0,0,5,5,,874
119,,0,18720,18240,0,true,,,,119,0,0,5,5,,886
120,,0,19200,18720,0,true,,,,120,0,0,5,5,,898
121,,0,19680,19200,0,true,,,,121,0,0,5,5,,910
122,,0,20160,19680,0,true,,,,122,0,0,5,5,,922
123,,0,20640,20160,0,true,,,,123,0,0,5,5,,934
124,,0,21120,20640,0,true,,,,124,0,0,5,5,,946
125,,0,21600,21120,0,true,,,,125,0,0,5,5,,958
126,,0,22080,21600,0,true,,,,126,0,0,5,5,,972
127,,0,22560,22080,0,true,,,,127,0,0,5,5,,986
128,,0,23040,22560,0,true,,,,128,0,0,5,5,,1000
129,,0,23520,23040,0,true,,,,129,0,0,5,5,,1014
130,,0,24000,23520,0,true,,,,130,0,0,5,5,,1028
131,,0,24480,24000,0,true,,,,131,0,0,5,5,,1042
132,,0,24960,24480,0,true,,,,132,0,0,5,5,,1056
133,,0,25440,24960,0,true,,,,133,0,0,5,5,,1070
134,,0,25920,25440,0,true,,,,134,0,0,5,5,,1084
135,,0,26400,25920,0,true,,,,135,0,0,5,5,,1098
136,,0,26880,26400,0,true,,,,136,0,0,5,5,,1112
137,,0,27360,26880,0,true,,,,137,0,0,5,5,,1126
138,,0,27840,27360,0,true,,,,138,0,0,5,5,,1140
139,,0,28320,27840,0,true,,,,139,0,0,5,5,,1154
140,,0,28800,28320,0,true,,,,140,0,0,10,5,,1168
141,,0,29280,28800,0,true,,,,141,0,0,10,5,,1182
142,,0,29760,29280,0,true,,,,142,0,0,10,5,,1196
143,,0,30240,29760,0,true,,,,143,0,0,10,5,,1210
144,,0,30720,30240,0,true,,,,144,0,0,10,5,,1224
145,,0,31200,30720,0,true,,,,145,0,0,10,5,,1238
146,,0,31680,31200,0,true,,,,146,0,0,10,5,,1252
147,,0,32160,31680,0,true,,,,147,0,0,10,5,,1266
148,,0,32640,32160,0,true,,,,148,0,0,10,5,,1280
149,,0,33120,32640,0,true,,,,149,0,0,10,5,,1294
150,,0,70400,33120,0,true,,,,150,0,0,15,5,,1308
151,,0,72960,70400,0,true,,,,151,0,0,15,5,,1322
152,,0,75520,72960,0,true,,,,152,0,0,15,5,,1336
153,,0,78080,75520,0,true,,,,153,0,0,15,5,,1350
154,,0,80640,78080,0,true,,,,154,0,0,15,5,,1364
155,,0,83200,80640,0,true,,,,155,0,0,15,5,,1378
156,,0,85760,83200,0,true,,,,156,0,0,15,5,,1392
157,,0,88320,85760,0,true,,,,157,0,0,15,5,,1406
158,,0,90880,88320,0,true,,,,158,0,0,15,5,,1420
159,,0,93440,90880,0,true,,,,159,0,0,15,5,,1434
160,,0,96000,93440,0,true,,,,160,0,0,20,5,,1448
161,,0,98560,96000,0,true,,,,161,0,0,20,5,,1464
162,,0,101120,98560,0,true,,,,162,0,0,20,5,,1480
163,,0,103680,101120,0,true,,,,163,0,0,20,5,,1496
164,,0,106240,103680,0,true,,,,164,0,0,20,5,,1512
165,,0,108800,106240,0,true,,,,165,0,0,20,5,,1528
166,,0,111360,108800,0,true,,,,166,0,0,20,5,,1544
167,,0,113920,111360,0,true,,,,167,0,0,20,5,,1560
168,,0,116480,113920,0,true,,,,168,0,0,20,5,,1576
169,,0,119040,116480,0,true,,,,169,0,0,20,5,,1592
170,,0,121600,119040,0,true,,,,170,0,0,25,5,,1608
171,,0,124160,121600,0,true,,,,171,0,0,25,5,,1624
172,,0,126720,124160,0,true,,,,172,0,0,25,5,,1640
173,,0,129280,126720,0,true,,,,173,0,0,25,5,,1656
174,,0,131840,129280,0,true,,,,174,0,0,25,5,,1672
175,,0,134400,131840,0,true,,,,175,0,0,25,5,,1688
176,,0,136960,134400,0,true,,,,176,0,0,25,5,,1706
177,,0,139520,136960,0,true,,,,177,0,0,25,5,,1724
178,,0,142080,139520,0,true,,,,178,0,0,25,5,,1742
179,,0,144640,142080,0,true,,,,179,0,0,25,5,,1760
180,,0,147200,144640,0,true,,,,180,0,0,30,5,,1778
181,,0,149760,147200,0,true,,,,181,0,0,30,5,,1796
182,,0,152320,149760,0,true,,,,182,0,0,30,5,,1814
183,,0,154880,152320,0,true,,,,183,0,0,30,5,,1832
184,,0,157440,154880,0,true,,,,184,0,0,30,5,,1850
185,,0,160000,157440,0,true,,,,185,0,0,30,5,,1868
186,,0,162560,160000,0,true,,,,186,0,0,30,5,,1886
187,,0,165120,162560,0,true,,,,187,0,0,30,5,,1904
188,,0,167680,165120,0,true,,,,188,0,0,30,5,,1922
189,,0,170240,167680,0,true,,,,189,0,0,30,5,,1940
190,,0,172800,170240,0,true,,,,190,0,0,35,5,,1958
191,,0,175360,172800,0,true,,,,191,0,0,35,5,,1978
192,,0,177920,175360,0,true,,,,192,0,0,35,5,,1998
193,,0,180480,177920,0,true,,,,193,0,0,35,5,,2018
194,,0,183040,180480,0,true,,,,194,0,0,35,5,,2038
195,,0,185600,183040,0,true,,,,195,0,0,35,5,,2058
196,,0,188160,185600,0,true,,,,196,0,0,35,5,,2078
197,,0,190720,188160,0,true,,,,197,0,0,35,5,,2098
198,,0,193280,190720,0,true,,,,198,0,0,35,5,,2118
199,,0,195840,193280,0,true,,,,199,0,0,35,5,,2138
200,,0,198400,195840,0,true,,,,200,0,0,40,5,,2158
201,,0,37575,198400,0,true,,,,201,0,0,40,5,,2310
202,,0,37800,37575,0,true,,,,202,0,0,40,5,,2320
203,,0,38025,37800,0,true,,,,203,0,0,40,5,,2330
204,,0,38250,38025,0,true,,,,204,0,0,40,5,,2340
205,,0,38475,38250,0,true,,,,205,0,0,40,5,,2350
206,,0,38700,38475,0,true,,,,206,0,0,40,5,,2360
207,,0,38925,38700,0,true,,,,207,0,0,40,5,,2370
208,,0,39150,38925,0,true,,,,208,0,0,40,5,,2380
209,,0,39375,39150,0,true,,,,209,0,0,40,5,,2390
210,,0,39600,39375,0,true,,,,210,0,0,45,5,,2400
211,,0,39825,39600,0,true,,,,211,0,0,45,5,,2410
212,,0,40050,39825,0,true,,,,212,0,0,45,5,,2420
213,,0,40275,40050,0,true,,,,213,0,0,45,5,,2430
214,,0,40500,40275,0,true,,,,214,0,0,45,5,,2440
215,,0,40725,40500,0,true,,,,215,0,0,45,5,,2450
216,,0,40950,40725,0,true,,,,216,0,0,45,5,,2460
217,,0,41175,40950,0,true,,,,217,0,0,45,5,,2470
218,,0,41400,41175,0,true,,,,218,0,0,45,5,,2480
219,,0,41625,41400,0,true,,,,219,0,0,45,5,,2490
220,,0,41850,41625,0,true,,,,220,0,0,50,5,,2500
221,,0,42075,41850,0,true,,,,221,0,0,50,5,,2510
222,,0,42300,42075,0,true,,,,222,0,0,50,5,,2520
223,,0,42525,42300,0,true,,,,223,0,0,50,5,,2530
224,,0,42750,42525,0,true,,,,224,0,0,50,5,,2540
225,,0,42975,42750,0,true,,,,225,0,0,50,5,,2550
226,,0,43200,42975,0,true,,,,226,0,0,50,5,,2560
227,,0,43425,43200,0,true,,,,227,0,0,50,5,,2570
228,,0,43650,43425,0,true,,,,228,0,0,50,5,,2580
229,,0,43875,43650,0,true,,,,229,0,0,50,5,,2590
230,,0,44100,43875,0,true,,,,230,0,0,55,5,,2600
231,,0,44325,44100,0,true,,,,231,0,0,55,5,,2610
232,,0,44550,44325,0,true,,,,232,0,0,55,5,,2620
233,,0,44775,44550,0,true,,,,233,0,0,55,5,,2630
234,,0,45000,44775,0,true,,,,234,0,0,55,5,,2640
235,,0,45225,45000,0,true,,,,235,0,0,55,5,,2650
236,,0,45450,45225,0,true,,,,236,0,0,55,5,,2660
