Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,RecipeLevel,RollBonus,GatheringMultiplier,GatheringEfficiency,IconTypeUnlock,ExpansionIdUnlock,IsMilestone,Tooltip,EntitlementId,XpReward
0,,0,60,0,0,,,0,0,0,0,,,,,,0
1,,0,64,60,0,true,,0,10,0,0.05,,,false,,,6
2,,0,68,64,0,true,,0,20,0,0.1,,,false,,,8
3,,0,71,68,0,true,,0,30,0,0.15,,,false,,,8
4,,0,74,71,0,true,,0,40,0,0.2,,,false,,,9
5,,0,79,74,0,true,,0,50,0,0.25,,,false,,,9
6,,0,83,79,0,true,,0,60,0,0.3,,,false,,,10
7,,0,87,83,0,true,,0,70,0,0.35,,,false,,,10
8,,0,92,87,0,true,,0,80,0,0.4,,,false,,,11
9,,0,97,92,0,true,,0,90,0,0.45,,,false,,,11
10,,0,102,97,0,true,,0,100,0,0.5,,,false,Proficient Logger,,13
11,,0,107,102,0,true,,0,110,0,0.55,,,false,,,13
12,,0,112,107,0,true,,0,120,0,0.6,,,false,,,14
13,,0,118,112,0,true,,0,130,0,0.65,,,false,,,14
14,,0,124,118,0,true,,0,140,0,0.7,,,false,,,15
15,,0,130,124,0,true,,0,150,0,0.75,,,false,,,15
16,,0,136,130,0,true,,0,160,0,0.8,,,false,,,16
17,,0,143,136,0,true,,0,170,0,0.85,,,false,,,18
18,,0,150,143,0,true,,0,180,0,0.9,,,false,,,19
19,,0,158,150,0,true,,0,190,0,0.95,,,false,,,20
20,,0,165,158,0,true,,0,200,0,1,,,false,,,21
21,,0,173,165,0,true,,0,210,0,1.003,,,false,,,23
22,,0,182,173,0,true,,0,220,0,1.006,,,false,,,24
23,,0,189,182,0,true,,0,230,0,1.009,,,false,,,25
24,,0,199,189,0,true,,0,240,0,1.012,,,false,,,26
25,,0,208,199,0,true,,0,250,0,1.015,,,false,,,28
26,,0,217,208,0,true,,0,260,0,1.018,,,false,,,29
27,,0,227,217,0,true,,0,270,0,1.021,,,false,,,30
28,,0,238,227,0,true,,0,280,0,1.024,,,false,,,31
29,,0,249,238,0,true,,0,290,0,1.027,,,false,,,33
30,,0,260,249,0,true,,0,300,0,1.03,,,false,,,34
31,,0,271,260,0,true,,0,310,0,1.033,,,false,,,35
32,,0,283,271,0,true,,0,320,0,1.036,,,false,,,36
33,,0,295,283,0,true,,0,330,0,1.039,,,false,,,38
34,,0,308,295,0,true,,0,340,0,1.042,,,false,,,39
35,,0,322,308,0,true,,0,350,0,1.045,,,false,,,40
36,,0,335,322,0,true,,0,360,0,1.048,,,false,,,41
37,,0,350,335,0,true,,0,370,0,1.051,,,false,,,43
38,,0,364,350,0,true,,0,380,0,1.054,,,false,,,44
39,,0,380,364,0,true,,0,390,0,1.057,,,false,,,45
40,,0,395,380,0,true,,0,400,0,1.06,,,false,,,46
41,,0,411,395,0,true,,0,410,0,1.063,,,false,,,49
42,,0,427,411,0,true,,0,420,0,1.066,,,false,,,50
43,,0,445,427,0,true,,0,430,0,1.069,,,false,,,53
44,,0,462,445,0,true,,0,440,0,1.072,,,false,,,54
45,,0,480,462,0,true,,0,450,0,1.075,,,false,,,56
46,,0,499,480,0,true,,0,460,0,1.078,,,false,,,58
47,,0,517,499,0,true,,0,470,0,1.081,,,false,,,60
48,,0,537,517,0,true,,0,480,0,1.084,,,false,,,61
49,,0,557,537,0,true,,0,490,0,1.087,,,false,,,64
50,,0,621,557,0,true,,0,500,0,1.09,,,false,,,65
51,,0,644,621,0,true,,0,510,0,1.093,,,false,,,68
52,,0,668,644,0,true,,0,520,0,1.096,,,false,,,70
53,,0,692,668,0,true,,0,530,0,1.099,,,false,,,73
54,,0,717,692,0,true,,0,540,0,1.102,,,false,,,75
55,,0,743,717,0,true,,0,550,0,1.105,,,false,,,78
56,,0,769,743,0,true,,0,560,0,1.108,,,false,,,80
57,,0,796,769,0,true,,0,570,0,1.111,,,false,,,83
58,,0,824,796,0,true,,0,580,0,1.114,,,false,,,85
59,,0,852,824,0,true,,0,590,0,1.117,,,false,,,88
60,,0,880,852,0,true,,0,600,0,1.12,,,false,,,90
61,,0,910,880,0,true,,0,610,0,1.123,,,false,,,93
62,,0,940,910,0,true,,0,620,0,1.126,,,false,,,95
63,,0,971,940,0,true,,0,630,0,1.129,,,false,,,98
64,,0,1002,971,0,true,,0,640,0,1.132,,,false,,,100
65,,0,1034,1002,0,true,,0,650,0,1.135,,,false,,,103
66,,0,1067,1034,0,true,,0,660,0,1.138,,,false,,,105
67,,0,1100,1067,0,true,,0,670,0,1.141,,,false,,,108
68,,0,1134,1100,0,true,,0,680,0,1.144,,,false,,,110
69,,0,1168,1134,0,true,,0,690,0,1.147,,,false,,,113
70,,0,1204,1168,0,true,,0,700,0,1.15,,,false,,,115
71,,0,1240,1204,0,true,,0,710,0,1.153,,,false,,,118
72,,0,1276,1240,0,true,,0,720,0,1.156,,,false,,,120
73,,0,1313,1276,0,true,,0,730,0,1.159,,,false,,,123
74,,0,1351,1313,0,true,,0,740,0,1.162,,,false,,,125
75,,0,1389,1351,0,true,,0,750,0,1.165,,,false,,,128
76,,0,1428,1389,0,true,,0,760,0,1.168,,,false,,,131
77,,0,1468,1428,0,true,,0,770,0,1.171,,,false,,,134
78,,0,1508,1468,0,true,,0,780,0,1.174,,,false,,,138
79,,0,1549,1508,0,true,,0,790,0,1.177,,,false,,,140
80,,0,1591,1549,0,true,,0,800,0,1.18,,,false,,,144
81,,0,1633,1591,0,true,,0,810,0,1.183,,,false,,,146
82,,0,1676,1633,0,true,,0,820,0,1.186,,,false,,,150
83,,0,1720,1676,0,true,,0,830,0,1.189,,,false,,,153
84,,0,1764,1720,0,true,,0,840,0,1.192,,,false,,,156
85,,0,1808,1764,0,true,,0,850,0,1.195,,,false,,,159
86,,0,1854,1808,0,true,,0,860,0,1.198,,,false,,,163
87,,0,1900,1854,0,true,,0,870,0,1.201,,,false,,,165
88,,0,1947,1900,0,true,,0,880,0,1.204,,,false,,,169
