Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,SpecializationPoint,SkillBonus,RecipeLevel,RollBonus,MinGearScoreBonus,MaxGearScoreBonus,IsMilestone,ResourceTierUnlocks,EntitlementId,XpReward
0,,0,108,0,0,,,,,0,0,0,0,,5,,0
1,,0,114,108,0,true,,,,1,10,0,0,false,5,,3
2,,0,120,114,0,true,,,,2,20,0,0,false,5,,4
3,,0,126,120,0,true,,,,3,30,0,0,false,5,,4
4,,0,132,126,0,true,,,,4,40,0,0,false,5,,4
5,,0,138,132,0,true,,,,5,50,0,0,true,5,,5
6,,0,144,138,0,true,,,,6,60,0,0,false,5,,5
7,,0,150,144,0,true,,,,7,70,0,0,false,5,,5
8,,0,155,150,0,true,,,,8,80,0,0,false,5,,6
9,,0,162,155,0,true,,,,9,90,0,0,false,5,,6
10,,0,168,162,0,true,,,,10,100,0,0,false,5,,6
11,,0,173,168,0,true,,,,11,110,0,0,true,5,,6
12,,0,180,173,0,true,,,,12,120,0,0,false,5,,7
13,,0,185,180,0,true,,,,13,130,0,0,false,5,,7
14,,0,191,185,0,true,,,,14,140,0,0,false,5,,7
15,,0,198,191,0,true,,,,15,150,0,0,false,5,,8
16,,0,203,198,0,true,,,,16,160,0,0,false,5,,8
17,,0,209,203,0,true,,,,17,170,0,0,false,5,,9
18,,0,215,209,0,true,,,,18,180,0,0,false,5,,9
19,,0,221,215,0,true,,,,19,190,0,0,false,5,,10
20,,0,227,221,0,true,,,,20,200,0,0,true,5,,11
21,,0,233,227,0,true,,,,21,210,0,0,false,5,,11
22,,0,239,233,0,true,,,,22,220,0,0,false,5,,12
23,,0,244,239,0,true,,,,23,230,0,0,false,5,,12
24,,0,251,244,0,true,,,,24,240,0,0,false,5,,13
25,,0,257,251,0,true,,,,25,250,0,0,false,5,,14
26,,0,262,257,0,true,,,,26,260,0,0,false,5,,14
27,,0,269,262,0,true,,,,27,270,0,0,false,5,,15
28,,0,274,269,0,true,,,,28,280,0,0,false,5,,15
29,,0,280,274,0,true,,,,29,290,0,0,false,5,,16
30,,0,287,280,0,true,,,,30,300,0,0,false,5,,17
31,,0,292,287,0,true,,,,31,310,0,0,false,5,,17
32,,0,298,292,0,true,,,,32,320,0,0,false,5,,18
33,,0,304,298,0,true,,,,33,330,0,0,false,5,,18
34,,0,310,304,0,true,,,,34,340,0,0,false,5,,19
35,,0,316,310,0,true,,,,35,350,0,0,false,5,,20
36,,0,322,316,0,true,,,,36,360,0,0,false,5,,20
37,,0,328,322,0,true,,,,37,370,0,0,false,5,,21
38,,0,333,328,0,true,,,,38,380,0,0,false,5,,21
39,,0,340,333,0,true,,,,39,390,0,0,false,5,,22
40,,0,346,340,0,true,,,,40,400,0,0,false,5,,23
41,,0,351,346,0,true,,,,41,410,0,0,false,5,,24
42,,0,358,351,0,true,,,,42,420,0,0,false,5,,24
43,,0,363,358,0,true,,,,43,430,0,0,false,5,,25
44,,0,369,363,0,true,,,,44,440,0,0,false,5,,26
45,,0,376,369,0,true,,,,45,450,0,0,false,5,,27
46,,0,381,376,0,true,,,,46,460,0,0,false,5,,28
47,,0,387,381,0,true,,,,47,470,0,0,false,5,,29
48,,0,393,387,0,true,,,,48,480,0,0,false,5,,30
49,,0,399,393,0,true,,,,49,490,0,0,false,5,,31
50,,0,2025,399,0,true,,,,50,500,0,0,false,5,,32
51,,0,2055,2025,0,true,,,,51,510,0,0,false,5,,33
52,,0,2085,2055,0,true,,,,52,520,0,0,false,5,,34
53,,0,2115,2085,0,true,,,,53,530,0,0,false,5,,35
54,,0,2144,2115,0,true,,,,54,540,0,0,false,5,,36
55,,0,2174,2144,0,true,,,,55,550,0,0,false,5,,38
56,,0,2204,2174,0,true,,,,56,560,0,0,false,5,,39
57,,0,2233,2204,0,true,,,,57,570,0,0,false,5,,40
58,,0,2263,2233,0,true,,,,58,580,0,0,false,5,,41
59,,0,2293,2263,0,true,,,,59,590,0,0,false,5,,42
60,,0,2322,2293,0,true,,,,60,600,0,0,false,5,,44
61,,0,2352,2322,0,true,,,,61,610,0,0,false,5,,45
62,,0,2382,2352,0,true,,,,62,620,0,0,false,5,,46
63,,0,2412,2382,0,true,,,,63,630,0,0,false,5,,47
64,,0,2441,2412,0,true,,,,64,640,0,0,false,5,,48
65,,0,2471,2441,0,true,,,,65,650,0,0,false,5,,50
66,,0,2501,2471,0,true,,,,66,660,0,0,false,5,,51
67,,0,2530,2501,0,true,,,,67,670,0,0,false,5,,52
68,,0,2560,2530,0,true,,,,68,680,0,0,false,5,,53
69,,0,2590,2560,0,true,,,,69,690,0,0,false,5,,54
70,,0,2619,2590,0,true,,,,70,700,0,0,false,5,,56
71,,0,2649,2619,0,true,,,,71,710,0,0,false,5,,57
72,,0,2679,2649,0,true,,,,72,720,0,0,false,5,,58
73,,0,2709,2679,0,true,,,,73,730,0,0,false,5,,59
74,,0,2738,2709,0,true,,,,74,740,0,0,false,5,,60
75,,0,2768,2738,0,true,,,,75,750,0,0,false,5,,62
76,,0,2798,2768,0,true,,,,76,760,0,0,false,5,,63
77,,0,2827,2798,0,true,,,,77,770,0,0,false,5,,65
78,,0,2857,2827,0,true,,,,78,780,0,0,false,5,,66
79,,0,2887,2857,0,true,,,,79,790,0,0,false,5,,68
80,,0,2916,2887,0,true,,,,80,800,0,0,false,5,,69
81,,0,2946,2916,0,true,,,,81,810,0,0,false,5,,71
82,,0,2976,2946,0,true,,,,82,820,0,0,false,5,,72
83,,0,3006,2976,0,true,,,,83,830,0,0,false,5,,74
84,,0,3035,3006,0,true,,,,84,840,0,0,false,5,,75
85,,0,3065,3035,0,true,,,,85,850,0,0,false,5,,77
86,,0,3095,3065,0,true,,,,86,860,0,0,false,5,,78
87,,0,3124,3095,0,true,,,,87,870,0,0,false,5,,80
88,,0,3154,3124,0,true,,,,88,880,0,0,false,5,,81
89,,0,3184,3154,0,true,,,,89,890,0,0,false,5,,83
90,,0,3213,3184,0,true,,,,90,900,0,0,false,5,,84
91,,0,3243,3213,0,true,,,,91,910,0,0,false,5,,86
92,,0,3273,3243,0,true,,,,92,920,0,0,false,5,,87
93,,0,3303,3273,0,true,,,,93,930,0,0,false,5,,89
94,,0,3332,3303,0,true,,,,94,940,0,0,false,5,,90
95,,0,3362,3332,0,true,,,,95,950,0,0,false,5,,92
96,,0,3392,3362,0,true,,,,96,960,0,0,false,5,,93
97,,0,3421,3392,0,true,,,,97,970,0,0,false,5,,95
98,,0,3451,3421,0,true,,,,98,980,0,0,false,5,,96
99,,0,3481,3451,0,true,,,,99,990,0,0,false,5,,98
100,,0,18225,3481,0,true,,,,100,1000,0,0,false,5,,99
101,,0,18353,18225,0,true,,,,101,1010,0,0,false,5,,101
102,,0,18482,18353,0,true,,,,102,1020,0,0,false,5,,103
103,,0,18610,18482,0,true,,,,103,1030,0,0,false,5,,105
104,,0,18738,18610,0,true,,,,104,1040,0,0,false,5,,106
105,,0,18866,18738,0,true,,,,105,1050,0,0,false,5,,108
106,,0,18995,18866,0,true,,,,106,1060,0,0,false,5,,110
107,,0,19123,18995,0,true,,,,107,1070,0,0,false,5,,112
108,,0,19251,19123,0,true,,,,108,1080,0,0,false,5,,114
109,,0,19379,19251,0,true,,,,109,1090,0,0,false,5,,115
110,,0,19508,19379,0,true,,,,110,1100,0,0,false,5,,117
111,,0,19636,19508,0,true,,,,111,1110,0,0,false,5,,119
112,,0,19764,19636,0,true,,,,112,1120,0,0,false,5,,121
113,,0,19892,19764,0,true,,,,113,1130,0,0,false,5,,123
114,,0,20021,19892,0,true,,,,114,1140,0,0,false,5,,124
115,,0,20149,20021,0,true,,,,115,1150,0,0,false,5,,126
116,,0,20277,20149,0,true,,,,116,1160,0,0,false,5,,128
117,,0,20405,20277,0,true,,,,117,1170,0,0,false,5,,130
118,,0,20534,20405,0,true,,,,118,1180,0,0,false,5,,132
119,,0,20662,20534,0,true,,,,119,1190,0,0,false,5,,133
120,,0,20790,20662,0,true,,,,120,1200,0,0,false,5,,135
121,,0,20918,20790,0,true,,,,121,1210,0,0,false,5,,137
122,,0,21047,20918,0,true,,,,122,1220,0,0,false,5,,139
123,,0,21175,21047,0,true,,,,123,1230,0,0,false,5,,141
124,,0,21303,21175,0,true,,,,124,1240,0,0,false,5,,142
125,,0,21431,21303,0,true,,,,125,1250,0,0,false,5,,144
126,,0,21560,21431,0,true,,,,126,1260,0,0,false,5,,146
127,,0,21688,21560,0,true,,,,127,1270,0,0,false,5,,148
128,,0,21816,21688,0,true,,,,128,1280,0,0,false,5,,150
129,,0,21944,21816,0,true,,,,129,1290,0,0,false,5,,153
130,,0,22073,21944,0,true,,,,130,1300,0,0,false,5,,155
131,,0,22201,22073,0,true,,,,131,1310,0,0,false,5,,157
132,,0,22329,22201,0,true,,,,132,1320,0,0,false,5,,159
133,,0,22457,22329,0,true,,,,133,1330,0,0,false,5,,161
134,,0,22586,22457,0,true,,,,134,1340,0,0,false,5,,163
135,,0,22714,22586,0,true,,,,135,1350,0,0,false,5,,165
136,,0,22842,22714,0,true,,,,136,1360,0,0,false,5,,167
137,,0,22970,22842,0,true,,,,137,1370,0,0,false,5,,169
138,,0,23099,22970,0,true,,,,138,1380,0,0,false,5,,171
139,,0,23227,23099,0,true,,,,139,1390,0,0,false,5,,174
140,,0,23355,23227,0,true,,,,140,1400,0,0,false,5,,176
141,,0,23483,23355,0,true,,,,141,1410,0,0,false,5,,178
142,,0,23612,23483,0,true,,,,142,1420,0,0,false,5,,180
143,,0,23740,23612,0,true,,,,143,1430,0,0,false,5,,182
144,,0,23868,23740,0,true,,,,144,1440,0,0,false,5,,184
145,,0,23996,23868,0,true,,,,145,1450,0,0,false,5,,186
146,,0,24125,23996,0,true,,,,146,1460,0,0,false,5,,188
147,,0,24253,24125,0,true,,,,147,1470,0,0,false,5,,190
148,,0,24381,24253,0,true,,,,148,1480,0,0,false,5,,192
149,,0,24509,24381,0,true,,,,149,1490,0,0,false,5,,195
150,,0,135000,24509,0,true,,,,150,1500,0,0,false,5,,197
151,,0,136688,135000,0,true,,,,151,1510,0,0,false,5,,199
152,,0,138375,136688,0,true,,,,152,1520,0,0,false,5,,201
153,,0,140063,138375,0,true,,,,153,1530,0,0,false,5,,203
154,,0,141750,140063,0,true,,,,154,1540,0,0,false,5,,205
155,,0,143438,141750,0,true,,,,155,1550,0,0,false,5,,207
156,,0,145125,143438,0,true,,,,156,1560,0,0,false,5,,209
157,,0,146813,145125,0,true,,,,157,1570,0,0,false,5,,211
158,,0,148500,146813,0,true,,,,158,1580,0,0,false,5,,213
159,,0,150188,148500,0,true,,,,159,1590,0,0,false,5,,216
160,,0,151875,150188,0,true,,,,160,1600,0,0,false,5,,218
161,,0,153563,151875,0,true,,,,161,1610,0,0,false,5,,220
162,,0,155250,153563,0,true,,,,162,1620,0,0,false,5,,222
163,,0,156938,155250,0,true,,,,163,1630,0,0,false,5,,225
164,,0,158625,156938,0,true,,,,164,1640,0,0,false,5,,227
165,,0,160313,158625,0,true,,,,165,1650,0,0,false,5,,230
166,,0,162000,160313,0,true,,,,166,1660,0,0,false,5,,232
167,,0,163688,162000,0,true,,,,167,1670,0,0,false,5,,234
168,,0,165375,163688,0,true,,,,168,1680,0,0,false,5,,237
169,,0,167063,165375,0,true,,,,169,1690,0,0,false,5,,239
170,,0,168750,167063,0,true,,,,170,1700,0,0,false,5,,242
171,,0,170438,168750,0,true,,,,171,1710,0,0,false,5,,244
172,,0,172125,170438,0,true,,,,172,1720,0,0,false,5,,246
173,,0,173813,172125,0,true,,,,173,1730,0,0,false,5,,249
174,,0,175500,173813,0,true,,,,174,1740,0,0,false,5,,251
175,,0,177188,175500,0,true,,,,175,1750,0,0,false,5,,254
176,,0,178875,177188,0,true,,,,176,1760,0,0,false,5,,256
