Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,SpecializationPoint,SkillBonus,RecipeLevel,RollBonus,MinGearScoreBonus,MaxGearScoreBonus,IsMilestone,ResourceTierUnlocks,EntitlementId,XpReward
0,,0,108,0,0,,,,,0,0,0,0,,5,,0
1,,0,114,108,0,true,,,,1,510,0,0,false,5,,2.01
2,,0,120,114,0,true,,,,2,520,0,0,false,5,,2.68
3,,0,126,120,0,true,,,,3,530,0,0,false,5,,2.68
4,,0,132,126,0,true,,,,4,540,0,0,false,5,,2.68
5,,0,138,132,0,true,,,,5,550,0,0,false,5,,3.35
6,,0,144,138,0,true,,,,6,560,0,0,false,5,,3.35
7,,0,150,144,0,true,,,,7,570,0,0,false,5,,3.35
8,,0,155,150,0,true,,,,8,580,0,0,false,5,,4.02
9,,0,162,155,0,true,,,,9,590,0,0,false,5,,4.02
10,,0,168,162,0,true,,,,10,600,0,0,false,5,,4.02
11,,0,173,168,0,true,,,,11,610,0,0,false,5,,4.02
12,,0,180,173,0,true,,,,12,620,0,0,false,5,,4.69
13,,0,185,180,0,true,,,,13,630,0,0,false,5,,4.69
14,,0,191,185,0,true,,,,14,640,0,0,false,5,,4.69
15,,0,198,191,0,true,,,,15,650,0,0,false,5,,5.36
16,,0,203,198,0,true,,,,16,660,0,0,false,5,,5.36
17,,0,209,203,0,true,,,,17,670,0,0,false,5,,6.03
18,,0,215,209,0,true,,,,18,680,0,0,false,5,,6.03
19,,0,221,215,0,true,,,,19,690,0,0,false,5,,6.7
20,,0,227,221,0,true,,,,20,700,0,0,false,5,,7.37
21,,0,233,227,0,true,,,,21,710,0,0,false,5,,7.37
22,,0,239,233,0,true,,,,22,720,0,0,false,5,,8.04
23,,0,244,239,0,true,,,,23,730,0,0,false,5,,8.04
24,,0,251,244,0,true,,,,24,740,0,0,false,5,,8.71
25,,0,257,251,0,true,,,,25,750,0,0,false,5,,9.38
26,,0,262,257,0,true,,,,26,760,0,0,false,5,,9.38
27,,0,269,262,0,true,,,,27,770,0,0,false,5,,10.05
28,,0,274,269,0,true,,,,28,780,0,0,false,5,,10.05
29,,0,280,274,0,true,,,,29,790,0,0,false,5,,10.72
30,,0,287,280,0,true,,,,30,800,0,0,false,5,,11.39
31,,0,292,287,0,true,,,,31,810,0,0,false,5,,11.39
32,,0,298,292,0,true,,,,32,820,0,0,false,5,,12.06
33,,0,304,298,0,true,,,,33,830,0,0,false,5,,12.06
34,,0,310,304,0,true,,,,34,840,0,0,false,5,,12.73
35,,0,316,310,0,true,,,,35,850,0,0,false,5,,13.4
36,,0,322,316,0,true,,,,36,860,0,0,false,5,,13.4
37,,0,328,322,0,true,,,,37,870,0,0,false,5,,14.07
38,,0,333,328,0,true,,,,38,880,0,0,false,5,,14.07
39,,0,340,333,0,true,,,,39,890,0,0,false,5,,14.74
