Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,SpecializationPoint,SkillBonus,RecipeLevel,RollBonus,MinGearScoreBonus,MaxGearScoreBonus,IsMilestone,ResourceTierUnlocks,EntitlementId,XpReward
0,,0,102,0,0,,,,,0,0,0,0,,5,,0
1,,0,108,102,0,true,,,,1,510,0,0,false,5,,2.01
2,,0,114,108,0,true,,,,2,520,0,0,false,5,,2.68
3,,0,119,114,0,true,,,,3,530,0,0,false,5,,2.68
4,,0,125,119,0,true,,,,4,540,0,0,false,5,,2.68
5,,0,131,125,0,true,,,,5,550,0,0,false,5,,3.35
6,,0,136,131,0,true,,,,6,560,0,0,false,5,,3.35
7,,0,142,136,0,true,,,,7,570,0,0,false,5,,3.35
8,,0,147,142,0,true,,,,8,580,0,0,false,5,,4.02
9,,0,153,147,0,true,,,,9,590,0,0,false,5,,4.02
10,,0,159,153,0,true,,,,10,600,0,0,false,5,,4.02
11,,0,164,159,0,true,,,,11,610,0,0,false,5,,4.02
12,,0,170,164,0,true,,,,12,620,0,0,false,5,,4.69
13,,0,175,170,0,true,,,,13,630,0,0,false,5,,4.69
14,,0,181,175,0,true,,,,14,640,0,0,false,5,,4.69
15,,0,187,181,0,true,,,,15,650,0,0,false,5,,5.36
16,,0,192,187,0,true,,,,16,660,0,0,false,5,,5.36
17,,0,198,192,0,true,,,,17,670,0,0,false,5,,6.03
18,,0,203,198,0,true,,,,18,680,0,0,false,5,,6.03
19,,0,209,203,0,true,,,,19,690,0,0,false,5,,6.7
20,,0,215,209,0,true,,,,20,700,0,0,false,5,,7.37
21,,0,220,215,0,true,,,,21,710,0,0,false,5,,7.37
22,,0,226,220,0,true,,,,22,720,0,0,false,5,,8.04
23,,0,231,226,0,true,,,,23,730,0,0,false,5,,8.04
24,,0,237,231,0,true,,,,24,740,0,0,false,5,,8.71
25,,0,243,237,0,true,,,,25,750,0,0,false,5,,9.38
26,,0,248,243,0,true,,,,26,760,0,0,false,5,,9.38
27,,0,254,248,0,true,,,,27,770,0,0,false,5,,10.05
28,,0,259,254,0,true,,,,28,780,0,0,false,5,,10.05
29,,0,265,259,0,true,,,,29,790,0,0,false,5,,10.72
30,,0,271,265,0,true,,,,30,800,0,0,false,5,,11.39
31,,0,276,271,0,true,,,,31,810,0,0,false,5,,11.39
32,,0,282,276,0,true,,,,32,820,0,0,false,5,,12.06
33,,0,287,282,0,true,,,,33,830,0,0,false,5,,12.06
34,,0,293,287,0,true,,,,34,840,0,0,false,5,,12.73
35,,0,299,293,0,true,,,,35,850,0,0,false,5,,13.4
36,,0,304,299,0,true,,,,36,860,0,0,false,5,,13.4
37,,0,310,304,0,true,,,,37,870,0,0,false,5,,14.07
38,,0,315,310,0,true,,,,38,880,0,0,false,5,,14.07
39,,0,321,315,0,true,,,,39,890,0,0,false,5,,14.74
40,,0,327,321,0,true,,,,40,900,0,0,false,5,,15.41
41,,0,332,327,0,true,,,,41,910,0,0,false,5,,16.08
42,,0,338,332,0,true,,,,42,920,0,0,false,5,,16.08
43,,0,343,338,0,true,,,,43,930,0,0,false,5,,16.75
44,,0,349,343,0,true,,,,44,940,0,0,false,5,,17.42
45,,0,355,349,0,true,,,,45,950,0,0,false,5,,18.09
46,,0,360,355,0,true,,,,46,960,0,0,false,5,,18.76
47,,0,366,360,0,true,,,,47,970,0,0,false,5,,19.43
48,,0,371,366,0,true,,,,48,980,0,0,false,5,,20.1
49,,0,377,371,0,true,,,,49,990,0,0,false,5,,20.77
50,,0,1913,377,0,true,,,,50,1000,0,0,false,5,,21.44
51,,0,1941,1913,0,true,,,,51,1010,0,0,false,5,,22.11
52,,0,1969,1941,0,true,,,,52,1020,0,0,false,5,,22.78
53,,0,1997,1969,0,true,,,,53,1030,0,0,false,5,,23.45
54,,0,2025,1997,0,true,,,,54,1040,0,0,false,5,,24.12
55,,0,2053,2025,0,true,,,,55,1050,0,0,false,5,,25.46
56,,0,2081,2053,0,true,,,,56,1060,0,0,false,5,,26.13
57,,0,2109,2081,0,true,,,,57,1070,0,0,false,5,,26.8
58,,0,2137,2109,0,true,,,,58,1080,0,0,false,5,,27.47
59,,0,2165,2137,0,true,,,,59,1090,0,0,false,5,,28.14
60,,0,2193,2165,0,true,,,,60,1100,0,0,false,5,,29.48
61,,0,2222,2193,0,true,,,,61,1110,0,0,false,5,,30.15
62,,0,2250,2222,0,true,,,,62,1120,0,0,false,5,,30.82
63,,0,2278,2250,0,true,,,,63,1130,0,0,false,5,,31.49
64,,0,2306,2278,0,true,,,,64,1140,0,0,false,5,,32.16
65,,0,2334,2306,0,true,,,,65,1150,0,0,false,5,,33.5
66,,0,2362,2334,0,true,,,,66,1160,0,0,false,5,,34.17
67,,0,2390,2362,0,true,,,,67,1170,0,0,false,5,,34.84
68,,0,2418,2390,0,true,,,,68,1180,0,0,false,5,,35.51
69,,0,2446,2418,0,true,,,,69,1190,0,0,false,5,,36.18
70,,0,2474,2446,0,true,,,,70,1200,0,0,false,5,,37.52
71,,0,2502,2474,0,true,,,,71,1210,0,0,false,5,,38.19
72,,0,2530,2502,0,true,,,,72,1220,0,0,false,5,,38.86
73,,0,2558,2530,0,true,,,,73,1230,0,0,false,5,,39.53
74,,0,2586,2558,0,true,,,,74,1240,0,0,false,5,,40.2
75,,0,2614,2586,0,true,,,,75,1250,0,0,false,5,,41.54
76,,0,2642,2614,0,true,,,,76,1260,0,0,false,5,,42.21
77,,0,2670,2642,0,true,,,,77,1270,0,0,false,5,,43.55
78,,0,2698,2670,0,true,,,,78,1280,0,0,false,5,,44.22
79,,0,2726,2698,0,true,,,,79,1290,0,0,false,5,,45.56
80,,0,2754,2726,0,true,,,,80,1300,0,0,false,5,,46.23
81,,0,2783,2754,0,true,,,,81,1310,0,0,false,5,,47.57
82,,0,2811,2783,0,true,,,,82,1320,0,0,false,5,,48.24
83,,0,2839,2811,0,true,,,,83,1330,0,0,false,5,,49.58
84,,0,2867,2839,0,true,,,,84,1340,0,0,false,5,,50.25
85,,0,2895,2867,0,true,,,,85,1350,0,0,false,5,,51.59
86,,0,2923,2895,0,true,,,,86,1360,0,0,false,5,,52.26
87,,0,2951,2923,0,true,,,,87,1370,0,0,false,5,,53.6
88,,0,2979,2951,0,true,,,,88,1380,0,0,false,5,,54.27
89,,0,3007,2979,0,true,,,,89,1390,0,0,false,5,,55.61
90,,0,3035,3007,0,true,,,,90,1400,0,0,false,5,,56.28
91,,0,3063,3035,0,true,,,,91,1410,0,0,false,5,,57.62
92,,0,3091,3063,0,true,,,,92,1420,0,0,false,5,,58.29
93,,0,3119,3091,0,true,,,,93,1430,0,0,false,5,,59.63
94,,0,3147,3119,0,true,,,,94,1440,0,0,false,5,,60.3
95,,0,3175,3147,0,true,,,,95,1450,0,0,false,5,,61.64
96,,0,3203,3175,0,true,,,,96,1460,0,0,false,5,,62.31
97,,0,3231,3203,0,true,,,,97,1470,0,0,false,5,,63.65
98,,0,3259,3231,0,true,,,,98,1480,0,0,false,5,,64.32
99,,0,3287,3259,0,true,,,,99,1490,0,0,false,5,,65.66
100,,0,17213,3287,0,true,,,,100,1500,0,0,false,5,,66.33
101,,0,17334,17213,0,true,,,,101,1510,0,0,false,5,,67.67
102,,0,17455,17334,0,true,,,,102,1520,0,0,false,5,,69.01
103,,0,17576,17455,0,true,,,,103,1530,0,0,false,5,,70.35
104,,0,17697,17576,0,true,,,,104,1540,0,0,false,5,,71.02
105,,0,17818,17697,0,true,,,,105,1550,0,0,false,5,,72.36
106,,0,17940,17818,0,true,,,,106,1560,0,0,false,5,,73.7
107,,0,18060,17940,0,true,,,,107,1570,0,0,false,5,,75.04
108,,0,18182,18060,0,true,,,,108,1580,0,0,false,5,,76.38
109,,0,18303,18182,0,true,,,,109,1590,0,0,false,5,,77.05
110,,0,18424,18303,0,true,,,,110,1600,0,0,false,5,,78.39
111,,0,18545,18424,0,true,,,,111,1610,0,0,false,5,,79.73
112,,0,18666,18545,0,true,,,,112,1620,0,0,false,5,,81.07
113,,0,18787,18666,0,true,,,,113,1630,0,0,false,5,,82.41
114,,0,18909,18787,0,true,,,,114,1640,0,0,false,5,,83.08
115,,0,19029,18909,0,true,,,,115,1650,0,0,false,5,,84.42
116,,0,19151,19029,0,true,,,,116,1660,0,0,false,5,,85.76
117,,0,19272,19151,0,true,,,,117,1670,0,0,false,5,,87.1
118,,0,19393,19272,0,true,,,,118,1680,0,0,false,5,,88.44
119,,0,19514,19393,0,true,,,,119,1690,0,0,false,5,,89.11
120,,0,19635,19514,0,true,,,,120,1700,0,0,false,5,,90.45
121,,0,19756,19635,0,true,,,,121,1710,0,0,false,5,,91.79
122,,0,19878,19756,0,true,,,,122,1720,0,0,false,5,,93.13
123,,0,19998,19878,0,true,,,,123,1730,0,0,false,5,,94.47
124,,0,20120,19998,0,true,,,,124,1740,0,0,false,5,,95.14
125,,0,20241,20120,0,true,,,,125,1750,0,0,false,5,,96.48
126,,0,20362,20241,0,true,,,,126,1760,0,0,false,5,,97.82
127,,0,20483,20362,0,true,,,,127,1770,0,0,false,5,,99.16
128,,0,20604,20483,0,true,,,,128,1780,0,0,false,5,,100.5
129,,0,20725,20604,0,true,,,,129,1790,0,0,false,5,,102.51
130,,0,20847,20725,0,true,,,,130,1800,0,0,false,5,,103.85
131,,0,20967,20847,0,true,,,,131,1810,0,0,false,5,,105.19
132,,0,21089,20967,0,true,,,,132,1820,0,0,false,5,,106.53
133,,0,21210,21089,0,true,,,,133,1830,0,0,false,5,,107.87
134,,0,21331,21210,0,true,,,,134,1840,0,0,false,5,,109.21
135,,0,21452,21331,0,true,,,,135,1850,0,0,false,5,,110.55
136,,0,21573,21452,0,true,,,,136,1860,0,0,false,5,,111.89
137,,0,21694,21573,0,true,,,,137,1870,0,0,false,5,,113.23
138,,0,21816,21694,0,true,,,,138,1880,0,0,false,5,,114.57
139,,0,21936,21816,0,true,,,,139,1890,0,0,false,5,,116.58
140,,0,22058,21936,0,true,,,,140,1900,0,0,false,5,,117.92
141,,0,22179,22058,0,true,,,,141,1910,0,0,false,5,,119.26
142,,0,22300,22179,0,true,,,,142,1920,0,0,false,5,,120.6
143,,0,22421,22300,0,true,,,,143,1930,0,0,false,5,,121.94
144,,0,22542,22421,0,true,,,,144,1940,0,0,false,5,,123.28
145,,0,22663,22542,0,true,,,,145,1950,0,0,false,5,,124.62
146,,0,22785,22663,0,true,,,,146,1960,0,0,false,5,,125.96
147,,0,22905,22785,0,true,,,,147,1970,0,0,false,5,,127.3
148,,0,23027,22905,0,true,,,,148,1980,0,0,false,5,,128.64
149,,0,23148,23027,0,true,,,,149,1990,0,0,false,5,,130.65
150,,0,127500,23148,0,true,,,,150,2000,0,0,false,5,,131.99
