LevelDisparity,DamageModifier,PhysicalArmorRatingModifier,ElementalArmorRatingModifier,SkipDeathsDoor,IncomingPowerLevelZero,AdjustPowerLevel,RequiredPowerLevel,AdjustedPowerLevel,AdjustedHitStun,VisionDistanceAdjustment,MaxRewardLevelDelta,KillExpModifier,EventExpModifier
-20,0,0,0,FALSE,FALSE,FALSE,0,0,0,-10,0,-0.8,0
-19,0,0,0,FALSE,FALSE,FALSE,0,0,0,-10,0,-0.4,0
-18,0,0,0,FALSE,FALSE,FALSE,0,0,0,-10,0,-0.4,0
-17,0,0,0,FALSE,FALSE,FALSE,0,0,0,-10,0,-0.4,0
-16,0,0,0,FALSE,FALSE,FALSE,0,0,0,-10,0,-0.4,0
-15,0,0,0,FALSE,FALSE,FALSE,0,0,0,-10,0,-0.4,0
-14,0,0,0,FALSE,FALSE,FALSE,0,0,0,-10,0,-0.4,0
-13,0,0,0,FALSE,FALSE,FALSE,0,0,0,-10,0,-0.4,0
-12,0,0,0,FALSE,FALSE,FALSE,0,0,0,-10,0,-0.4,0
-11,0,0,0,FALSE,FALSE,FALSE,0,0,0,-10,0,-0.4,0
-10,0,0,0,FALSE,FALSE,FALSE,0,0,0,-10,0,-0.4,0
3,0,0.1,0.1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0
4,0,0.2,0.2,FALSE,FALSE,FALSE,0,0,0,0,0,0,0
5,0,0.3,0.3,FALSE,FALSE,FALSE,0,0,0,0,0,0,0
6,0.2,0.4,0.4,FALSE,FALSE,FALSE,0,0,0,0,0,0,0
7,0.4,0.6,0.6,FALSE,FALSE,FALSE,0,0,0,0,0,0,0
8,0.6,0.8,0.8,FALSE,FALSE,FALSE,0,0,0,0,0,0,0
9,0.8,1,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0
10,1.5,1.5,1.5,TRUE,TRUE,TRUE,0,1,20,10,10,0,-0.4
11,1.5,1.5,1.5,TRUE,TRUE,TRUE,0,1,20,10,10,0,-0.4
12,1.5,1.5,1.5,TRUE,TRUE,TRUE,0,1,20,10,10,0,-0.4
13,1.5,1.5,1.5,TRUE,TRUE,TRUE,0,1,20,10,10,0,-0.4
14,1.5,1.5,1.5,TRUE,TRUE,TRUE,0,1,20,10,10,0,-0.4
15,1.5,1.5,1.5,TRUE,TRUE,TRUE,0,1,20,10,10,0,-0.4
16,1.5,1.5,1.5,TRUE,TRUE,TRUE,0,1,20,10,10,0,-0.4
17,1.5,1.5,1.5,TRUE,TRUE,TRUE,0,1,20,10,10,0,-0.4
18,1.5,1.5,1.5,TRUE,TRUE,TRUE,0,1,20,10,10,0,-0.4
19,1.5,1.5,1.5,TRUE,TRUE,TRUE,0,1,20,10,10,0,-0.4
20,1.5,1.5,1.5,TRUE,TRUE,TRUE,0,1,20,10,10,0,-0.8
