EventID,GameEventType,Level,CreatureType,RewardModifier,RewardType,UniversalExpAmount,CurrencyReward,RewardsNotes,ItemReward,ItemRewardQty,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,AzothReward,AzothRewardChance,WhisperID,AchievementId,IgnoreEconomyTracker,EntitlementId,PVPXP,RemoveStatusEffectCategories,EmitTelemetry
99G_MSQ_SM_FreePrisoner_success,,60,MSQ,,,7500,9000,,,,,,,,,,,,15,1,,,,,,,true
99G_MSQ_SM_GatherRelics_success,,61,MSQ,,,7750,9100,,,,,,,,,,,,15,1,,,,,,,true
99G_MSQ_SM_AttackMentally_success,,61,MSQ,,,7750,9100,,,,,,,,,,,,15,1,,,,,,,true
99G_MSQ_SM_HealAlly_success,,61,MSQ,,,7750,9100,,,,,,,,,,,,15,1,,,,,,,true
99G_MSQ_SM_ReconnectHive_success,,62,MSQ,,,8000,9200,,,,,,,,,,,,15,1,,,,,,,true
99G_MSQ_SM_ActivateCrystals_success,,62,MSQ,,,8000,9200,,,,,,,,,,,,15,1,,,,,,,true
99G_MSQ_SM_PlantBombs_success,,62,MSQ,,,8000,9200,,,,,,,,,,,,15,1,,,,,,,true
99G_MSQ_SM_ExcavateArtifacts_success,,63,MSQ,,,8250,9300,,,,,,,,,,,,15,1,,,,,,,true
99G_MSQ_SM_PrepareWarfare_success,,63,MSQ,,,8250,9300,,Darkness_AzothStaff_T5,,,AzothStaff,1,,,,,,15,1,,,,,,,true
99G_MSQ_SM_PrepareWarfare_alt_success,,63,MSQ,,,8250,9300,,GypsumOrb,,,,,,,,,,15,1,,,,,,,true
99G_MSQ_SM_AssaultStronghold_success,,64,MSQ,,,8500,9400,,,,,,,,,,,,15,1,,,,,,,true
99G_MSQ_SM_DestroyEnemy_success,,64,MSQ,,,8500,9400,,Rapier_Isabella_Solo_Trial_T5,,,,,,,,,,15,1,,,,,,,true
99G_MSQ_SM_BidFarewell_success,,64,MSQ,,,8500,9400,,,,,,,,,,,,15,1,,,,,,,true
99G_MSQ_SM_FreePrisoner_Door_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_FreePrisoner_Tracks_01_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_FreePrisoner_Tracks_02_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_FreePrisoner_Tracks_03_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_FreePrisoner_Journal_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_GatherRelics_Brooch_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_GatherRelics_Cup_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_GatherRelics_CaptainsLog_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_AttackMentally_Meditate_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_AttackMentally_BroochAltar_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_AttackMentally_CupAltar_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_AttackMentally_LogAltar_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_HealAlly_Lichen01_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_HealAlly_Lichen02_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_HealAlly_Lichen03_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_HealAlly_Lichen04_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_HealAlly_Teleport_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_HealAlly_Moss_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_HealAlly_Pheromone01_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_HealAlly_Pheromone02_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_HealAlly_Pheromone03_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_HealAlly_Pheromone04_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_ReconnectHive_Notes_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_ReconnectHive_Fungus01_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_ReconnectHive_Fungus02_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_ReconnectHive_Fungus03_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_ReconnectHive_Fungus04_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_ReconnectHive_Spores_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_ActivateCrystals_Crystals01_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_ActivateCrystals_Crystals02_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_ActivateCrystals_Crystals03_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_ActivateCrystals_Crystals04_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_PlantBombs_Pus_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_PlantBombs_Bombs_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_ExcavateArtifacts_Pillar01_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_ExcavateArtifacts_Pillar02_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99G_MSQ_SM_ExcavateArtifacts_Artifact01_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
