EventID,GameEventType,Level,CreatureType,RewardModifier,UniversalExpAmount,CurrencyReward,ItemReward,RewardsNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance,WhisperId
FactionIntro_Covenant_01_Success,,17,Quest,Armor,800,5875,FactionIntro_Covenant_01_Amulet_Reward,,,,,,,,,,true,10,1,
FactionIntro_Covenant_Vector_01_Success,,17,Quest-,,0,0,,,,,,,,,,,true,,0,
FactionIntro_Covenant_02_Success,,19,Quest,Weapons,1370,6125,FactionIntro_Covenant_02_Hood_Reward,,,,,,,,,,true,10,1,
FactionIntro_Covenant_Vector_02_Success,,17,Quest-,,0,0,,,,,,,,,,,true,,0,
FactionIntro_Covenant_03_Success,,21,Quest+,Armor,1920,8925,FactionIntro_Covenant_03_LifeStaff_Reward,,,,,,,,,,true,20,1,
FactionIntro_Covenant_Recruitment_Success,,17,Quest-,,0,0,,,,,,,,,,,true,,0,
98_Covenant_01_Crest_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Covenant_02_Captive_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Covenant_02_Grimoire_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Covenant_03_Ritual_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Covenant_03_Pyre_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Covenant_Whisper_01_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,98_Covenant_Whisper_01
FactionIntro_Marauders_01_Success,,17,Quest,Armor,800,5875,FactionIntro_Marauders_01_Ring_Reward,,,,,,,,,,true,10,1,
FactionIntro_Marauders_02_Success,,19,Quest,Weapons,1370,6125,FactionIntro_Marauders_02_Helm_Reward,,,,,,,,,,true,10,1,
FactionIntro_Marauders_Vector_Success,,17,Quest-,,0,0,,,,,,,,,,,true,,0,
FactionIntro_Marauders_03_Success,,21,Quest+,Armor,1920,8925,FactionIntro_Marauders_03_2hGreatAxe_Reward,,,,,,,,,,true,20,1,
FactionIntro_Marauders_Recruitment_Success,,17,Quest-,,0,0,,,,,,,,,,,true,,0,
98_Marauders_02_PirateBanner_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Marauders_02_ExplosiveBarrel_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Marauders_02_PirateHoard_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Marauders_03_ExplosivePlacementA_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Marauders_03_ExplosivePlacementB_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Marauders_03_CaptiveA_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Marauders_03_CaptiveB_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Marauders_03_CaptiveC_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Marauders_Whisper_01_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,98_Marauders_Whisper_01
FactionIntro_Syndicate_01_Success,,17,Quest,Armor,800,5875,FactionIntro_Syndicate_01_Gloves_Reward,,,,,,,,,,true,10,1,
FactionIntro_Syndicate_02_Success,,19,Quest,Weapons,1370,6125,FactionIntro_Syndicate_02_Hat_Reward,,,,,,,,,,true,10,1,
FactionIntro_Syndicate_Vector_Success,,17,Quest-,,0,0,,,,,,,,,,,true,,0,
FactionIntro_Syndicate_03_Success,,21,Quest+,Armor,1920,8925,FactionIntro_Syndicate_03_Musket_Reward,,,,,,,,,,true,20,1,
FactionIntro_Syndicate_Recruitment_Success,,17,Quest-,,0,0,,,,,,,,,,,true,,0,
98_Syndicate_01_WolfLure_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Syndicate_02_AzothTreeWater_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Syndicate_03_WaterBarrel_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Syndicate_03_Well_A_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Syndicate_03_Well_B_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,
98_Syndicate_Whisper_01_Interact,,0,Quest-,,#N/A,0,,,,,,,,,,,true,,0,98_Syndicate_Whisper_01
