EventID,GameEventType,Level,CreatureType,RewardModifier,Reward Type,UniversalExpAmount,CurrencyReward,RewardsNotes,ItemReward,ItemRewardQty,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,AzothReward,AzothRewardChance,WhisperID,AchievementId,IgnoreEconomyTracker,EntitlementId,PVPXP,RemoveStatusEffectCategories,EmitTelemetry
99B_MSQ_01_searchwalsham_success,,25,MSQ,,,4000,5500,,QuestReward_MSQ2_BW_Amulet_Prewitt,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_02_meetgalahad_success,,26,MSQ,,,4000,5600,,QuestReward_MSQ2_BW_ShadowHunterM_Hands,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_03_lostvillages_success,,27,MSQ,,,5000,5700,,CRX_QuestReward_BW_MSQ_FireStaff,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_03_lostvillages_alt_success,,27,MSQ,,,5000,5700,,CRX_QuestReward_BW_MSQ_FireStaff,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_04_corruptedresources_success,,28,MSQ,,,5000,5800,,QuestReward_MSQ2_BW_VoidGauntlet,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_05_findingfort_success,,29,MSQ,,,6000,5900,,QuestReward_MSQ2_BW_ShadowHunterM_Chest,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_06_lostcathedral_success,,30,MSQ,,,7000,6000,,House_HousingItem_QuestRewardBW_Decor_Memento,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_07_cursedcemetery_success,,31,MSQ,,,8000,6100,,QuestReward_MSQ2_BW_ShadowHunterM_Feet,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_08_azothtree_success,,32,MSQ,,,9000,6200,,QuestReward_MSQ2_BW_ShadowHunterM_Legs,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_09_killumberto_success,,33,MSQ,,,10000,6300,,QuestReward_MSQ2_BW_GreatSword,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_09_killumberto_success_destroyer,,33,MSQ,,,10000,6300,,CRX_QuestReward_ArcTyp_BW_2hGreataxe,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_09_killumberto_success_musketeer,,33,MSQ,,,10000,6300,,CRX_QuestReward_ArcTyp_BW_1hRapier,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_09_killumberto_success_mystic,,33,MSQ,,,10000,6300,,CRX_QuestReward_ArcTyp_BW_1hGauntletVoid,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_09_killumberto_success_occultist,,33,MSQ,,,10000,6300,,CRX_QuestReward_ArcTyp_BW_2hStaffFire,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_09_killumberto_success_ranger,,33,MSQ,,,10000,6300,,CRX_QuestReward_ArcTyp_BW_2hBow,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_09_killumberto_success_soldier,,33,MSQ,,,10000,6300,,CRX_QuestReward_ArcTyp_BW_1hLongsword,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_09_killumberto_success_swordsman,,33,MSQ,,,10000,6300,,CRX_QuestReward_ArcTyp_BW_2hGreatsword,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_10_cleansefort_success,,34,MSQ,,,11000,6400,,Darkness_AzothStaff_T2,,,AzothStaff,1,,,,,,50,1,,,,,,,true
99B_MSQ_10_cleansefort_alt_success,,34,MSQ,,,11000,6400,,,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_11_weaversvector_success,,35,MSQ,,,11000,6500,,QuestReward_MSQ2_BW_ShadowHunterM_Head,,,,,,,,,,50,1,,,,,,,true
99B_MSQ_01_BlessedCandleA_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99B_MSQ_01_BlessedCandleB_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99B_MSQ_01_BlessedCandleC_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99B_MSQ_01_WalshamGraveA_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99B_MSQ_01_WalshamGraveB_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99B_MSQ_01_WalshamGraveC_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99B_MSQ_02_DeggenGraveA_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99B_MSQ_02_DeggenGraveB_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
