EventID,GameEventType,Level,CreatureType,RewardModifier,Reward Type,UniversalExpAmount,CurrencyReward,RewardsNotes,ItemReward,ItemRewardQty,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,AzothReward,AzothRewardChance,WhisperId,AchievementId,IgnoreEconomyTracker,EntitlementId,PVPXP,RemoveStatusEffectCategories,EmitTelemetry
04A_Side01_01_RecoverSupplies_success,,17,Quest+,Weapons,,1200,8225,,CRX_QuestReward_EF_Side_GreatAxe,,,,,250,,,,,50,1,,,,,,,true
04A_Side01_02_NiceFurs_success,,17,Quest,Armor,,1000,5875,,QuestReward_EF_Side01_02_MediumChestT2,,,,,1500,,,,,37.5,1,,,,,,,true
04A_Side02_01_ObeliskNotes_success,,17,Quest,Weapons,,1000,5875,,QuestReward_EF_Side02_01_1hGauntletVoidT2,,,,,1000,,,,,37.5,1,,,,,,,true
04A_Side02_02_ObeliskDefenders_success,,18,Quest,Armor,,1120,6000,,QuestReward_EF_Side02_02_MediumHeadT2,,,,,1000,,,,,37.5,1,,,,,,,true
04A_Side02_03_LightBeacons_success,,19,Quest,Weapons,,1240,6125,,QuestReward_EF_Side02_03_2hMusketT3,,,,,1000,,,,,37.5,1,,,,,,,true
04A_Side02_04_CollectAzoth_success,,21,Quest,Armor,,1420,6375,,QuestReward_EF_Side02_04_HeavyFeetT3,,,,,1000,,,,,37.5,1,,,,,,,true
04A_Side02_05_PlaceSphere_success,,24,Quest+,Weapons,,1930,9450,,QuestReward_EF_Side02_05_2hStaffFireT3,,,,,1000,,,,,50,1,,,,,,,true
04A_Side03_01_RecoverVase_success,,19,Quest,Armor,,1240,6125,,QuestReward_EF_Side03_01_LightLegsT3,,,,,1500,,,,,37.5,1,,,,,,,true
04A_Side03_02_AncientScrolls_success,,24,Quest,Weapons,,1610,6750,,QuestReward_EF_Side03_02_2hStaffLifeT3,,,,,1000,,,,,37.5,1,,,,,,,true
04A_Side03_03_AncientTalismans_success,,24,Quest,Armor,,1610,6750,,QuestReward_EF_Side03_03_2hGreatSwordT3,,,,,1000,,,,,37.5,1,,,,,,,true
04A_Side04_01_ScoutCorrupted_success,,20,Quest,Weapons,,1360,6250,,CRX_QuestReward_EF_Side_Spear,,,,,1000,,,,,37.5,1,,,,,,,true
04A_Side04_02_PoisonCorrupted_success,,22,Quest+,Armor,,1780,9100,,QuestReward_EF_Side04_02_HeavyHandsT3,,,,,1000,,,,,50,1,,,,,,,true
04A_Side04_03_ToHuntsman_success,,22,Quest-,,,1190,2600,,,,,,,1500,,,,,25,1,,,,,,,true
04A_Side04_04_KillNamed_success,,25,Quest+,Weapons,,2150,9625,,QuestReward_EF_Side04_04_1hGauntletIceT3,,,,,750,,,,,50,1,,,,,,,true
04A_Side04_05_GetLocket_success,,25,Quest-,,,1430,2750,,CRX_QuestReward_EF_Amulet,,,,,750,,,,,25,1,,,,,,,true
04A_Side04_06_GetFlowers_success,,24,Quest,Armor,,1610,6750,,QuestReward_EF_Side04_06_HeavyChestT3,,,,,750,,,,,37.5,1,,,,,,,true
04A_Side04_07_ToHuntsman02_success,,25,Quest-,,,1430,2750,,house_housingitem_settler_decor_table_floralarrangement01,,,,,1000,,,,,25,1,,,,,,,true
04A_Side05_01_ChooseInstrument_success,,18,Quest,,,1120,6000,,QuestReward_EF_Side05_01_Instruments_01,,,,,750,,,,,37.5,1,,,,,,,true
04A_Side05_02_PlayForTown_success,,20,Quest,,,1360,6250,,QuestReward_EF_Side05_02_Instruments_02,,,,,1000,,,,,37.5,1,,,,,,,true
04A_Side05_03_EarnAudience_success,,22,Quest,,,1490,6500,,QuestReward_EF_Side05_03_Instruments_03,,,,,1000,,,,,37.5,1,,,,,,,true
04A_Side05_04_EarnPatron_success,,24,Quest,,,1610,6750,,QuestReward_EF_Side05_04_Instruments_04,,,,,1000,,,,,37.5,1,,,,,,,true
04A_Side06_01_DefeatBear_success,,17,Quest-,Armor,,800,2350,,QuestReward_EF_Side06_01_2hWarhammerT2,,,,,1000,,,,,25,1,,,,,,,true
04A_Side06_02_TownBrag_success,,17,Quest+,,,1200,8225,,QuestReward_EF_Side06_02_SkinningBox,,,,,750,,,,,50,1,,,,,,,true
04A_Side07_01_GetMead_success,,20,Quest,Weapons,,1360,6250,,CRX_QuestReward_EF_Side_ShieldK,,,,,1000,,,,,37.5,1,,,,,,,true
04A_Side07_02_GetWine_success,,21,Quest,Armor,,1420,6375,,QuestReward_EF_Side07_02_LightFeetT3,,,,,1000,,,,,37.5,1,,,,,,,true
04A_Side07_03_GetPort_success,,22,Quest+,Weapons,,1780,9100,,CRX_QuestReward_EF_Side_Flail,,,,,1500,,,,,50,1,,,,,,,true
04A_Side07_04_SaveBar_success,,22,Quest-,,,1190,2600,,Schematic_House_HousingItem_Appr_Winecask_Indoor,,,,,1500,,,,,25,1,,,,,,,true
