EventID,GameEventType,Level,CreatureType,UniversalExpAmount,XpOfCurrentLevel,UseRestedExp,CurrencyReward,CoinRewardChance,ItemReward,ItemRewardQty,GearScoreRange,LootTags,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,AffinityRewards,AzothSalt,AzothSaltChance,PvpXp,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance,EntitlementId,AchievementId,StatusEffectId,RemoveStatusEffects,RemoveStatusEffectCategories,LootLimitId,LootLimitReachedGameEventId,LootLimitReachedGameEventKeepOverrides,LeaderboardValue,SeasonsXp,ScheduleId,ScheduledGameEventId
Gather_Soulwarden_Crystal_Dunwood,Gathering,,,,,,,,,50,,,Collectibles_Dunwood_Gem,1,100,,,,,,,,,true,,,,,,,,,,,,,,
Gather_LostMemory_01,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_01,,,,,,,,,,
Gather_LostMemory_02,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_02,,,,,,,,,,
Gather_LostMemory_03,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_03,,,,,,,,,,
Gather_LostMemory_04,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_04,,,,,,,,,,
Gather_LostMemory_05,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_05,,,,,,,,,,
Gather_LostMemory_06,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_06,,,,,,,,,,
Gather_LostMemory_07,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_07,,,,,,,,,,
Gather_LostMemory_08,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_08,,,,,,,,,,
Gather_LostMemory_09,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_09,,,,,,,,,,
Gather_LostMemory_10,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_10,,,,,,,,,,
Gather_LostMemory_11,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_11,,,,,,,,,,
Gather_LostMemory_12,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_12,,,,,,,,,,
Gather_LostMemory_13,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_13,,,,,,,,,,
Gather_LostMemory_14,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_14,,,,,,,,,,
Gather_LostMemory_15,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_15,,,,,,,,,,
Gather_LostMemory_16,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_16,,,,,,,,,,
Gather_LostMemory_17,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_17,,,,,,,,,,
Gather_LostMemory_18,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_18,,,,,,,,,,
Gather_LostMemory_19,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_19,,,,,,,,,,
Gather_LostMemory_20,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_20,,,,,,,,,,
Gather_LostMemory_21,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_21,,,,,,,,,,
Gather_LostMemory_22,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_22,,,,,,,,,,
Gather_LostMemory_23,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_23,,,,,,,,,,
Gather_LostMemory_24,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_24,,,,,,,,,,
Gather_LostMemory_25,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_25,,,,,,,,,,
Gather_LostMemory_26,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_26,,,,,,,,,,
Gather_LostMemory_27,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_27,,,,,,,,,,
Gather_LostMemory_28,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_28,,,,,,,,,,
Gather_LostMemory_29,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_29,,,,,,,,,,
Gather_LostMemory_30,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_30,,,,,,,,,,
Gather_LostMemory_31,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_31,,,,,,,,,,
Gather_LostMemory_32,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_32,,,,,,,,,,
Gather_LostMemory_33,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_33,,,,,,,,,,
Gather_LostMemory_34,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_34,,,,,,,,,,
Gather_LostMemory_35,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_35,,,,,,,,,,
Gather_LostMemory_36,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_36,,,,,,,,,,
Gather_LostMemory_37,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_37,,,,,,,,,,
Gather_LostMemory_38,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_38,,,,,,,,,,
Gather_LostMemory_39,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_39,,,,,,,,,,
Gather_LostMemory_40,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_40,,,,,,,,,,
Gather_LostMemory_41,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_41,,,,,,,,,,
Gather_LostMemory_42,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_42,,,,,,,,,,
Gather_LostMemory_43,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_43,,,,,,,,,,
Gather_LostMemory_44,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_44,,,,,,,,,,
Gather_LostMemory_45,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_45,,,,,,,,,,
Gather_LostMemory_46,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_46,,,,,,,,,,
Gather_LostMemory_47,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_47,,,,,,,,,,
Gather_LostMemory_48,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_48,,,,,,,,,,
Gather_LostMemory_49,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_49,,,,,,,,,,
Gather_LostMemory_50,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_50,,,,,,,,,,
Gather_LostMemory_51,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_51,,,,,,,,,,
Gather_LostMemory_52,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_52,,,,,,,,,,
Gather_LostMemory_53,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_53,,,,,,,,,,
Gather_LostMemory_54,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_54,,,,,,,,,,
Gather_LostMemory_55,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_55,,,,,,,,,,
Gather_LostMemory_56,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_56,,,,,,,,,,
Gather_LostMemory_57,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_57,,,,,,,,,,
Gather_LostMemory_58,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_58,,,,,,,,,,
Gather_LostMemory_59,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_59,,,,,,,,,,
Gather_LostMemory_60,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_60,,,,,,,,,,
Gather_LostMemory_61,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_61,,,,,,,,,,
Gather_LostMemory_62,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_62,,,,,,,,,,
Gather_LostMemory_63,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_63,,,,,,,,,,
Gather_LostMemory_64,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_64,,,,,,,,,,
Gather_LostMemory_65,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_65,,,,,,,,,,
Gather_LostMemory_66,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_66,,,,,,,,,,
Gather_LostMemory_67,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_67,,,,,,,,,,
Gather_LostMemory_68,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_68,,,,,,,,,,
Gather_LostMemory_69,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_69,,,,,,,,,,
Gather_LostMemory_70,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_70,,,,,,,,,,
Gather_LostMemory_71,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_71,,,,,,,,,,
Gather_LostMemory_72,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_72,,,,,,,,,,
Gather_LostMemory_73,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_73,,,,,,,,,,
Gather_LostMemory_74,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_74,,,,,,,,,,
Gather_LostMemory_75,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_75,,,,,,,,,,
Gather_LostMemory_76,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_76,,,,,,,,,,
Gather_LostMemory_77,Gathering,,,,,,,,17_CQ_SoulFragment,1,,,Collectibles_Dunwood_Memories,1,100,,,,,,,,,true,,,,LostMemory_77,,,,,,,,,,
