EventID,GameEventType,Level,CreatureType,RewardModifier,Reward Type,UniversalExpAmount,CurrencyReward,RewardsNotes,ItemReward,ItemRewardQty,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,AzothReward,AzothRewardChance,WhisperId,AchievementId,IgnoreEconomyTracker,EntitlementId,PVPXP,RemoveStatusEffectCategories,EmitTelemetry
1104_01a01_crashing_Success,,45,Quest-,,,2430,3750,,,,,,,400,,,,,12.5,1,,,,,,,true
1111_0201_deluge_Success,,46,Quest+,,,3680,13300,,CRX_RewardContainerT4_Weapons_50,,,,,800,,,,,50,1,,,,,,,true
1102_0201_abandonedduties_Success,,46,Quest,,,3070,9500,,CRX_RewardContainerT4_Handwear_50,,,,,600,,,,,25,1,,,,,,,true
1104_0201_waterfalls_Success,,46,Quest,,,3070,9500,,CRX_RewardContainerT4_Headgear_50,,,,,600,,,,,25,1,,,,,,,true
1102_0301_musslebeard_Success,,47,Quest+,,,3710,13475,,CRX_RewardContainerT4_Weapons_50,,,,,800,,,,,50,1,,,,,,,true
1105_0201_teardropgems_Success,,47,Quest,,,3100,9625,,CRX_RewardContainerT4_Handwear_50,,,,,600,,,,,25,1,,,,,,,true
1105_0202_excommunication_Success,,48,Quest+,,,3750,13650,,CRX_RewardContainerT4_Chestwear_50,,,,,800,,,,,50,1,,,,,,,true
1111_0301_roadtotruth_Success,,48,Quest+,,,3750,13650,,CRX_RewardContainerT4_Weapons_50,,,,,800,,,,,50,1,,,,,,,true
1111_0401_ancienttruth_Success,,50,Quest+,,,3830,14000,,2hWarhammerMourningdaleT4,,,,,800,,,,,100,1,,,,,,,true
1111_0402_corruptedenergy_Success,,50,Quest+,,,3830,14000,,HeavyChest_MourningdaleT4,,,,,800,,,,,100,1,,,,,,,true
1102_0401_march_Success,,50,Quest+,,,3830,14000,,RingMourningDaleT4,,,,,800,,,,,100,1,,,,,,,true
1101_SilverOrb_interact,,0,Quest-,,,0,0,,,,,,,,,,,,,0,,,,,,,true
1102_StoneOrb_interact,,0,Quest-,,,0,0,,,,,,,,,,,,,0,,,,,,,true
1103_CopperOrb_interact,,0,Quest-,,,0,0,,,,,,,,,,,,,0,,,,,,,true
1104_MedallionChest_interact,,0,Quest-,,,0,0,,,,,,,,,,,,,0,,,,,,,true
1105_CorruptedTotem_interact,,0,Quest-,,,0,0,,,,,,,,,,,,,0,,,,,,,true
1124_0101_EnPleinAire_Success,,47,Quest,,,3100,9625,,,,,,,600,,,,,25,1,,,,,,,true
1126_0101_StoneColdSecrets_Success,,47,Quest,,,3100,9625,,,,,,,600,,,,,25,1,,,,,,,true
1126_0102_TheLastMystery_Success,,49,Quest,,,3160,9875,,,,,,,600,,,,,25,1,,,,,,,true
1126_0103_AmateurAdventurer_Success,,50,Quest,,,3190,10000,,,,,,,600,,,,,50,1,,,,,,,true
1125_0101_SongoftheSea_Success,,47,Quest,,,3100,9625,,,,,,,600,,,,,25,1,,,,,,,true
1128_0101_VillageChampion_Success,,49,Quest,,,3160,9875,,,,,,,600,,,,,25,1,,,,,,,true
1127_0101_MalignDominion_Success,,50,Quest,,,3190,10000,,,,,,,600,,,,,50,1,,,,,,,true
1127_0102_MakinBacon_Success,,50,Quest,,,3190,10000,,,,,,,600,,,,,50,1,,,,,,,true
1127_0102_SoulMusic_Success,,48,Quest,,,3130,9750,,,,,,,600,,,,,25,1,,,,,,,true
1127_0102_NewPerspective_Success,,49,Quest,,,3160,9875,,,,,,,600,,,,,25,1,,,,,,,true
1127_0102_CliffHanger_Success,,50,Quest,,,3190,10000,,,,,,,600,,,,,50,1,,,,,,,true
1126_0102_Atoast_Success,,49,Quest,,,3160,9875,,,,,,,600,,,,,25,1,,,,,,,true
1127_MalignNodeA_interact,,0,Quest-,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
1127_MalignNodeB_interact,,0,Quest-,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
1127_MalignNodeC_interact,,0,Quest-,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
1127_MalignNodeD_interact,,0,Quest-,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
1126_AncientDevice_A_interact,,0,Quest-,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
1126_AncientDevice_B_interact,,0,Quest-,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
1126_AncientDevice_C_interact,,0,Quest-,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
