EventID,GameEventType,Level,CreatureType,UniversalExpAmount,CurrencyReward,ItemReward,RewardNote,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance
0204_0101_UndyingAppetite_Success,,26,Quest,1280,7000,QuestRewardWeaponsL26,,,,,175,,,,,true,10,1
0202_0101_BlindingLight_Success,,26,Quest+,1600,9800,QuestRewardArmorL26,,,,,250,,,,,true,20,1
0210_0101_UnholyGreenThumb_Success,,27,Quest+,1670,9975,QuestRewardWeaponsL27,,,,,250,,,,,true,20,1
0202_0102_PreacherJohannes_Success,,31,Quest+,1890,10675,QuestRewardArmorL31,,,,,250,,,,,true,20,1
0202_0103_HeldBelowtheSurface_Success,,33,Quest+,2020,11025,MediumChest_BrightwoodT4,,,,,250,,,,,true,20,1
0203_0101_PocketfulofMemories_Success,,33,Quest+,2020,11025,QuestRewardWeaponsL33,,,,,250,,,,,true,20,1
0203_0102_AncientProblemsAncientSolutions_Success,,33,Quest+,2020,11025,RingBrightwoodT4,,,,,250,,,,,true,20,1
0205_0101_RuinousLabor_Success,,34,Quest+,2070,11200,QuestRewardWeaponsL34,,,,,250,,,,,true,20,1
0204_0102_OfOurOwnFleshandBlood_Success,,35,Quest+,2120,11375,QuestRewardArmorL35,,,,,250,,,,,true,20,1
0204_0103_IsleofMadness_Success,,36,Quest+,2180,11550,2hMusketBrightwoodT4,,,,,250,,,,,true,20,1
0202_0104_Weavers_Vector_Success,,31,Quest-,1140,3050,QuestRewardDye,,,,,100,,,,,true,5,1
0210_0102_ReapersLocus_Success,,36,Quest+,7500,11550,2hStaffLife_BeamEternalT3,Dungeon,,,,250,,,,,true,20,1
0230_0201_bellyofcorrupted_Success,,32,Quest,1560,7750,QuestRewardArmorL32,,,,,175,,,,,true,10,1
0230_0202_infernalarmaments_Success,,33,Quest,1610,7875,QuestRewardWeaponsL33,,,,,175,,,,,true,10,1
0230_0203_blacksmithbetrayer_Success,,33,Quest+,2020,11025,HeavyHead_QuestL33,,,,,250,,,,,true,20,1
0231_0201_locationscout_Success,,26,Quest,1280,7000,QuestRewardWeaponsL26,,,,,175,,,,,true,10,1
0231_0202_eyeforreflection_Success,,27,Quest,1330,7125,QuestRewardArmorL27,,,,,175,,,,,true,10,1
0231_0203_wolcottsmasterpiece_Success,,28,Quest,1380,7250,1hGauntletIce_QuestL28,,,,,175,,,,,true,10,1
0232_0201_asimpletea_Success,,30,Quest,1460,7500,QuestRewardArmorL30,,,,,175,,,,,true,10,1
0232_0202_hiddensecrets_Success,,32,Quest,1560,7750,QuestRewardWeaponsL32,,,,,175,,,,,true,10,1
0232_0203_verdantadelphia_Success,,32,Quest,1560,7750,QuestRewardArmorL32,,,,,175,,,,,true,10,1
0232_0204_azothtreeachene_Success,,33,Quest+,2020,11025,2hStaffLife_QuestL33,,,,,250,,,,,true,20,1
0233_0201_bearcohabitation_Success,,33,Quest,1610,7875,QuestRewardArmorL33,,,,,175,,,,,true,10,1
0233_0202_papabear_Success,,35,Quest+,2120,11375,2hGreatAxe_QuestL35,,,,,250,,,,,true,20,1
0234_0201_memoriesofanotherlife_Success,,26,Quest,1280,7000,QuestRewardArmorL26,,,,,175,,,,,true,10,1
0234_0202_homenomore_Success,,27,Quest,1330,7125,QuestRewardWeaponsL27,,,,,175,,,,,true,10,1
0234_0203_tildeathdouspart_Success,,28,Quest,1380,7250,1hThrowingAxe_QuestL28,,,,,175,,,,,true,10,1
0205_0102_Battles_Embrace_Gear_Success,,55,Quest+,2970,14875,SparkBox,,,,,250,,,,,true,30,1
0205_0102_01_Boots_Success,,40,Quest+,2380,12250,,,,,,250,,,,,true,20,1
0205_0102_02_Breastplate_Success,,44,Quest+,2590,12950,,,,,,250,,,,,true,20,1
0205_0102_03_Greaves_Success,,48,Quest+,2790,13650,,,,,,250,,,,,true,20,1
0205_0102_04_Gauntlets_Success,,52,Quest+,2940,14350,,,,,,250,,,,,true,20,1
0205_0102_05_Helm_Success,,55,Quest+,2970,14875,,,,,,250,,,,,true,30,1
0204_0104_Executioner_lvl40_Weapon_Success,,47,Quest+,2740,13475,,,,,,250,,,,,true,20,1
0203_0103_Hope_Manifest_lvl40_Weapon_Success,,47,Quest+,2740,13475,,,,,,250,,,,,true,20,1
0204_0104_BucaneersPlank_Quest_Success,,50,Quest+,2890,14000,,,,,,250,,,,,true,20,1
0204_0104_HangmansBinding_Quest_Success,,50,Quest+,2890,14000,,,,,,250,,,,,true,20,1
0204_0104_BladeBrute_Quest_Success,,50,Quest+,2890,14000,,,,,,250,,,,,true,20,1
0204_0104_InfernalCoagulant_Quest_Success,,50,Quest+,2890,14000,,,,,,250,,,,,true,20,1
0203_0103_MendersCloth_Quest_Success,,50,Quest+,2890,14000,,,,,,250,,,,,true,20,1
0203_0103_SoothsayerSalve_Quest_Success,,50,Quest+,2890,14000,,,,,,250,,,,,true,20,1
0203_0103_MercysBreath_Quest_Success,,50,Quest+,2890,14000,,,,,,250,,,,,true,20,1
0203_0103_HopeCatalyst_Quest_Success,,50,Quest+,2890,14000,,,,,,250,,,,,true,20,1
