EventID,GameEventType,Level,CreatureType,RewardModifier,UniversalExpAmount,CurrencyReward,ItemReward,RewardNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance
1002_0101_ancient_wonders_success,,27,Quest+,Armor,2690,9975,RingCutlassKeysT4,,,,,250,,,,,true,20,1
1002_0102_aeternum_triangle_success,,28,Quest+,Weapons,2740,10150,QuestRewardWeaponCase2,,,,,250,,,,,true,20,1
1004_0101_explosive_prospecting_success,,29,Quest+,Armor,2800,10325,QuestRewardArmorCase2,,,,,250,,,,,true,20,1
1010_0101_seadog_brew_success,,30,Quest+,Armor,2850,10500,QuestRewardArmorCase2,,,,,250,,,,,true,20,1
1004_0102_missing_features_success,,31,Quest+,Weapons,2910,10675,QuestRewardWeaponCase2,,,,,250,,,,,true,20,1
1003_0101_watcher_coin_success,,32,Quest+,Armor,2970,10850,QuestRewardArmorCase2,,,,,250,,,,,true,20,1
1001_0101_heads_tails_success,,0,Quest,,0,0,,,,,,,,,,,true,,1
1001_0101b_heads_tails_survivalist_success,,34,Quest+,,3120,11200,RingCutlassKeysT4,,,,,250,,,,,true,20,1
1001_0101a_heads_tails_watcher_success,,34,Quest+,,3120,11200,RingCutlassKeysT4,,,,,250,,,,,true,20,1
1005_0101_lightning_bottle_success,,35,Quest+,Armor,3190,11375,QuestRewardArmorCase2,,,,,250,,,,,true,20,1
1005_0102_lightning_test_success,,35,Quest+,,3190,11375,1hLongswordCutlassKeysT4,,,,,250,,,,,true,20,1
1010_0102_eternal_mixes_success,,36,Quest+,Weapons,3270,11550,QuestRewardWeaponCase2,,,,,250,,,,,true,20,1
1002_0103_skull_fort_success,,40,Quest+,,3570,12250,Earring_SwashbucklersEarringT4,,,,,250,,,,,true,20,1
1030_0201_animalinstincts_success,,30,Quest,Weapons,2280,7500,QuestRewardWeaponCase2,,,,,175,,,,,true,10,1
1030_0202_snaggletooth_success,,30,Quest+,Armor,2850,10500,QuestRewardArmorCase2,,,,,250,,,,,true,20,1
1030_0203_catnipping_success,,32,Quest,Weapons,2370,7750,QuestRewardWeaponCase2,,,,,175,,,,,true,10,1
1030_0204_tamingthelionhearted_success,,34,Quest,Armor,2490,8000,QuestRewardArmorCase2,,,,,175,,,,,true,10,1
1030_0205_perfectcompanion_success,,36,Quest+,Weapons,3270,11550,2hBow_QuestL36,,,,,250,,,,,true,20,1
1031_0201_adisturbingsilence_success,,29,Quest,Armor,2240,7375,QuestRewardArmorCase2,,,,,175,,,,,true,10,1
1031_0202_trackingbyteeth_success,,29,Quest,Weapons,2240,7375,QuestRewardWeaponCase2,,,,,175,,,,,true,10,1
1031_0203_heartofthemarsh_success,,30,Quest+,Armor,2850,10500,Ring_QuestL30,,,,,250,,,,,true,20,1
1032_0201_onewhotolledthebells_success,,26,Quest,Weapons,2100,7000,QuestRewardWeaponCase2,,,,,175,,,,,true,10,1
1032_0202_bridgetonowhere_success,,28,Quest,Armor,2190,7250,QuestRewardArmorCase2,,,,,175,,,,,true,10,1
1032_0203_onebridgetoofar_success,,38,Quest,Weapons,2730,8500,QuestRewardWeaponCase2,,,,,175,,,,,true,10,1
1032_0204_burningbridges_success,,38,Quest,Armor,2730,8500,2hWarhammer_QuestL38,,,,,175,,,,,true,10,1
1033_0201_treasureisland_success,,32,Quest,Weapons,2370,7750,QuestRewardWeaponCase2,,,,,175,,,,,true,10,1
1033_0202_trailofthemisanthrope_success,,36,Quest+,Armor,3270,11550,2hMusket_QuestL36,,,,,250,,,,,true,20,1
1034_0201_motherocean_success,,30,Quest,Weapons,2280,7500,QuestRewardWeaponCase2,,,,,175,,,,,true,10,1
1034_0202_seadreams_success,,32,Quest,Armor,2370,7750,QuestRewardArmorCase2,,,,,175,,,,,true,10,1
1034_0203_hightide_success,,34,Quest,Weapons,2490,8000,1hRapier_QuestL34,,,,,175,,,,,true,10,1
1035_0201_cookiecrumbles_success,,26,Quest+,Armor,2630,9800,LightChest_QuestL26,,,,,250,,,,,true,20,1
1036_0101_AdmiralBlackpowder_success,,60,Quest+,,5630,15750,1036_0101_BlackpowderBlunderbuss,,,,,250,,,,,true,30,1
1037_0101_MysteriesOfDeep_success,,60,Quest+,,5630,15750,QuestRewardArmorCase5,,,,,250,,,,,true,30,1
1038_0101_CleansingTreasure_success,,60,Quest+,,5630,15750,QuestRewardArmorCase5,,,,,250,,,,,true,30,1
1001_LightningTrap_interact,,0,Quest-,,0,0,,,,,,100,,,,,true,0,1
1002_AncientRelic_interact,,0,Quest-,,0,0,,,,,,100,,,,,true,0,1
1003_PirateFigurehead_interact,,0,Quest-,,0,0,,,,,,100,,,,,true,0,1
WM_Bow_0101_BowMastery_01_success,,15,Quest,Weapons,1460,5625,QuestRewardWeaponCase1,,,,,175,,,,,true,10,1
WM_Bow_0102_BowMastery_02_success,,30,Quest,Weapons,2280,7500,QuestRewardWeaponCase2,,,,,175,,,,,true,10,1
WM_Bow_0103_BowMastery_03_success,,45,Quest,Weapons,3150,9375,QuestRewardWeaponCase4,,,,,175,,,,,true,10,1
WM_Bow_0104_BowMastery_04_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponCase5,,,,,250,,,,,true,30,1
