EventID,GameEventType,Level,CreatureType,RewardModifier,Reward Type,UniversalExpAmount,CurrencyReward,RewardsNotes,ItemReward,ItemRewardQty,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,AzothReward,AzothRewardChance,WhisperId,AchievementId,IgnoreEconomyTracker,EntitlementId,PVPXP,RemoveStatusEffectCategories,EmitTelemetry
0717_0101_mykgardarena_success,,65,Quest+,,,4530,16625,,MyrkgardKey,,,,,,,,,,100,1,,,,,,,true
0714_0101_fieldsoffire_success,,60,Quest+,,,4310,15750,Death Rattle,CRX_SQ2SM_Hatchet,1,,,,,,,,,100,1,,,,,,,true
0719_0101_reflectionsmountainheart_success,,61,Quest+,,,4350,15925,Jewel of Vengence,QuestRewardWeaponCase5,1,,,,,,,,,100,1,,,,,,,true
0715_0102_luckonlylends_success,,62,Quest+,,,4400,16100,Dark Pheonix,CRX_SQ2SM_RoundShield,1,,,,,,,,,100,1,,,,,,,true
0715_0101_varietiesofheat_success,,62,Quest,,,3660,11500,Boots of the Stallion,CRX_RewardContainerT5_Handwear_65,1,,,,,,,,,50,1,,,,,,,true
0713_0101_explorerift_success,,63,Quest+,,,4440,16275,Edge of Rebellion ,CRX_SQ2SM_Longsword,1,,,,,,,,,100,1,,,,,,,true
0716_0101_malevolentofferings_success,,62,Quest,,,3660,11500,Lavaforged Legguards,CRX_RewardContainerT5_Legwear_65,1,,,,,,,,,50,1,,,,,,,true
0712_0101_layerspastandpresent_success,,62,Quest+,,,4400,16100,Molten's Core,CRX_SQ2SM_Flail,1,,,,,,,,,100,1,,,,,,,true
0718_0102_humble_success,,63,Quest+,,,4440,16275,Victor's Helm,CRX_RewardContainerT5_Footwear_65,1,,,,,,,,,100,1,,,,,,,true
0718_0101_guardian_success,,64,Quest,,,3740,11750,Spirit of Oblivion ,QuestRewardWeaponCase5,1,,,,,,,,,50,1,,,,,,,true
0719_0201_madakisstratagem_success,,65,Quest+,,,4530,16625,Infinity Crystal,CRX_SQ2SM_Amulet,1,,,,,,,,,100,1,,,,,,,true
0714_0105_baetylusheadpiece_success,,65,Quest+,,,20000,16625,Vengeance Blast,CRX_SQ2SM_Musket,1,,,,,,,,,100,1,,,,,,,true
0718_0103_ultimatedefense_success,,65,Quest+,,,20000,16625,Fortuna Chestplate,CRX_RewardContainerT5_Chestwear_65,1,,,,,,,,,100,1,,,,,,,true
0721_0101_TF_00_success,,65,Quest+,,,4530,16625,,1hLongsword_TwilightsFallT5,,,,,,,,,,100,1,,,,,,,true
0721_0102_TF_01_success,,65,Quest+,Armor,,4530,16625,,QuestRewardArmorCase5,,,,,,,,,,100,1,,,,,,,true
0721_0103_TF_02_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardWeaponCase5,,,,,,,,,,100,1,,,,,,,true
0721_0104_TF_03_success,,65,Quest+,Armor,,4530,16625,,QuestRewardArmorCase5,,,,,,,,,,100,1,,,,,,,true
0721_0105_TF_04_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardWeaponCase5,,,,,,,,,,100,1,,,,,,,true
0721_0106_TF_05_success,,65,Quest+,Armor,,4530,16625,,QuestRewardArmorCase5,,,,,,,,,,100,1,,,,,,,true
0721_0107_TF_06_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardWeaponCase5,,,,,,,,,,100,1,,,,,,,true
0721_0108_TF_07_success,,65,Quest+,Armor,,4530,16625,,QuestRewardArmorCase5,,,,,,,,,,100,1,,,,,,,true
0721_0109_TF_08_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardWeaponCase5,,,,,,,,,,100,1,,,,,,,true
0721_0101_BW_00_success,,65,Quest+,,,4530,16625,,1hRshield_BoundlessWardT5,,,,,,,,,,100,1,,,,,,,true
0721_0102_BW_01_success,,65,Quest+,Armor,,4530,16625,,QuestRewardArmorCase5,,,,,,,,,,100,1,,,,,,,true
0721_0103_BW_02_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardWeaponCase5,,,,,,,,,,100,1,,,,,,,true
0721_0104_BW_03_success,,65,Quest+,Armor,,4530,16625,,QuestRewardArmorCase5,,,,,,,,,,100,1,,,,,,,true
0721_0105_BW_04_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardWeaponCase5,,,,,,,,,,100,1,,,,,,,true
0720_0101_HS_00_success,,65,Quest+,,,4530,16625,,2hSpear_HeavensplitterT5,,,,,,,,,,100,1,,,,,,,true
0720_0102_HS_01_success,,65,Quest+,Armor,,4530,16625,,QuestRewardArmorCase5,,,,,,,,,,100,1,,,,,,,true
0720_0103_HS_02_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardWeaponCase5,,,,,,,,,,100,1,,,,,,,true
0720_0104_HS_03_success,,65,Quest+,Armor,,4530,16625,,QuestRewardArmorCase5,,,,,,,,,,100,1,,,,,,,true
0720_0105_HS_04_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardWeaponCase5,,,,,,,,,,100,1,,,,,,,true
0720_0106_HS_05_success,,65,Quest+,Armor,,4530,16625,,QuestRewardArmorCase5,,,,,,,,,,100,1,,,,,,,true
0720_0107_HS_06_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardWeaponCase5,,,,,,,,,,100,1,,,,,,,true
0720_0108_HS_07_success,,65,Quest+,Armor,,4530,16625,,QuestRewardArmorCase5,,,,,,,,,,100,1,,,,,,,true
0720_0109_HS_08_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardWeaponCase5,,,,,,,,,,100,1,,,,,,,true
0722_0101_FL_00_success,,65,Quest+,,,4530,16625,,1hRapier_FrozenLamentT5,,,,,,,,,,100,1,,,,,,,true
0722_0102_FL_01_success,,65,Quest+,Armor,,4530,16625,,QuestRewardArmorCase5,,,,,,,,,,100,1,,,,,,,true
0722_0103_FL_02_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardWeaponCase5,,,,,,,,,,100,1,,,,,,,true
0722_0104_FL_03_success,,65,Quest+,Armor,,4530,16625,,QuestRewardArmorCase5,,,,,,,,,,100,1,,,,,,,true
0722_0105_FL_04_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardWeaponCase5,,,,,,,,,,100,1,,,,,,,true
0722_0106_FL_05_success,,65,Quest+,Armor,,4530,16625,,QuestRewardArmorCase5,,,,,,,,,,100,1,,,,,,,true
0722_0107_FL_06_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardWeaponCase5,,,,,,,,,,100,1,,,,,,,true
0722_0108_FL_07_success,,65,Quest+,Armor,,4530,16625,,QuestRewardArmorCase5,,,,,,,,,,100,1,,,,,,,true
0722_0109_FL_08_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardWeaponCase5,,,,,,,,,,100,1,,,,,,,true
0726_0101_MightyTempest_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardIsabella1,,,,,,,,,,100,1,,,,,,,true
0726_0102_IsabellaDeLeon_success,,65,Quest+,Armor,,4530,16625,,QuestRewardIsabella2,,,,,,,,,,100,1,,,,,,,true
0726_0103_IsabellasCorruption_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardIsabella3,,,,,,,,,,100,1,,,,,,,true
0726_0104_RiseOfIsabella_success,,65,Quest+,Armor,,4530,16625,,QuestRewardIsabella4,,,,,,,,,,100,1,,,,,,,true
0726_0105_DeathOfHeretic_success,,65,Quest+,Weapons,,4530,16625,,QuestRewardIsabella5,,,,,,,,,,100,1,,,,,,,true
0726_0106_PossessionOfRusso_success,,65,Quest+,Armor,,4530,16625,,QuestRewardIsabella6,,,,,,,,,,100,1,,,,,,,true
0726_0107_Repeatable_success,,65,Quest+,,,4530,13685,,CRX_RepeatableReward_Isabella,,,,,,,,,,100,1,,,,,,,true
0726_Gravestone_interact,,0,Quest-,,,0,0,,,,,,,,,,,,0,0,,,,,,,true
0701_AntiCorruptionBomb_interact,,0,Quest-,,,0,0,,,,,,,,,,,,0,0,,,,,,,true
0701_AntiCorruptionBombB_interact,,0,Quest-,,,0,0,,,,,,,,,,,,0,0,,,,,,,true
0702_BlightNodule_interact,,0,Quest-,,,0,0,,,,,,,,,,,,0,0,,,,,,,true
0703_BaetylusLuckstone_interact,,0,Quest-,,,0,0,,,,,,,,,,,,0,0,,,,,,,true
0726_BookOfIsabella_interact,,0,Quest-,,,0,0,,,,,,,,,,,,0,0,,,,,,,true
