EventID,GameEventType,Level,CreatureType,UniversalExpAmount,XpOfCurrentLevel,UseRestedExp,CurrencyReward,CoinRewardChance,ItemReward,ItemRewardQty,GearScoreRange,LootTags,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,AzothSalt,AzothSaltChance,PvpXp,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance,EntitlementId,AchievementId,StatusEffectId,RemoveStatusEffects,RemoveStatusEffectCategories,LootLimitId,LootLimitReachedGameEventId,LootLimitReachedGameEventKeepOverrides,LeaderboardValue,SeasonsXp,ScheduleId,ScheduledGameEventId
Gather1,,,,0,,,,,,,,,,,5,,,,,,,,true,,,,,,,,,,,,,,
Gather2,,,,0,,,,,,,,,,,5,,,,,,,,true,,,,,,,,,,,,,,
Gather3,,,,0,,,,,,,,,,,5,,,,,,,,true,,,,,,,,,,,,,,
Gather4,,,,0,,,,,,,,,,,5,,,,,,,,true,,,,,,,,,,,,,,
Gather5,,,,0,,,,,,,,,,,5,,,,,,,,true,,,,,,,,,,,,,,
Craft1,,,,0,,,,,,,,,,,20,,,,,,,,true,,,,,,,,,,,,,,
Craft2,,,,0,,,,,,,,,,,40,,,,,,,,true,,,,,,,,,,,,,,
Craft3,,,,0,,,,,,,,,,,80,,,,,,,,true,,,,,,,,,,,,,,
Craft4,,,,0,,,,,,,,,,,160,,,,,,,,true,,,,,,,,,,,,,,
Craft5,,,,0,,,,,,,,,,,320,,,,,,,,true,,,,,,,,,,,,,,
CampCraft1,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
CampCraft2,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
CampCraft3,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
CampCraft4,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
CampCraft5,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
CraftCooking2,,,,0,,,,,,,,,,,40,,,,,,,,true,,,,,,,,,,,,,,
CraftCooking3,,,,0,,,,,,,,,,,80,,,,,,,,true,,,,,,,,,,,,,,
CraftCooking4,,,,0,,,,,,,,,,,160,,,,,,,,true,,,,,,,,,,,,,,
CraftCooking5,,,,0,,,,,,,,,,,320,,,,,,,,true,,,,,,,,,,,,,,
CraftAmmo2,,,,0,,,,,,,,,,,40,,,,,,,,true,,,,,,,,,,,,,,
CraftAmmo3,,,,0,,,,,,,,,,,80,,,,,,,,true,,,,,,,,,,,,,,
CraftAmmo4,,,,0,,,,,,,,,,,160,,,,,,,,true,,,,,,,,,,,,,,
CraftAmmo5,,,,0,,,,,,,,,,,320,,,,,,,,true,,,,,,,,,,,,,,
Refine1,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Refine2,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Refine3,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Refine4,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Refine5,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Salvage1,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Salvage2,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Salvage3,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Salvage4,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Salvage5,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
BuildingFinish1,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
BuildingFinish2,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
BuildingFinish3,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
BuildingFinish4,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
BuildingFinish5,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
